LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,mortality,kill_rate,block_initial,simday,mass_llins_fund
Toro,Giwa,2024,Toro,0.8,0.8,0.8,0.8,2,august,0.625332185,0.623800515,0.751890584,1683,Pyrethroid (2020)
Toro,Giwa,2027,Toro,0.8,0.8,0.8,0.8,3,august,0.625332185,0.623800515,0.751890584,2778,Pyrethroid (2020)
Toro,Giwa,2030,Toro,0.8,0.8,0.8,0.8,4,august,0.625332185,0.623800515,0.751890584,3873,Pyrethroid (2020)
Toto,Keana,2021,Toto,0.8,0.8,0.8,0.8,1,august,0.39100856,0.739304542,0.65,588,PBO (2021)
Toto,Keana,2024,Toto,0.8,0.8,0.8,0.8,2,august,0.39100856,0.739304542,0.65,1683,PBO (2021)
Toto,Keana,2027,Toto,0.8,0.8,0.8,0.8,3,august,0.39100856,0.739304542,0.65,2778,PBO (2021)
Toto,Keana,2030,Toto,0.8,0.8,0.8,0.8,4,august,0.39100856,0.739304542,0.65,3873,PBO (2021)
Toungo,Keana,2020,Toungo,0.8,0.8,0.8,0.8,1,august,0.383744468,0.738531223,0.65,223,PBO (2021)
Toungo,Keana,2023,Toungo,0.8,0.8,0.8,0.8,2,august,0.383744468,0.738531223,0.65,1318,PBO (2021)
Toungo,Keana,2026,Toungo,0.8,0.8,0.8,0.8,3,august,0.383744468,0.738531223,0.65,2413,PBO (2021)
Toungo,Keana,2029,Toungo,0.8,0.8,0.8,0.8,4,august,0.383744468,0.738531223,0.65,3508,PBO (2021)
Tsafe,Takali,2020,Tsafe,0.8,0.8,0.8,0.8,1,september,0.751053987,0.690350267,0.866025051,250,Pyrethroid (2020)
Tsafe,Takali,2023,Tsafe,0.8,0.8,0.8,0.8,2,september,0.751053987,0.690350267,0.866025051,1345,Pyrethroid (2020)
Tsafe,Takali,2026,Tsafe,0.8,0.8,0.8,0.8,3,september,0.751053987,0.690350267,0.866025051,2440,Pyrethroid (2020)
Tsafe,Takali,2029,Tsafe,0.8,0.8,0.8,0.8,4,september,0.751053987,0.690350267,0.866025051,3535,Pyrethroid (2020)
Tsanyawa,Gwarzo,2022,Tsanyawa,0.914893617,0.8,0.8,0.873015873,1,august,0.716116255,0.751124444,0.883028112,953,PBO (2021)
Tsanyawa,Gwarzo,2025,Tsanyawa,0.914893617,0.8,0.8,0.873015873,2,august,0.716116255,0.751124444,0.883028112,2048,PBO (2021)
Tsanyawa,Gwarzo,2028,Tsanyawa,0.914893617,0.8,0.8,0.873015873,3,august,0.716116255,0.751124444,0.883028112,3143,PBO (2021)
