,LGA,Rep_DS,State,simday,duration,year,U5_coverage,adult_coverage
284,Ibeju/Lekki,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
285,Ibeno,Nsit Ubium,Akwa lbom,0,1095,2010,0.092807342,0.092807342
286,Ibesikpo Asutan,Nsit Ubium,Akwa lbom,0,1095,2010,0.092807342,0.092807342
287,Ibi,Keana,Nasarawa,0,1095,2010,0.003757889,0.003757889
288,Ibiono Ibom,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.038064811
289,Idah,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
290,Idanre,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
291,Ideato North,Oru West,Imo,0,1095,2010,0.175766728,0.175766728
292,Ideato South,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.038064811
293,Idemili North,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
294,Idemili South,Oru West,Imo,0,1095,2010,0.175766728,0.175766728
295,Ido,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
296,Idosi-Osi,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
297,Ifako-Ijaye,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
298,Ife Central,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
299,Ife East,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
300,Ife North,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
301,Ife South,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
302,Ifedayo,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
303,Ifedore,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
304,Ifelodun1,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
305,Ifelodun2,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
306,Ifo,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
307,Igabi,Soba,Kaduna,0,1095,2010,0.076473462,0.076473462
308,Igalamela-Odolu,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
309,Igbo-Etiti,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
310,Igbo-Eze North,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
311,Igbo-Eze South,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
312,Igueben,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
313,Ihiala,Oru West,Imo,0,1095,2010,0.175766728,0.175766728
314,Ihitte/Uboma,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.038064811
315,Ijebu East,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
316,Ijebu North,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
317,Ijebu North East,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
318,Ijebu ode,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
319,Ijero,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
320,Ijumu,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
321,Ika,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.038064811
322,Ika North East,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
323,Ika South,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
324,Ikara,Soba,Kaduna,0,1095,2010,0.076473462,0.076473462
325,Ikeduru,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.038064811
326,Ikeja,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
327,Ikenne,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
328,Ikere,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
329,Ikole,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
330,Ikom,Obubra,Cross River,0,1095,2010,0,0
331,Ikono,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.038064811
332,Ikorodu,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
333,Ikot Abasi,Nsit Ubium,Akwa lbom,0,1095,2010,0.092807342,0.092807342
334,Ikot Ekpene,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.038064811
335,Ikpoba-Okha,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
336,Ikwerre,Oru West,Imo,0,1095,2010,0.175766728,0.175766728
337,Ikwo,Obubra,Cross River,0,1095,2010,0,0
338,Ikwuano,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.038064811
339,Ila,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
340,Ilaje,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
341,Ile-Oluji-Okeigbo,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
342,Ilemeji,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
343,Ilesha East,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
344,Ilesha West,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
345,Illela,Gawabawa,Sokoto,0,1095,2010,0,0
346,Ilorin East,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
