,LGA,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use
313,Ringim,Taura,0.53646592,0.440114892,0.368967436,0.583396689
314,Roni,Babura,0.375325174,0.214522186,0.126023075,0.350839769
315,Taura,Taura,0.53646592,0.440114892,0.368967436,0.583396689
316,Yankwashi,Babura,0.375325174,0.214522186,0.126023075,0.350839769
317,kiyawa,Takali,0.400642128,0.283668296,0.217614664,0.436970727
318,Dutsi,Rimi,0.039720548,0.053729588,0.073583608,0.06946137
319,Birnin-Gwari,Giwa,0.442307692,0.208333333,0.138888889,0.414285714
320,Kajuru,Soba,0.44909474,0.414473139,0.26251721,0.366416238
321,Chikun,Soba,0.588235294,0.411764706,0.285714286,0.453125
322,Giwa,Giwa,0.134165323,0.082396302,0.070950298,0.163309298
323,Koko/Besse,Birnin Kebbi,0.25,0.157894737,0.0625,0.31147541
324,Igabi,Soba,0.44909474,0.414473139,0.26251721,0.366416238
325,Ikara,Soba,0.44909474,0.414473139,0.26251721,0.366416238
326,Jaba,Oke-Ero,0.270838415,0.138120033,0.087266194,0.23846713
327,Ogori/Mangongo,Owan East,0.135833315,0.152454404,0.09921015,0.178525365
328,Jema'a,Soba,0.44909474,0.414473139,0.26251721,0.366416238
329,Kachia,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
330,Kaduna North,Soba,0.583333333,0.428571429,0.178571429,0.3
331,Kudan,Giwa,0.134165323,0.082396302,0.070950298,0.163309298
332,Kagarko,Oke-Ero,0.270838415,0.138120033,0.087266194,0.23846713
333,Kaura,Soba,0.44909474,0.414473139,0.26251721,0.366416238
334,Kauru,Soba,0.8,0.75,0.465116279,0.508474576
335,Kubau,Soba,0.44909474,0.414473139,0.26251721,0.366416238
336,Lere,Soba,0.628571429,0.8,0.466666667,0.603174603
337,Markafi,Gwarzo,0.183673469,0.096774194,0.08,0.265625
338,Sabon-Gari,Soba,0.44909474,0.414473139,0.26251721,0.366416238
339,Sanga,Soba,0.44909474,0.414473139,0.26251721,0.366416238
