LGA,pop,anc_total,preg_llin,coverage,block_initial,kill_rate,simday,duration,year,type
Anka,207634.84,14126,4418,0.312757,0.53,0.663563431,2920,-1,2018,antenatal
Ankpa,381181.45,32229,456,0.014149,0.53,0.445447774,2920,-1,2018,antenatal
Apa,137963.75,2805,1089,0.388235,0.53,0.490137805,2920,-1,2018,antenatal
Apapa,317204.97,11999,792,0.066006,0.53,0.511279973,2920,-1,2018,antenatal
Ardo-Kola,122492.42,22293,2154,0.096622,0.53,0.464913317,2920,-1,2018,antenatal
Arewa-Dandi,265456.04,9694,979,0.10099,0.53,0.683834101,2920,-1,2018,antenatal
Argungu,281977.98,40640,2567,0.063164,0.53,0.689763899,2920,-1,2018,antenatal
Arochukwu,234325.84,3642,208,0.057111,0.53,0.485441926,2920,-1,2018,antenatal
Asa,180266.08,4026,1136,0.282166,0.53,0.372563685,2920,-1,2018,antenatal
Asari-Toru,328750.56,1374,103,0.074964,0.53,0.322109151,2920,-1,2018,antenatal
Askira-Uba,206258.49,25953,3705,0.142758,0.53,0.647762427,2920,-1,2018,antenatal
Atakumosa East,111197.3,3027,827,0.273208,0.53,0.490877048,2920,-1,2018,antenatal
Atakumosa West,100173.45,3953,1155,0.292183,0.53,0.493158675,2920,-1,2018,antenatal
Atiba,253474,13257,1379,0.104021,0.53,0.446329501,2920,-1,2018,antenatal
Atigbo,165483.56,15720,1806,0.114885,0.53,0.484593946,2920,-1,2018,antenatal
Augie,169181.89,11581,1194,0.1031,0.53,0.688770794,2920,-1,2018,antenatal
Auyo,186020.89,16686,5260,0.315234,0.53,0.65332251,2920,-1,2018,antenatal
Awe,160503.61,18378,518,0.028186,0.53,0.584430432,2920,-1,2018,antenatal
Awgu,282491.71,431,23,0.053364,0.53,0.482762456,2920,-1,2018,antenatal
Awka North,156850.76,7478,1607,0.214897,0.53,0.450124783,2920,-1,2018,antenatal
Awka South,263324.8,21772,2652,0.121808,0.53,0.485419293,2920,-1,2018,antenatal
Ayamelum,220647.99,4775,1161,0.243141,0.53,0.489171465,2920,-1,2018,antenatal
Babura,293263.94,56690,9802,0.172905,0.53,0.691880002,2920,-1,2018,antenatal
Badagry,351836.56,39132,1250,0.031943,0.53,0.48109727,2920,-1,2018,antenatal
Bade,211220.2,25582,1967,0.07689,0.53,0.673687029,2920,-1,2018,antenatal
Bagudo,343041.67,15801,2513,0.159041,0.53,0.570435833,2920,-1,2018,antenatal
Bagwai,240427.21,30286,5136,0.169583,0.53,0.712788613,2920,-1,2018,antenatal
Bakassi,45638.189,6042,2651,0.438762,0.53,0.352578982,2920,-1,2018,antenatal
Bakori,212967.33,38181,6231,0.163196,0.53,0.649992258,2920,-1,2018,antenatal
Bakura,272757.87,22252,4134,0.185781,0.53,0.681339741,2920,-1,2018,antenatal
Balanga,310181.17,41317,3441,0.083283,0.53,0.623897182,2920,-1,2018,antenatal
Bali,294439.24,9715,2170,0.223366,0.53,0.541470027,2920,-1,2018,antenatal
Bama,403262.38,818,68,0.08313,0.53,0.669778823,2920,-1,2018,antenatal
Barikin Ladi,241293.42,12097,745,0.061586,0.53,0.489453402,2920,-1,2018,antenatal
Baruten,298638.45,5192,1570,0.302388,0.53,0.417009995,2920,-1,2018,antenatal
Bassa1,199596.54,3248,238,0.073276,0.53,0.464886674,2920,-1,2018,antenatal
Bassa2,257252.35,15722,1169,0.074354,0.53,0.517430069,2920,-1,2018,antenatal
Batagarawa,263159.82,32210,3459,0.107389,0.53,0.646174875,2920,-1,2018,antenatal
Batsari,297952.66,14540,2840,0.195323,0.53,0.664209538,2920,-1,2018,antenatal
Bauchi,737575.27,111222,13027,0.117126,0.53,0.624866967,2920,-1,2018,antenatal
Baure,281480.84,34201,2596,0.075904,0.53,0.664606296,2920,-1,2018,antenatal
Bayo,117964.84,15640,3077,0.196739,0.53,0.588279066,2920,-1,2018,antenatal
Bebeji,278831.31,36998,4317,0.116682,0.53,0.721458816,2920,-1,2018,antenatal
Bekwara,149128.44,8181,2705,0.330644,0.53,0.4460788,2920,-1,2018,antenatal
Bende,264482.87,5722,429,0.074974,0.53,0.501154968,2920,-1,2018,antenatal
Biase,238419.2,9270,4046,0.436462,0.53,0.476715539,2920,-1,2018,antenatal
Bichi,409108.8,54679,10017,0.183196,0.53,0.698007406,2920,-1,2018,antenatal
Bida,281075.01,22148,4390,0.198212,0.53,0.422188464,2920,-1,2018,antenatal
Billiri,294996.74,23232,3803,0.163697,0.53,0.305232023,2920,-1,2018,antenatal
Bindawa,217223.23,17699,3009,0.17001,0.53,0.679287322,2920,-1,2018,antenatal
Binji,149743.39,6944,221,0.031826,0.53,0.721642545,2920,-1,2018,antenatal
Biriniwa,441617.29,18675,3574,0.191379,0.53,0.662953681,2920,-1,2018,antenatal
Birni Kudu,200575.51,84202,17656,0.209686,0.53,0.710618621,2920,-1,2018,antenatal
Birnin Kebbi,387185.3,47533,4099,0.086235,0.53,0.688032578,2920,-1,2018,antenatal
Birnin Magaji,260665.78,15066,3958,0.262711,0.53,0.708478232,2920,-1,2018,antenatal
Birnin-Gwari,359809.29,51925,13694,0.263727,0.53,0.598687691,2920,-1,2018,antenatal
Biu,262988.5,66010,14503,0.219709,0.53,0.630783932,2920,-1,2018,antenatal
Bodinga,250087.01,10335,308,0.029802,0.53,0.727651305,2920,-1,2018,antenatal
Bogoro,125787.05,13301,3318,0.249455,0.53,0.594258836,2920,-1,2018,antenatal
Boki,262176.14,10207,4051,0.396884,0.53,0.487034109,2920,-1,2018,antenatal
Bokkos,245681.02,3661,545,0.148866,0.53,0.5419051,2920,-1,2018,antenatal
Boluwaduro,103284.76,1639,499,0.304454,0.53,0.377867037,2920,-1,2018,antenatal
