,LGA,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use
337,Markafi,Gwarzo,0.75,0.588235294,0.62962963,0.73015873
338,Sabon-Gari,Soba,0.676617347,0.627099248,0.519917641,0.564798617
339,Sanga,Soba,0.676617347,0.627099248,0.519917641,0.564798617
340,Soba,Soba,0.475,0.384615385,0.142857143,0.361111111
341,Zango-Kataf,Soba,0.747264176,0.746352018,0.682951003,0.71799518
342,Zaria,Soba,0.575757576,0.733333333,0.590909091,0.535714286
343,Kaduna South,Soba,0.676617347,0.627099248,0.519917641,0.564798617
344,Bichi,Gwarzo,0.768688329,0.578433589,0.500204141,0.5987864
345,Ajingi,Taura,0.739130435,0.4,0.473684211,0.533333333
346,Albasu,Takali,0.452380952,0.307692308,0.178571429,0.365079365
347,Bagwai,Babura,0.724492218,0.689711847,0.730814444,0.700536218
348,Bebeji,Gwarzo,0.768688329,0.578433589,0.500204141,0.5987864
349,Dambatta,Babura,0.724492218,0.689711847,0.730814444,0.700536218
350,Dawakin Kudu,Gwarzo,0.768688329,0.578433589,0.500204141,0.5987864
351,Dawakin Tofa,Taura,0.423076923,0.291666667,0.230769231,0.254901961
352,Doguwa,Giwa,0.668094454,0.548522993,0.476187241,0.566872238
353,Gabasawa,Taura,0.662736395,0.562919518,0.547008309,0.677597534
354,Garko,Gwarzo,0.793103448,0.5,0.404255319,0.534482759
