"","LGA","p_test","se","Number of Participants"
"312","Isiala Mbano",0.0879629011583772,0.0532724820201512,9
"313","Isiala-Ngwa North",0,0,8
"314","Isiala-Ngwa South",0.338195725574011,0.0524510482290287,10
"315","Isin",0.160469693806388,0.124054257671374,6
"316","Isoko North",0,0,8
"317","Isoko South",0,0,4
"318","Isu",0,0,2
"319","Itas/Gadau",0.280015150860708,0.17422853904878,4
"320","Iwajowa",0,0,12
"321","Iwo",0.192286159846686,0.057428769869663,15
"322","Izzi",0.292614952501393,0.075310515832747,53
"323","Jaba",0,0,1
"324","Jada",0.349267908430933,0.0381099955516162,13
"325","Jahun",0.510299563910058,0.116969590895245,32
"326","Jakusko",0.309300890261721,0.0795087222678242,14
"327","Jalingo",0.0431034387253399,0.0379929974909867,11
"328","Jama'are",0.201862810804328,0.0182409649602779,19
"329","Jega",0.430114515724375,0.114813032887377,12
"330","Jema'a",0.246200610414205,0.0346624978371572,22
"331","Jere",0.073810468698361,0.0851222291683869,41
"332","Jibia",0.153846153846154,3.12250225675825e-17,29
"333","Jos East",0.416666666666667,9.71445146547011e-17,6
"334","Jos North",0,0,19
"335","Jos South",0,0,6
"336","Kabba/Bunu",0,0,5
"337","Kabo",0.338980659480266,0.156934409247642,13
"338","Kachia",0.534138524675955,0.126146526158883,27
"339","Kaduna North",0.148459377542648,0.0451454765588467,11
"340","Kaduna South",0.166666666666667,0.121080526209463,8
"341","Kafin Hausa",0.264946356371834,0.0359803766498879,19
"342","Kafur",0.150607280681261,0.0752093015914609,36
"343","Kaga",0.272727272727273,0,11
"344","Kagarko",0.5,0,12
"345","Kaiama",0.5,0,4
"346","kaita",0.25,0,14
"347","Kajola",0.17709148207774,0.0101321502084911,11
"348","Kajuru",0,0,4
"349","Kalgo",0.624076998691449,0.0326104290425108,17
"350","Kanam",0.288021505500678,0.0724761055091167,9
"351","Kankara",0.25,0,12
"352","Kanke",0.540952532690115,0.249802826911657,15
"353","Kankia",0.666666666666667,4.85722573273506e-17,23
"354","Karasuwa",0.0557629462134521,0.0452739464221155,17
"355","Karaye",0.454545454545455,2.08166817117217e-17,22
"356","Karin-Lamido",0.0802974293379031,0.0647396335697417,15
"357","Karu",0.0860363097005156,0.088116898993013,23
"358","Katagum",0.318193937023141,0.0484566700612946,24
"359","Katcha",0.265420553928262,0.0633979316394532,10
"360","Katsina",0,0,20
"361","Katsina-Ala",0.233714692717037,0.0643939321353866,18
"362","Kaugama",0.272727272727273,0,11
"363","Kaura",0,0,8
"364","Kaura-Namoda",0.186994872775827,0.0859911289863647,21
"365","Kauru",0,0,10
"366","Kazaure",0.214285714285714,3.46944695195361e-17,14
"367","Keana",0.350427265555611,0.151307236785369,2
"368","Keffi",0.25835430872126,0.18729061657737,3
"369","Khana",0.142857142857143,2.08166817117217e-17,11
"370","Kirfi",0,0,2
"371","Kiri Kasamma",0,0,11
"372","Kiru",0.472364629426875,0.0745675651251194,18
"373","kiyawa",0.357142857142857,4.85722573273506e-17,15
"374","Kogi",0.5,0,2
"375","Koko/Besse",0.948207175959797,0.0475475349820813,9
"376","Kokona",0.183505156613034,0.012026852214349,5
"377","Kolokuma/Opokuma",0.192504449166052,0.0648762088280523,7
"378","Konduga",0.0909090909090909,0,23
"379","Konshisha",0,0,5
"380","Kontagora",0.470932231861935,0.100041075364646,11
"381","Kosofe",0.0552231871635983,0.0410154034216007,32
"382","Kubau",0.315435601024535,0.159483850828208,23
"383","Kudan",0.495534414309294,0.0940374502451913,19
"384","Kukawa",0.285714285714286,4.16333634234434e-17,3
"385","Kunchi",0.333333333333333,1.92962808829802e-17,5
"386","Kura",0.111111111111111,1.38777878078145e-17,9
"387","Kurmi",0,0,5
"388","Kusada",0.5,0,18
"389","Kwali",0.572282947036506,0.0711712329955439,8
"390","Kwami",0.460022505553493,0.144071696988474,14
"391","Kwande",0,0,12
"392","Kware",0.444444444444444,0,7
"393","Lafia",0.104346589167781,0.0498933440177083,58
"394","Lagos Island",0,0,34
"395","Lagos Mainland",0,0,15
"396","Lamurde",0.125,1.38777878078145e-17,5
"397","Langtang North",0.375,0,6
"398","Lau",0.444444444444444,0.284295473433649,4
"399","Lavun",0.169867824837859,0.11862643003238,24
"400","Lere",0.30625,0.0631016797447354,20
