,LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,simday,llins_plan,mortality,kill_rate,block_initial
149,Tarka,Keana,2020,Tarka,0.88,0.8,0.8,0.8,1,august,223,Standard 2020,0.339520975,0.410062837,0.53
150,Tarka,Keana,2023,Tarka,0.88,0.8,0.8,0.8,2,august,1318,Standard 2020,0.339520975,0.410062837,0.53
151,Ushongo,Oke-Ero,2020,Ushongo,0.8,0.8,0.8,0.8,1,july,186,Standard 2020,0.333533837,0.405123965,0.53
152,Ushongo,Oke-Ero,2023,Ushongo,0.8,0.8,0.8,0.8,2,july,1281,Standard 2020,0.333533837,0.405123965,0.53
153,Vandeikya,Oke-Ero,2020,Vandeikya,0.8,0.8,0.8,0.8,1,july,186,Standard 2020,0.384252901,0.446888644,0.53
154,Vandeikya,Oke-Ero,2023,Vandeikya,0.8,0.8,0.8,0.8,2,july,1281,Standard 2020,0.384252901,0.446888644,0.53
155,Askira/Uba,Darazo,2020,Askira-Uba,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.666450057,0.750555793,0.849537809
156,Askira/Uba,Darazo,2023,Askira-Uba,0.8,0.8,0.8,0.8,2,july,1281,PBO(2021),0.666450057,0.750555793,0.849537809
157,Enugu East,Uzo-Uwani,2020,Enugu East,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.392074002,0.73941366,0.65
158,Enugu East,Uzo-Uwani,2023,Enugu East,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.392074002,0.73941366,0.65
159,Bayo,Alkaleri,2020,Bayo,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.570036309,0.74879652,0.75338312
160,Bayo,Alkaleri,2023,Bayo,0.8,0.8,0.8,0.8,2,july,1281,PBO(2021),0.570036309,0.74879652,0.75338312
161,Biu,Darazo,2020,Biu,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.636944927,0.750127918,0.825069652
162,Biu,Darazo,2023,Biu,0.8,0.8,0.8,0.8,2,july,1281,PBO(2021),0.636944927,0.750127918,0.825069652
163,Chibok,Darazo,2020,Chibok,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.652598314,0.750364627,0.838523104
164,Chibok,Darazo,2023,Chibok,0.8,0.8,0.8,0.8,2,july,1281,PBO(2021),0.652598314,0.750364627,0.838523104
165,Damboa,Darazo,2020,Damboa,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.695319136,0.750906341,0.870063415
166,Damboa,Darazo,2023,Damboa,0.8,0.8,0.8,0.8,2,july,1281,PBO(2021),0.695319136,0.750906341,0.870063415
167,Dikwa,Darazo,2020,Dikwa,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.719398758,0.751156548,0.884947607
168,Dikwa,Darazo,2023,Dikwa,0.8,0.8,0.8,0.8,2,july,1281,PBO(2021),0.719398758,0.751156548,0.884947607
169,Gubio,Gawabawa,2020,Gubio,0.8,0.8,0.8,0.8,1,august,223,PBO(2021),0.814426994,0.751874138,0.92834284
