adm1,LGA,smc_plan1,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Jigawa,Kafin Hausa,SMC,Taura,july,610,2021,3,-1,1,0.6,5
Jigawa,Kafin Hausa,SMC,Taura,july,640,2021,4,-1,1,0.6,5
Jigawa,Kaugama,SMC,Taura,july,550,2021,1,-1,1,0.6,5
Jigawa,Kaugama,SMC,Taura,july,580,2021,2,-1,1,0.6,5
Jigawa,Kaugama,SMC,Taura,july,610,2021,3,-1,1,0.6,5
Jigawa,Kaugama,SMC,Taura,july,640,2021,4,-1,1,0.6,5
Jigawa,Kazaure,SMC,Babura,may,488,2021,1,-1,1,0.6,5
Jigawa,Kazaure,SMC,Babura,may,518,2021,2,-1,1,0.6,5
Jigawa,Kazaure,SMC,Babura,may,548,2021,3,-1,1,0.6,5
Jigawa,Kazaure,SMC,Babura,may,578,2021,4,-1,1,0.6,5
Jigawa,Kiri Kasamma,SMC,Taura,july,550,2021,1,-1,1,0.6,5
Jigawa,Kiri Kasamma,SMC,Taura,july,580,2021,2,-1,1,0.6,5
Jigawa,Kiri Kasamma,SMC,Taura,july,610,2021,3,-1,1,0.6,5
Jigawa,Kiri Kasamma,SMC,Taura,july,640,2021,4,-1,1,0.6,5
Jigawa,Maigatari,SMC,Babura,may,488,2021,1,-1,1,0.6,5
Jigawa,Maigatari,SMC,Babura,may,518,2021,2,-1,1,0.6,5
Jigawa,Maigatari,SMC,Babura,may,548,2021,3,-1,1,0.6,5
Jigawa,Maigatari,SMC,Babura,may,578,2021,4,-1,1,0.6,5
Jigawa,Malam Madori,SMC,Taura,july,550,2021,1,-1,1,0.6,5
Jigawa,Malam Madori,SMC,Taura,july,580,2021,2,-1,1,0.6,5
Jigawa,Malam Madori,SMC,Taura,july,610,2021,3,-1,1,0.6,5
Jigawa,Malam Madori,SMC,Taura,july,640,2021,4,-1,1,0.6,5
Jigawa,Miga,SMC,Taura,july,550,2021,1,-1,1,0.6,5
Jigawa,Miga,SMC,Taura,july,580,2021,2,-1,1,0.6,5
Jigawa,Miga,SMC,Taura,july,610,2021,3,-1,1,0.6,5
Jigawa,Miga,SMC,Taura,july,640,2021,4,-1,1,0.6,5
Jigawa,Ringim,SMC,Taura,july,550,2021,1,-1,1,0.6,5
Jigawa,Ringim,SMC,Taura,july,580,2021,2,-1,1,0.6,5
Jigawa,Ringim,SMC,Taura,july,610,2021,3,-1,1,0.6,5
Jigawa,Ringim,SMC,Taura,july,640,2021,4,-1,1,0.6,5
Jigawa,Roni,SMC,Babura,may,488,2021,1,-1,1,0.6,5
Jigawa,Roni,SMC,Babura,may,518,2021,2,-1,1,0.6,5
Jigawa,Roni,SMC,Babura,may,548,2021,3,-1,1,0.6,5
Jigawa,Roni,SMC,Babura,may,578,2021,4,-1,1,0.6,5
Jigawa,Sule-Tankarkar,SMC,Babura,may,488,2021,1,-1,1,0.6,5
Jigawa,Sule-Tankarkar,SMC,Babura,may,518,2021,2,-1,1,0.6,5
