LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year
Hong,Darazo,0.148682399,0.148682399,0.637,0,-1,2018
Ibadan North,Owan East,0.323754826,0.323754826,0.637,0,-1,2018
Ibadan North East,Owan East,0.362625613,0.362625613,0.637,0,-1,2018
Ibadan North West,Owan East,0.153061332,0.153061332,0.637,0,-1,2018
Ibadan South East,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Ibadan South West,Owan East,0.362625613,0.362625613,0.637,0,-1,2018
Ibaji,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Ibarapa Central,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Ibarapa East,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Ibarapa North,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Ibeju-Lekki,Uzo-Uwani,0.65,0.65,0.637,0,-1,2018
Ibeno,Nsit Ubium,0.387046089,0.387046089,0.637,0,-1,2018
Ibesikpo Asutan,Nsit Ubium,0.304255314,0.304255314,0.637,0,-1,2018
Ibi,Keana,0.230343377,0.230343377,0.637,0,-1,2018
Ibiono Ibom,Ngor-Okpala,0.185036492,0.185036492,0.637,0,-1,2018
Idah,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Idanre,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Ideato North,Oru West,0.8,0.8,0.637,0,-1,2018
Ideato South,Ngor-Okpala,0.368385424,0.368385424,0.637,0,-1,2018
Idemili North,Uzo-Uwani,0.8,0.8,0.637,0,-1,2018
Idemili South,Oru West,0.39780482,0.39780482,0.637,0,-1,2018
Ido,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Idosi-Osi,Oke-Ero,0.114422374,0.114422374,0.637,0,-1,2018
Ifako-Ijaye,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Ife Central,Akinyele,0.688235157,0.688235157,0.637,0,-1,2018
Ife East,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Ife North,Akinyele,0.65,0.65,0.637,0,-1,2018
Ife South,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Ifedayo,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Ifedore,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Ifelodun1,Oke-Ero,0.181699723,0.181699723,0.637,0,-1,2018
Ifelodun2,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Ifo,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Igabi,Soba,0.026643097,0.026643097,0.637,0,-1,2018
Igalamela-Odolu,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Igbo-Etiti,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Igbo-Eze North,Uzo-Uwani,0.110992231,0.110992231,0.637,0,-1,2018
Igbo-Eze South,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Igueben,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Ihiala,Oru West,0.376999966,0.376999966,0.637,0,-1,2018
Ihitte-Uboma,Ngor-Okpala,0.368385424,0.368385424,0.637,0,-1,2018
Ijebu East,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Ijebu North,Owan East,0.362625613,0.362625613,0.637,0,-1,2018
Ijebu North East,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Ijebu ode,Owan East,0.362625613,0.362625613,0.637,0,-1,2018
Ijero,Oke-Ero,0.257232986,0.257232986,0.637,0,-1,2018
Ijumu,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Ika,Ngor-Okpala,0.368385424,0.368385424,0.637,0,-1,2018
Ika North East,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Ika South,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Ikara,Soba,0.026643097,0.026643097,0.637,0,-1,2018
