LGA,State,year,round,duration,coverage_high_access,coverage_low_access,max_age,month_new,simday
Bukkuyum,Zamfara,2023,3,-1,1,0.937605396,5,9,1342
Bukkuyum,Zamfara,2023,4,-1,1,0.268128162,5,10,1370
Bukkuyum,Zamfara,2024,1,-1,1,0.854974705,5,7,1646
Bukkuyum,Zamfara,2024,2,-1,1,0.927487352,5,8,1674
Bukkuyum,Zamfara,2024,3,-1,1,0.937605396,5,9,1702
Bukkuyum,Zamfara,2024,4,-1,1,0.268128162,5,10,1730
Bukkuyum,Zamfara,2025,1,-1,1,0.854974705,5,7,2014
Bukkuyum,Zamfara,2025,2,-1,1,0.927487352,5,8,2042
Bukkuyum,Zamfara,2025,3,-1,1,0.937605396,5,9,2070
Bukkuyum,Zamfara,2025,4,-1,1,0.268128162,5,10,2098
Bungudu,Zamfara,2020,1,-1,1,0.854974705,5,7,186
Bungudu,Zamfara,2020,2,-1,1,0.927487352,5,8,214
Bungudu,Zamfara,2020,3,-1,1,0.937605396,5,9,242
Bungudu,Zamfara,2020,4,-1,1,0.268128162,5,10,270
Bungudu,Zamfara,2021,1,-1,1,0.854974705,5,7,550
Bungudu,Zamfara,2021,2,-1,1,0.927487352,5,8,578
Bungudu,Zamfara,2021,3,-1,1,0.937605396,5,9,606
Bungudu,Zamfara,2021,4,-1,1,0.268128162,5,10,634
Bungudu,Zamfara,2022,1,-1,1,0.854974705,5,7,915
Bungudu,Zamfara,2022,2,-1,1,0.927487352,5,8,943
Bungudu,Zamfara,2022,3,-1,1,0.937605396,5,9,971
Bungudu,Zamfara,2022,4,-1,1,0.268128162,5,10,999
Bungudu,Zamfara,2023,1,-1,1,0.854974705,5,7,1286
Bungudu,Zamfara,2023,2,-1,1,0.927487352,5,8,1314
Bungudu,Zamfara,2023,3,-1,1,0.937605396,5,9,1342
Bungudu,Zamfara,2023,4,-1,1,0.268128162,5,10,1370
Bungudu,Zamfara,2024,1,-1,1,0.854974705,5,7,1646
Bungudu,Zamfara,2024,2,-1,1,0.927487352,5,8,1674
Bungudu,Zamfara,2024,3,-1,1,0.937605396,5,9,1702
Bungudu,Zamfara,2024,4,-1,1,0.268128162,5,10,1730
Bungudu,Zamfara,2025,1,-1,1,0.854974705,5,7,2014
Bungudu,Zamfara,2025,2,-1,1,0.927487352,5,8,2042
Bungudu,Zamfara,2025,3,-1,1,0.937605396,5,9,2070
Bungudu,Zamfara,2025,4,-1,1,0.268128162,5,10,2098
Dange-Shnsi,Sokoto,2020,1,-1,1,0.969736842,5,7,186
Dange-Shnsi,Sokoto,2020,2,-1,1,0.994736842,5,8,214
Dange-Shnsi,Sokoto,2020,3,-1,1,0.992105263,5,9,242
Dange-Shnsi,Sokoto,2020,4,-1,1,0.45,5,10,270
Dange-Shnsi,Sokoto,2021,1,-1,1,0.969736842,5,7,550
Dange-Shnsi,Sokoto,2021,2,-1,1,0.994736842,5,8,578
Dange-Shnsi,Sokoto,2021,3,-1,1,0.992105263,5,9,606
Dange-Shnsi,Sokoto,2021,4,-1,1,0.45,5,10,634
Dange-Shnsi,Sokoto,2022,1,-1,1,0.969736842,5,7,915
Dange-Shnsi,Sokoto,2022,2,-1,1,0.994736842,5,8,943
Dange-Shnsi,Sokoto,2022,3,-1,1,0.992105263,5,9,971
Dange-Shnsi,Sokoto,2022,4,-1,1,0.45,5,10,999
Dange-Shnsi,Sokoto,2023,1,-1,1,0.969736842,5,7,1286
Dange-Shnsi,Sokoto,2023,2,-1,1,0.994736842,5,8,1314
Dange-Shnsi,Sokoto,2023,3,-1,1,0.992105263,5,9,1342
Dange-Shnsi,Sokoto,2023,4,-1,1,0.45,5,10,1370
Dange-Shnsi,Sokoto,2024,1,-1,1,0.969736842,5,7,1646
Dange-Shnsi,Sokoto,2024,2,-1,1,0.994736842,5,8,1674
Dange-Shnsi,Sokoto,2024,3,-1,1,0.992105263,5,9,1702
Dange-Shnsi,Sokoto,2024,4,-1,1,0.45,5,10,1730
Dange-Shnsi,Sokoto,2025,1,-1,1,0.969736842,5,7,2014
Dange-Shnsi,Sokoto,2025,2,-1,1,0.994736842,5,8,2042
Dange-Shnsi,Sokoto,2025,3,-1,1,0.992105263,5,9,2070
Dange-Shnsi,Sokoto,2025,4,-1,1,0.45,5,10,2098
Daura,Katsina,2020,1,-1,1,0.975975976,5,7,186
Daura,Katsina,2020,2,-1,1,0.977477477,5,8,214
Daura,Katsina,2020,3,-1,1,0.951951952,5,9,242
Daura,Katsina,2020,4,-1,1,0.363363363,5,10,270
Daura,Katsina,2021,1,-1,1,0.975975976,5,7,550
Daura,Katsina,2021,2,-1,1,0.977477477,5,8,578
Daura,Katsina,2021,3,-1,1,0.951951952,5,9,606
Daura,Katsina,2021,4,-1,1,0.363363363,5,10,634
Daura,Katsina,2022,1,-1,1,0.975975976,5,7,915
Daura,Katsina,2022,2,-1,1,0.977477477,5,8,943
Daura,Katsina,2022,3,-1,1,0.951951952,5,9,971
Daura,Katsina,2022,4,-1,1,0.363363363,5,10,999
Daura,Katsina,2023,1,-1,1,0.975975976,5,7,1286
Daura,Katsina,2023,2,-1,1,0.977477477,5,8,1314
Daura,Katsina,2023,3,-1,1,0.951951952,5,9,1342
Daura,Katsina,2023,4,-1,1,0.363363363,5,10,1370
Daura,Katsina,2024,1,-1,1,0.975975976,5,7,1646
Daura,Katsina,2024,2,-1,1,0.977477477,5,8,1674
Daura,Katsina,2024,3,-1,1,0.951951952,5,9,1702
Daura,Katsina,2024,4,-1,1,0.363363363,5,10,1730
Daura,Katsina,2025,1,-1,1,0.975975976,5,7,2014
Daura,Katsina,2025,2,-1,1,0.977477477,5,8,2042
Daura,Katsina,2025,3,-1,1,0.951951952,5,9,2070
Daura,Katsina,2025,4,-1,1,0.363363363,5,10,2098
