"","LGA_old","repDS","year","LGA","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","round","peak","llins1","mortality","kill_rate","block_initial","simday"
"145","Onitsha South","Uzo-Uwani",2020,"Onitsha South",0.359432533,0.291338145,0.061904762,0.01969697,1,"june","PBO",0.368656397,0.736746223,0.65,162
"146","Onitsha South","Uzo-Uwani",2023,"Onitsha South",0.359432533,0.291338145,0.061904762,0.01969697,2,"june","PBO",0.368656397,0.736746223,0.65,1257
"147","Orumba North","Oru West",2020,"Orumba North",0.330424713,0.207286775,0.132726545,0.143848229,1,"june","PBO",0.403508225,0.74052015,0.65,162
"148","Orumba North","Oru West",2023,"Orumba North",0.330424713,0.207286775,0.132726545,0.143848229,2,"june","PBO",0.403508225,0.74052015,0.65,1257
"149","Orumba South","Oru West",2020,"Orumba South",0.328758242,0.293730562,0.198594629,0.282944862,1,"june","PBO",0.438379079,0.743276001,0.65,162
"150","Orumba South","Oru West",2023,"Orumba South",0.328758242,0.293730562,0.198594629,0.282944862,2,"june","PBO",0.438379079,0.743276001,0.65,1257
"151","Oyi","Uzo-Uwani",2020,"Oyi",0.294359962,0.078195484,0.043987913,0.13176919,1,"june","PBO",0.387377598,0.738924512,0.65,162
"152","Oyi","Uzo-Uwani",2023,"Oyi",0.294359962,0.078195484,0.043987913,0.13176919,2,"june","PBO",0.387377598,0.738924512,0.65,1257
"153","Alkaleri","Alkaleri",2021,"Alkaleri",0.592004353,0.517299357,0.398612527,0.594676315,1,"july","PBO",0.570092852,0.748797917,0.753454775,551
"154","Alkaleri","Alkaleri",2024,"Alkaleri",0.592004353,0.517299357,0.398612527,0.594676315,2,"july","PBO",0.570092852,0.748797917,0.753454775,1646
"155","Bauchi","Alkaleri",2021,"Bauchi",0.584944138,0.330875163,0.35777882,0.536854439,1,"july","PBO",0.627087591,0.749966427,0.816012104,551
"156","Bauchi","Alkaleri",2024,"Bauchi",0.584944138,0.330875163,0.35777882,0.536854439,2,"july","PBO",0.627087591,0.749966427,0.816012104,1646
"157","Bogoro","Alkaleri",2021,"Bogoro",0.629895132,0.496260192,0.440143318,0.646778747,1,"july","PBO",0.578959907,0.749010332,0.764438403,551
"158","Bogoro","Alkaleri",2024,"Bogoro",0.629895132,0.496260192,0.440143318,0.646778747,2,"july","PBO",0.578959907,0.749010332,0.764438403,1646
