LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year,round
Bodinga,Gawabawa,NA,0.11890935,0.11890935,468,821,2021,1
Bodinga,Gawabawa,NA,0.131187256,0.131187256,1289,762,2023,2
Bodinga,Gawabawa,NA,0.143465162,0.143465162,2051,140,2025,3
Bogoro,Alkaleri,NA,0.274170269,0.274170269,468,821,2021,1
Bogoro,Alkaleri,NA,0.314212985,0.314212985,1289,762,2023,2
Bogoro,Alkaleri,NA,0.354255701,0.354255701,2051,140,2025,3
Boki,Obubra,NA,0.310389199,0.310389199,468,821,2021,1
Boki,Obubra,NA,0.370778399,0.370778399,1289,762,2023,2
Boki,Obubra,NA,0.431167598,0.431167598,2051,140,2025,3
Bokkos,Giwa,NA,0.167464844,0.167464844,468,821,2021,1
Bokkos,Giwa,NA,0.204421355,0.204421355,1289,762,2023,2
Bokkos,Giwa,NA,0.241377867,0.241377867,2051,140,2025,3
Boluwaduro,Akinyele,NA,0.182900173,0.182900173,468,821,2021,1
Boluwaduro,Akinyele,NA,0.21087411,0.21087411,1289,762,2023,2
Boluwaduro,Akinyele,NA,0.238848048,0.238848048,2051,140,2025,3
Bomadi,Isoko South,NA,0.128883072,0.128883072,468,821,2021,1
Bomadi,Isoko South,NA,0.136169905,0.136169905,1289,762,2023,2
Bomadi,Isoko South,NA,0.143456737,0.143456737,2051,140,2025,3
Bonny,Nsit Ubium,NA,0.642280312,0.642280312,468,821,2021,1
Bonny,Nsit Ubium,NA,0.688013388,0.688013388,1289,762,2023,2
Bonny,Nsit Ubium,NA,0.733746464,0.733746464,2051,140,2025,3
Borgu,Oke-Ero,NA,0.316658874,0.316658874,468,821,2021,1
Borgu,Oke-Ero,NA,0.347603462,0.347603462,1289,762,2023,2
Borgu,Oke-Ero,NA,0.37854805,0.37854805,2051,140,2025,3
