,LGA,Rep_DS,State,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override,round
265,Agatu,Keana,NA,0.589395545,0.589395545,0.686,716,202,2022,1,5
266,Agatu,Keana,NA,0.596784252,0.596784252,0.735,918,159,2022,1,6
267,Agatu,Keana,NA,0.799114331,0.799114331,0.784,1077,219,2023,1,7
268,Agatu,Keana,NA,0.8,0.8,0.8,1296,136,2023,1,8
269,Agatu,Keana,NA,0.8,0.8,0.8,1432,218,2024,1,9
270,Agatu,Keana,NA,0.8,0.8,0.8,1650,151,2024,1,10
271,Agatu,Keana,NA,0.8,0.8,0.8,1801,185,2025,1,11
272,Agatu,Keana,NA,0.8,0.8,0.8,1986,183,2025,1,12
273,Agatu,Keana,NA,0.8,0.8,0.8,0,-1,2025,1,13
274,Agege,Uzo-Uwani,NA,0.420192485,0.420192485,0.49,0,196,2020,1,1
275,Agege,Uzo-Uwani,NA,0.441202109,0.441202109,0.539,196,154,2020,1,2
276,Agege,Uzo-Uwani,NA,0.445404034,0.445404034,0.588,350,212,2021,1,3
277,Agege,Uzo-Uwani,NA,0.449605959,0.449605959,0.637,562,154,2021,1,4
278,Agege,Uzo-Uwani,NA,0.453807884,0.453807884,0.686,716,202,2022,1,5
279,Agege,Uzo-Uwani,NA,0.458009809,0.458009809,0.735,918,159,2022,1,6
280,Agege,Uzo-Uwani,NA,0.462211734,0.462211734,0.784,1077,219,2023,1,7
281,Agege,Uzo-Uwani,NA,0.470615583,0.470615583,0.8,1296,136,2023,1,8
282,Agege,Uzo-Uwani,NA,0.630288728,0.630288728,0.8,1432,218,2024,1,9
283,Agege,Uzo-Uwani,NA,0.8,0.8,0.8,1650,151,2024,1,10
284,Agege,Uzo-Uwani,NA,0.8,0.8,0.8,1801,185,2025,1,11
285,Agege,Uzo-Uwani,NA,0.8,0.8,0.8,1986,183,2025,1,12
286,Agege,Uzo-Uwani,NA,0.8,0.8,0.8,0,-1,2025,1,13
287,Aguata,Oru West,NA,0.435107986,0.435107986,0.49,0,196,2020,1,1
288,Aguata,Oru West,NA,0.456863385,0.456863385,0.539,196,154,2020,1,2
289,Aguata,Oru West,NA,0.461214465,0.461214465,0.588,350,212,2021,1,3
290,Aguata,Oru West,NA,0.465565545,0.465565545,0.637,562,154,2021,1,4
291,Aguata,Oru West,NA,0.469916625,0.469916625,0.686,716,202,2022,1,5
292,Aguata,Oru West,NA,0.474267705,0.474267705,0.735,918,159,2022,1,6
293,Aguata,Oru West,NA,0.478618785,0.478618785,0.784,1077,219,2023,1,7
294,Aguata,Oru West,NA,0.487320944,0.487320944,0.8,1296,136,2023,1,8
295,Aguata,Oru West,NA,0.652661979,0.652661979,0.8,1432,218,2024,1,9
296,Aguata,Oru West,NA,0.8,0.8,0.8,1650,151,2024,1,10
297,Aguata,Oru West,NA,0.8,0.8,0.8,1801,185,2025,1,11
298,Aguata,Oru West,NA,0.8,0.8,0.8,1986,183,2025,1,12
299,Aguata,Oru West,NA,0.8,0.8,0.8,0,-1,2025,1,13
300,Agwara,Birnin Kebbi,NA,0.42225568,0.42225568,0.49,0,196,2020,1,1
301,Agwara,Birnin Kebbi,NA,0.443368464,0.443368464,0.539,196,154,2020,1,2
302,Agwara,Birnin Kebbi,NA,0.447591021,0.447591021,0.588,350,212,2021,1,3
303,Agwara,Birnin Kebbi,NA,0.451813578,0.451813578,0.637,562,154,2021,1,4
304,Agwara,Birnin Kebbi,NA,0.456036134,0.456036134,0.686,716,202,2022,1,5
305,Agwara,Birnin Kebbi,NA,0.460258691,0.460258691,0.735,918,159,2022,1,6
306,Agwara,Birnin Kebbi,NA,0.464481248,0.464481248,0.784,1077,219,2023,1,7
307,Agwara,Birnin Kebbi,NA,0.472926362,0.472926362,0.8,1296,136,2023,1,8
308,Agwara,Birnin Kebbi,NA,0.63338352,0.63338352,0.8,1432,218,2024,1,9
309,Agwara,Birnin Kebbi,NA,0.8,0.8,0.8,1650,151,2024,1,10
310,Agwara,Birnin Kebbi,NA,0.8,0.8,0.8,1801,185,2025,1,11
311,Agwara,Birnin Kebbi,NA,0.8,0.8,0.8,1986,183,2025,1,12
