State,LGA,repDS,peak,year,round,duration,coverage_high_access,coverage_low_access,max_age,simday
Borno,Guzamala,Babura,may,2020,2,-1,1,0.6,5,161
Borno,Guzamala,Babura,may,2020,3,-1,1,0.6,5,191
Borno,Guzamala,Babura,may,2020,4,-1,1,0.6,5,221
Niger,Chanchaga,Keana,august,2020,1,-1,1,0.6,5,223
Borno,Gwoza,Darazo,july,2020,2,-1,1,0.6,5,251
Borno,Gwoza,Darazo,july,2020,3,-1,1,0.6,5,279
Borno,Gwoza,Darazo,july,2020,4,-1,1,0.6,5,307
Katsina,Charanchi,Rimi,march,2020,1,-1,1,0.6,5,131
Borno,Hawul,Darazo,july,2020,2,-1,1,0.6,5,216
Borno,Hawul,Darazo,july,2020,3,-1,1,0.6,5,246
Borno,Hawul,Darazo,july,2020,4,-1,1,0.6,5,276
Borno,Chibok,Darazo,july,2020,1,-1,1,0.6,5,186
Borno,Jere,Gawabawa,august,2020,2,-1,1,0.6,5,253
Borno,Jere,Gawabawa,august,2020,3,-1,1,0.6,5,283
Borno,Jere,Gawabawa,august,2020,4,-1,1,0.6,5,313
Kaduna,Chikun,Soba,july,2020,1,-1,1,0.6,5,186
Borno,Kaga,Darazo,july,2020,2,-1,1,0.6,5,216
Borno,Kaga,Darazo,july,2020,3,-1,1,0.6,5,246
Borno,Kaga,Darazo,july,2020,4,-1,1,0.6,5,276
Kano,Dala,Alkaleri,july,2020,1,-1,1,0.6,5,186
Borno,Kala-Balge,Darazo,july,2020,2,-1,1,0.6,5,251
Borno,Kala-Balge,Darazo,july,2020,3,-1,1,0.6,5,279
Borno,Kala-Balge,Darazo,july,2020,4,-1,1,0.6,5,307
Yobe,Damaturu,Darazo,july,2020,1,-1,1,0.6,5,186
Borno,Konduga,Darazo,july,2020,2,-1,1,0.6,5,216
Borno,Konduga,Darazo,july,2020,3,-1,1,0.6,5,246
Borno,Konduga,Darazo,july,2020,4,-1,1,0.6,5,276
Bauchi,Damban,Darazo,july,2020,1,-1,1,0.6,5,186
Borno,Kukawa,Babura,may,2020,2,-1,1,0.6,5,161
Borno,Kukawa,Babura,may,2020,3,-1,1,0.6,5,191
Borno,Kukawa,Babura,may,2020,4,-1,1,0.6,5,221
Kano,Dambatta,Babura,may,2020,1,-1,1,0.6,5,131
Borno,Kwaya Kusar,Alkaleri,july,2020,2,-1,1,0.6,5,216
Borno,Kwaya Kusar,Alkaleri,july,2020,3,-1,1,0.6,5,246
Borno,Kwaya Kusar,Alkaleri,july,2020,4,-1,1,0.6,5,276
Borno,Damboa,Darazo,july,2020,1,-1,1,0.6,5,186
Borno,Mafa,Darazo,july,2020,2,-1,1,0.6,5,216
Borno,Mafa,Darazo,july,2020,3,-1,1,0.6,5,246
Borno,Mafa,Darazo,july,2020,4,-1,1,0.6,5,276
Katsina,Dan Musa,Rimi,march,2020,1,-1,1,0.6,5,131
Borno,Magumeri,Gawabawa,august,2020,2,-1,1,0.6,5,253
Borno,Magumeri,Gawabawa,august,2020,3,-1,1,0.6,5,283
Borno,Magumeri,Gawabawa,august,2020,4,-1,1,0.6,5,313
Kebbi,Dandi,Birnin Kebbi,august,2020,1,-1,1,0.6,5,223
Borno,Maiduguri,Darazo,july,2020,2,-1,1,0.6,5,216
Borno,Maiduguri,Darazo,july,2020,3,-1,1,0.6,5,246
Borno,Maiduguri,Darazo,july,2020,4,-1,1,0.6,5,276
Katsina,Dandume,Giwa,august,2020,1,-1,1,0.6,5,223
Borno,Marte,Babura,may,2020,2,-1,1,0.6,5,161
Borno,Marte,Babura,may,2020,3,-1,1,0.6,5,191
Borno,Marte,Babura,may,2020,4,-1,1,0.6,5,221
