adm1,LGA,smc_plan1,repDS,peak,year,round,duration,coverage_high_access,coverage_low_access,max_age,simday
Gombe,Nafada,SMC in PAAR,Alkaleri,july,2020,2,-1,1,0.6,5,216
Gombe,Nafada,SMC in PAAR,Alkaleri,july,2020,3,-1,1,0.6,5,246
Gombe,Nafada,SMC in PAAR,Alkaleri,july,2020,4,-1,1,0.6,5,276
Gombe,Shomgom,SMC in PAAR,Alkaleri,july,2020,1,-1,1,0.6,5,186
Gombe,Shomgom,SMC in PAAR,Alkaleri,july,2020,2,-1,1,0.6,5,216
Gombe,Shomgom,SMC in PAAR,Alkaleri,july,2020,3,-1,1,0.6,5,246
Gombe,Shomgom,SMC in PAAR,Alkaleri,july,2020,4,-1,1,0.6,5,276
Gombe,Yamaltu-Deba,SMC in PAAR,Alkaleri,july,2020,1,-1,1,0.6,5,186
Gombe,Yamaltu-Deba,SMC in PAAR,Alkaleri,july,2020,2,-1,1,0.6,5,216
Gombe,Yamaltu-Deba,SMC in PAAR,Alkaleri,july,2020,3,-1,1,0.6,5,246
Gombe,Yamaltu-Deba,SMC in PAAR,Alkaleri,july,2020,4,-1,1,0.6,5,276
Jigawa,Auyo,SMC,Taura,july,2020,1,-1,1,0.934456929,5,186
Jigawa,Auyo,SMC,Taura,july,2020,2,-1,1,0.973782772,5,214
Jigawa,Auyo,SMC,Taura,july,2020,3,-1,1,0.975655431,5,242
Jigawa,Auyo,SMC,Taura,july,2020,4,-1,1,0.653558052,5,270
Jigawa,Babura,SMC,Babura,may,2020,1,-1,1,0.934456929,5,186
Jigawa,Babura,SMC,Babura,may,2020,2,-1,1,0.973782772,5,214
Jigawa,Babura,SMC,Babura,may,2020,3,-1,1,0.975655431,5,242
Jigawa,Babura,SMC,Babura,may,2020,4,-1,1,0.653558052,5,270
Jigawa,Biriniwa,SMC,Taura,july,2020,1,-1,1,0.6,5,186
Jigawa,Biriniwa,SMC,Taura,july,2020,2,-1,1,0.6,5,216
Jigawa,Biriniwa,SMC,Taura,july,2020,3,-1,1,0.6,5,246
Jigawa,Biriniwa,SMC,Taura,july,2020,4,-1,1,0.6,5,276
Jigawa,Birni Kudu,SMC,Takali,september,2020,1,-1,1,0.6,5,250
Jigawa,Birni Kudu,SMC,Takali,september,2020,2,-1,1,0.6,5,280
Jigawa,Birni Kudu,SMC,Takali,september,2020,3,-1,1,0.6,5,310
Jigawa,Birni Kudu,SMC,Takali,september,2020,4,-1,1,0.6,5,340
Jigawa,Buji,SMC,Takali,september,2020,1,-1,1,0.934456929,5,186
Jigawa,Buji,SMC,Takali,september,2020,2,-1,1,0.973782772,5,214
Jigawa,Buji,SMC,Takali,september,2020,3,-1,1,0.975655431,5,242
Jigawa,Buji,SMC,Takali,september,2020,4,-1,1,0.653558052,5,270
Jigawa,Dutse,SMC,Takali,september,2020,1,-1,1,0.934456929,5,186
Jigawa,Dutse,SMC,Takali,september,2020,2,-1,1,0.973782772,5,214
Jigawa,Dutse,SMC,Takali,september,2020,3,-1,1,0.975655431,5,242
Jigawa,Dutse,SMC,Takali,september,2020,4,-1,1,0.653558052,5,270
Jigawa,Gagarawa,SMC,Taura,july,2020,1,-1,1,0.934456929,5,186
Jigawa,Gagarawa,SMC,Taura,july,2020,2,-1,1,0.973782772,5,214
Jigawa,Gagarawa,SMC,Taura,july,2020,3,-1,1,0.975655431,5,242
Jigawa,Gagarawa,SMC,Taura,july,2020,4,-1,1,0.653558052,5,270
Jigawa,Garki,SMC,Babura,may,2020,1,-1,1,0.934456929,5,186
Jigawa,Garki,SMC,Babura,may,2020,2,-1,1,0.973782772,5,214
Jigawa,Garki,SMC,Babura,may,2020,3,-1,1,0.975655431,5,242
Jigawa,Garki,SMC,Babura,may,2020,4,-1,1,0.653558052,5,270
Jigawa,Gumel,SMC,Babura,may,2020,1,-1,1,0.934456929,5,186
Jigawa,Gumel,SMC,Babura,may,2020,2,-1,1,0.973782772,5,214
Jigawa,Gumel,SMC,Babura,may,2020,3,-1,1,0.975655431,5,242
Jigawa,Gumel,SMC,Babura,may,2020,4,-1,1,0.653558052,5,270
Jigawa,Guri,SMC,Taura,july,2020,1,-1,1,0.934456929,5,186
Jigawa,Guri,SMC,Taura,july,2020,2,-1,1,0.973782772,5,214
Jigawa,Guri,SMC,Taura,july,2020,3,-1,1,0.975655431,5,242
Jigawa,Guri,SMC,Taura,july,2020,4,-1,1,0.653558052,5,270
Jigawa,Gwaram,SMC,Takali,september,2020,1,-1,1,0.934456929,5,186
Jigawa,Gwaram,SMC,Takali,september,2020,2,-1,1,0.973782772,5,214
Jigawa,Gwaram,SMC,Takali,september,2020,3,-1,1,0.975655431,5,242
Jigawa,Gwaram,SMC,Takali,september,2020,4,-1,1,0.653558052,5,270
Jigawa,Gwiwa,SMC,Babura,may,2020,1,-1,1,0.934456929,5,186
Jigawa,Gwiwa,SMC,Babura,may,2020,2,-1,1,0.973782772,5,214
Jigawa,Gwiwa,SMC,Babura,may,2020,3,-1,1,0.975655431,5,242
Jigawa,Gwiwa,SMC,Babura,may,2020,4,-1,1,0.653558052,5,270
Jigawa,Hadejia,SMC,Taura,july,2020,1,-1,1,0.934456929,5,186
Jigawa,Hadejia,SMC,Taura,july,2020,2,-1,1,0.973782772,5,214
Jigawa,Hadejia,SMC,Taura,july,2020,3,-1,1,0.975655431,5,242
Jigawa,Hadejia,SMC,Taura,july,2020,4,-1,1,0.653558052,5,270
Jigawa,Jahun,SMC,Taura,july,2020,1,-1,1,0.934456929,5,186
Jigawa,Jahun,SMC,Taura,july,2020,2,-1,1,0.973782772,5,214
Jigawa,Jahun,SMC,Taura,july,2020,3,-1,1,0.975655431,5,242
Jigawa,Jahun,SMC,Taura,july,2020,4,-1,1,0.653558052,5,270
Jigawa,Kafin Hausa,SMC,Taura,july,2020,1,-1,1,0.6,5,186
Jigawa,Kafin Hausa,SMC,Taura,july,2020,2,-1,1,0.6,5,216
Jigawa,Kafin Hausa,SMC,Taura,july,2020,3,-1,1,0.6,5,246
