LGA,State,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Bodinga,Sokoto,Gawabawa,august,253,2020,2,-1,0.8,0.2,5
Bodinga,Sokoto,Gawabawa,august,283,2020,3,-1,0.8,0.2,5
Bodinga,Sokoto,Gawabawa,august,313,2020,4,-1,0.8,0.2,5
Dange-Shnsi,Sokoto,Gawabawa,august,223,2020,1,-1,0.8,0.2,5
Dange-Shnsi,Sokoto,Gawabawa,august,253,2020,2,-1,0.8,0.2,5
Dange-Shnsi,Sokoto,Gawabawa,august,283,2020,3,-1,0.8,0.2,5
Dange-Shnsi,Sokoto,Gawabawa,august,313,2020,4,-1,0.8,0.2,5
Gada,Sokoto,Gawabawa,august,223,2020,1,-1,0.8,0.2,5
Gada,Sokoto,Gawabawa,august,253,2020,2,-1,0.8,0.2,5
Gada,Sokoto,Gawabawa,august,283,2020,3,-1,0.8,0.2,5
Gada,Sokoto,Gawabawa,august,313,2020,4,-1,0.8,0.2,5
Goronyo,Sokoto,Gawabawa,august,223,2020,1,-1,0.8,0.2,5
Goronyo,Sokoto,Gawabawa,august,253,2020,2,-1,0.8,0.2,5
Goronyo,Sokoto,Gawabawa,august,283,2020,3,-1,0.8,0.2,5
Goronyo,Sokoto,Gawabawa,august,313,2020,4,-1,0.8,0.2,5
Gudu,Sokoto,Gawabawa,august,223,2020,1,-1,0.8,0.2,5
Gudu,Sokoto,Gawabawa,august,253,2020,2,-1,0.8,0.2,5
Gudu,Sokoto,Gawabawa,august,283,2020,3,-1,0.8,0.2,5
Gudu,Sokoto,Gawabawa,august,313,2020,4,-1,0.8,0.2,5
Gawabawa,Sokoto,Gawabawa,august,223,2020,1,-1,0.8,0.2,5
Gawabawa,Sokoto,Gawabawa,august,253,2020,2,-1,0.8,0.2,5
Gawabawa,Sokoto,Gawabawa,august,283,2020,3,-1,0.8,0.2,5
Gawabawa,Sokoto,Gawabawa,august,313,2020,4,-1,0.8,0.2,5
Illela,Sokoto,Gawabawa,august,223,2020,1,-1,0.8,0.2,5
Illela,Sokoto,Gawabawa,august,253,2020,2,-1,0.8,0.2,5
Illela,Sokoto,Gawabawa,august,283,2020,3,-1,0.8,0.2,5
Illela,Sokoto,Gawabawa,august,313,2020,4,-1,0.8,0.2,5
Isa,Sokoto,Rimi,march,70,2020,1,-1,0.8,0.2,5
Isa,Sokoto,Rimi,march,100,2020,2,-1,0.8,0.2,5
Isa,Sokoto,Rimi,march,130,2020,3,-1,0.8,0.2,5
Isa,Sokoto,Rimi,march,160,2020,4,-1,0.8,0.2,5
Kebbe,Sokoto,Birnin Kebbi,august,223,2020,1,-1,0.8,0.2,5
Kebbe,Sokoto,Birnin Kebbi,august,253,2020,2,-1,0.8,0.2,5
Kebbe,Sokoto,Birnin Kebbi,august,283,2020,3,-1,0.8,0.2,5
Kebbe,Sokoto,Birnin Kebbi,august,313,2020,4,-1,0.8,0.2,5
Kware,Sokoto,Gawabawa,august,223,2020,1,-1,0.8,0.2,5
Kware,Sokoto,Gawabawa,august,253,2020,2,-1,0.8,0.2,5
Kware,Sokoto,Gawabawa,august,283,2020,3,-1,0.8,0.2,5
Kware,Sokoto,Gawabawa,august,313,2020,4,-1,0.8,0.2,5
Rabah,Sokoto,Gawabawa,august,223,2020,1,-1,0.8,0.2,5
Rabah,Sokoto,Gawabawa,august,253,2020,2,-1,0.8,0.2,5
Rabah,Sokoto,Gawabawa,august,283,2020,3,-1,0.8,0.2,5
Rabah,Sokoto,Gawabawa,august,313,2020,4,-1,0.8,0.2,5
Sabon Birni,Sokoto,Gawabawa,august,223,2020,1,-1,0.8,0.2,5
Sabon Birni,Sokoto,Gawabawa,august,253,2020,2,-1,0.8,0.2,5
Sabon Birni,Sokoto,Gawabawa,august,283,2020,3,-1,0.8,0.2,5
Sabon Birni,Sokoto,Gawabawa,august,313,2020,4,-1,0.8,0.2,5
Shagari,Sokoto,Birnin Kebbi,august,223,2020,1,-1,0.8,0.2,5
Shagari,Sokoto,Birnin Kebbi,august,253,2020,2,-1,0.8,0.2,5
Shagari,Sokoto,Birnin Kebbi,august,283,2020,3,-1,0.8,0.2,5
Shagari,Sokoto,Birnin Kebbi,august,313,2020,4,-1,0.8,0.2,5
Silame,Sokoto,Gawabawa,august,223,2020,1,-1,0.8,0.2,5
Silame,Sokoto,Gawabawa,august,253,2020,2,-1,0.8,0.2,5
Silame,Sokoto,Gawabawa,august,283,2020,3,-1,0.8,0.2,5
Silame,Sokoto,Gawabawa,august,313,2020,4,-1,0.8,0.2,5
Sokoto North,Sokoto,Gawabawa,august,223,2020,1,-1,0.8,0.2,5
Sokoto North,Sokoto,Gawabawa,august,253,2020,2,-1,0.8,0.2,5
Sokoto North,Sokoto,Gawabawa,august,283,2020,3,-1,0.8,0.2,5
Sokoto North,Sokoto,Gawabawa,august,313,2020,4,-1,0.8,0.2,5
Sokoto South,Sokoto,Birnin Kebbi,august,223,2020,1,-1,0.8,0.2,5
Sokoto South,Sokoto,Birnin Kebbi,august,253,2020,2,-1,0.8,0.2,5
Sokoto South,Sokoto,Birnin Kebbi,august,283,2020,3,-1,0.8,0.2,5
Sokoto South,Sokoto,Birnin Kebbi,august,313,2020,4,-1,0.8,0.2,5
Tambuwal,Sokoto,Birnin Kebbi,august,223,2020,1,-1,0.8,0.2,5
Tambuwal,Sokoto,Birnin Kebbi,august,253,2020,2,-1,0.8,0.2,5
Tambuwal,Sokoto,Birnin Kebbi,august,283,2020,3,-1,0.8,0.2,5
Tambuwal,Sokoto,Birnin Kebbi,august,313,2020,4,-1,0.8,0.2,5
Tangaza,Sokoto,Gawabawa,august,223,2020,1,-1,0.8,0.2,5
Tangaza,Sokoto,Gawabawa,august,253,2020,2,-1,0.8,0.2,5
Tangaza,Sokoto,Gawabawa,august,283,2020,3,-1,0.8,0.2,5
Tangaza,Sokoto,Gawabawa,august,313,2020,4,-1,0.8,0.2,5
Tureta,Sokoto,Birnin Kebbi,august,223,2020,1,-1,0.8,0.2,5
Tureta,Sokoto,Birnin Kebbi,august,253,2020,2,-1,0.8,0.2,5
Tureta,Sokoto,Birnin Kebbi,august,283,2020,3,-1,0.8,0.2,5
Tureta,Sokoto,Birnin Kebbi,august,313,2020,4,-1,0.8,0.2,5
Wamako,Sokoto,Gawabawa,august,223,2020,1,-1,0.8,0.2,5
Wamako,Sokoto,Gawabawa,august,253,2020,2,-1,0.8,0.2,5
Wamako,Sokoto,Gawabawa,august,283,2020,3,-1,0.8,0.2,5
Wamako,Sokoto,Gawabawa,august,313,2020,4,-1,0.8,0.2,5
Wurno,Sokoto,Gawabawa,august,223,2020,1,-1,0.8,0.2,5
Wurno,Sokoto,Gawabawa,august,253,2020,2,-1,0.8,0.2,5
Wurno,Sokoto,Gawabawa,august,283,2020,3,-1,0.8,0.2,5
Wurno,Sokoto,Gawabawa,august,313,2020,4,-1,0.8,0.2,5
Yabo,Sokoto,Gawabawa,august,223,2020,1,-1,0.8,0.2,5
Yabo,Sokoto,Gawabawa,august,253,2020,2,-1,0.8,0.2,5
Yabo,Sokoto,Gawabawa,august,283,2020,3,-1,0.8,0.2,5
Yabo,Sokoto,Gawabawa,august,313,2020,4,-1,0.8,0.2,5
Bade,Yobe,Taura,july,186,2020,1,-1,0.8,0.2,5
Bade,Yobe,Taura,july,216,2020,2,-1,0.8,0.2,5
Bade,Yobe,Taura,july,246,2020,3,-1,0.8,0.2,5
Bade,Yobe,Taura,july,276,2020,4,-1,0.8,0.2,5
Karasuwa,Yobe,Taura,july,186,2020,1,-1,0.8,0.2,5
Karasuwa,Yobe,Taura,july,216,2020,2,-1,0.8,0.2,5
Karasuwa,Yobe,Taura,july,246,2020,3,-1,0.8,0.2,5
Karasuwa,Yobe,Taura,july,276,2020,4,-1,0.8,0.2,5
Machina,Yobe,Taura,july,186,2020,1,-1,0.8,0.2,5
Machina,Yobe,Taura,july,216,2020,2,-1,0.8,0.2,5
Machina,Yobe,Taura,july,246,2020,3,-1,0.8,0.2,5
Machina,Yobe,Taura,july,276,2020,4,-1,0.8,0.2,5
Nguru,Yobe,Taura,july,186,2020,1,-1,0.8,0.2,5
Nguru,Yobe,Taura,july,216,2020,2,-1,0.8,0.2,5
Nguru,Yobe,Taura,july,246,2020,3,-1,0.8,0.2,5
Nguru,Yobe,Taura,july,276,2020,4,-1,0.8,0.2,5
Tarmua,Yobe,Rimi,march,70,2020,1,-1,0.8,0.2,5
Tarmua,Yobe,Rimi,march,100,2020,2,-1,0.8,0.2,5
Tarmua,Yobe,Rimi,march,130,2020,3,-1,0.8,0.2,5
Tarmua,Yobe,Rimi,march,160,2020,4,-1,0.8,0.2,5
Yusufari,Yobe,Taura,july,186,2020,1,-1,0.8,0.2,5
Yusufari,Yobe,Taura,july,216,2020,2,-1,0.8,0.2,5
Yusufari,Yobe,Taura,july,246,2020,3,-1,0.8,0.2,5
Yusufari,Yobe,Taura,july,276,2020,4,-1,0.8,0.2,5
Anka,Zamfara,Darazo,july,186,2020,1,-1,0.8,0.2,5
Anka,Zamfara,Darazo,july,216,2020,2,-1,0.8,0.2,5
Anka,Zamfara,Darazo,july,246,2020,3,-1,0.8,0.2,5
Anka,Zamfara,Darazo,july,276,2020,4,-1,0.8,0.2,5
Bakura,Zamfara,Darazo,july,186,2020,1,-1,0.8,0.2,5
Bakura,Zamfara,Darazo,july,216,2020,2,-1,0.8,0.2,5
Bakura,Zamfara,Darazo,july,246,2020,3,-1,0.8,0.2,5
Bakura,Zamfara,Darazo,july,276,2020,4,-1,0.8,0.2,5
Birnin Magaji,Zamfara,Rimi,march,70,2020,1,-1,0.8,0.2,5
Birnin Magaji,Zamfara,Rimi,march,100,2020,2,-1,0.8,0.2,5
Birnin Magaji,Zamfara,Rimi,march,130,2020,3,-1,0.8,0.2,5
Birnin Magaji,Zamfara,Rimi,march,160,2020,4,-1,0.8,0.2,5
Bukkuyum,Zamfara,Alkaleri,july,186,2020,1,-1,0.8,0.2,5
Bukkuyum,Zamfara,Alkaleri,july,216,2020,2,-1,0.8,0.2,5
Bukkuyum,Zamfara,Alkaleri,july,246,2020,3,-1,0.8,0.2,5
Bukkuyum,Zamfara,Alkaleri,july,276,2020,4,-1,0.8,0.2,5
Bungudu,Zamfara,Takali,september,250,2020,1,-1,0.8,0.2,5
Bungudu,Zamfara,Takali,september,280,2020,2,-1,0.8,0.2,5
Bungudu,Zamfara,Takali,september,310,2020,3,-1,0.8,0.2,5
Bungudu,Zamfara,Takali,september,340,2020,4,-1,0.8,0.2,5
Gummi,Zamfara,Birnin Kebbi,august,223,2020,1,-1,0.8,0.2,5
Gummi,Zamfara,Birnin Kebbi,august,253,2020,2,-1,0.8,0.2,5
Gummi,Zamfara,Birnin Kebbi,august,283,2020,3,-1,0.8,0.2,5
Gummi,Zamfara,Birnin Kebbi,august,313,2020,4,-1,0.8,0.2,5
Gusau,Zamfara,Darazo,july,186,2020,1,-1,0.8,0.2,5
Gusau,Zamfara,Darazo,july,216,2020,2,-1,0.8,0.2,5
Gusau,Zamfara,Darazo,july,246,2020,3,-1,0.8,0.2,5
Gusau,Zamfara,Darazo,july,276,2020,4,-1,0.8,0.2,5
Kaura-Namoda,Zamfara,Rimi,march,70,2020,1,-1,0.8,0.2,5
Kaura-Namoda,Zamfara,Rimi,march,100,2020,2,-1,0.8,0.2,5
Kaura-Namoda,Zamfara,Rimi,march,130,2020,3,-1,0.8,0.2,5
Kaura-Namoda,Zamfara,Rimi,march,160,2020,4,-1,0.8,0.2,5
Maradun,Zamfara,Darazo,july,186,2020,1,-1,0.8,0.2,5
Maradun,Zamfara,Darazo,july,216,2020,2,-1,0.8,0.2,5
Maradun,Zamfara,Darazo,july,246,2020,3,-1,0.8,0.2,5
Maradun,Zamfara,Darazo,july,276,2020,4,-1,0.8,0.2,5
Maru,Zamfara,Giwa,august,223,2020,1,-1,0.8,0.2,5
Maru,Zamfara,Giwa,august,253,2020,2,-1,0.8,0.2,5
Maru,Zamfara,Giwa,august,283,2020,3,-1,0.8,0.2,5
Maru,Zamfara,Giwa,august,313,2020,4,-1,0.8,0.2,5
Shinkafi,Zamfara,Rimi,march,70,2020,1,-1,0.8,0.2,5
Shinkafi,Zamfara,Rimi,march,100,2020,2,-1,0.8,0.2,5
Shinkafi,Zamfara,Rimi,march,130,2020,3,-1,0.8,0.2,5
Shinkafi,Zamfara,Rimi,march,160,2020,4,-1,0.8,0.2,5
Talata Mafara,Zamfara,Darazo,july,186,2020,1,-1,0.8,0.2,5
Talata Mafara,Zamfara,Darazo,july,216,2020,2,-1,0.8,0.2,5
Talata Mafara,Zamfara,Darazo,july,246,2020,3,-1,0.8,0.2,5
Talata Mafara,Zamfara,Darazo,july,276,2020,4,-1,0.8,0.2,5
Tsafe,Zamfara,Takali,september,250,2020,1,-1,0.8,0.2,5
Tsafe,Zamfara,Takali,september,280,2020,2,-1,0.8,0.2,5
Tsafe,Zamfara,Takali,september,310,2020,3,-1,0.8,0.2,5
Tsafe,Zamfara,Takali,september,340,2020,4,-1,0.8,0.2,5
Zurmi,Zamfara,Rimi,march,70,2020,1,-1,0.8,0.2,5
Zurmi,Zamfara,Rimi,march,100,2020,2,-1,0.8,0.2,5
Zurmi,Zamfara,Rimi,march,130,2020,3,-1,0.8,0.2,5
Zurmi,Zamfara,Rimi,march,160,2020,4,-1,0.8,0.2,5
Bama,Borno,Darazo,july,550,2021,1,-1,0.8,0.2,5
Bama,Borno,Darazo,july,580,2021,2,-1,0.8,0.2,5
Bama,Borno,Darazo,july,610,2021,3,-1,0.8,0.2,5
Bama,Borno,Darazo,july,640,2021,4,-1,0.8,0.2,5
Kala-Balge,Borno,Darazo,july,550,2021,1,-1,0.8,0.2,5
