,adm1,adm2,year,llins_yn,llins_num,llin_month,mortality,Kill_rate
276,Ogun,Egbado South,2014,1.0,,3.0,0.29595239,0.3742274890491728
277,Ogun,Ewekoro,2014,1.0,,3.0,0.29620397800000003,0.3744332805105292
278,Ogun,Ifo,2014,1.0,,3.0,0.329047925,0.401424786300741
279,Ogun,Ijebu East,2014,1.0,,3.0,0.446604833,0.4971914009830768
280,Ogun,Ijebu North,2014,1.0,,3.0,0.28951563399999997,0.3689692347366286
281,Ogun,Ijebu North East,2014,1.0,,3.0,0.334382875,0.4058242513465759
282,Ogun,Ijebu ode,2014,1.0,,3.0,0.38043397700000003,0.44375781172956064
283,Ogun,Ikenne,2014,1.0,,3.0,0.2800778,0.36128564475616604
284,Ogun,Imeko-Afon,2014,1.0,,3.0,0.19041955600000002,0.29077928672701875
285,Ogun,Ipokia,2014,1.0,,3.0,0.278952997,0.360372207722309
286,Ogun,Obafemi-Owode,2014,1.0,,3.0,0.295085253,0.37351834485572066
287,Ogun,Odeda,2014,1.0,,3.0,0.2584868,0.3438513013016971
288,Ogun,Odogbolu,2014,1.0,,3.0,0.387555714,0.4495931591749239
289,Ogun,Ogun waterside,2014,1.0,,3.0,0.49974201799999995,0.5381376439579191
290,Ogun,Remo North,2014,1.0,,3.0,0.25185818600000004,0.3385459819371266
291,Ogun,Shagamu,2014,1.0,,3.0,0.33465745399999997,0.40605073265064867
292,Rivers,Abua/Odual,2014,1.0,,10.0,0.38031265,0.44365828408798785
293,Rivers,Ahoada East,2014,1.0,,10.0,0.47206564,0.5170875135792609
294,Rivers,Ahoada West,2014,1.0,,10.0,0.43567796700000005,0.48851855718325116
295,Rivers,Akuku Toru,2014,1.0,,10.0,0.265168493,0.3492228476129973
296,Rivers,Andoni,2014,1.0,,10.0,0.286831473,0.36678063555085416
297,Rivers,Asari-Toru,2014,1.0,,10.0,0.195690218,0.29476131408605777
298,Rivers,Bonny,2014,1.0,,10.0,0.265104921,0.3491716339767
299,Rivers,Degema,2014,1.0,,10.0,0.265529468,0.3495136871036148
300,Rivers,Eleme,2014,1.0,,10.0,0.417274071,0.4737564922357187
301,Rivers,Emohua,2014,1.0,,10.0,0.410019391,0.46789075060102336
302,Rivers,Etche,2014,1.0,,10.0,0.502493127,0.540193487631355
303,Rivers,Gokana,2014,1.0,,10.0,0.43392722,0.48712224795385206
304,Rivers,Ikwerre,2014,1.0,,10.0,0.47113830100000004,0.5163712446574303
305,Rivers,Khana,2014,1.0,,10.0,0.44560027700000004,0.4963971904848537
306,Rivers,Obia/Akpor,2014,1.0,,10.0,0.47058433299999997,0.5159430448575423
307,Rivers,Ogba/Egbema/Ndoni,2014,1.0,,10.0,0.538945456,0.5667413709885484
308,Rivers,Ogu/Bolo,2014,1.0,,10.0,0.318304682,0.39257405748255114
309,Rivers,Okrika,2014,1.0,,10.0,0.294299176,0.3728756923064193
310,Rivers,Omumma,2014,1.0,,10.0,0.527509716,0.5585565204540734
311,Rivers,Opobo/Nkoro,2014,1.0,,10.0,0.318792517,0.3929756192898496
312,Rivers,Oyigbo,2014,1.0,,10.0,0.44617693399999997,0.49685318012653107
313,Rivers,Port-Harcourt,2014,1.0,,10.0,0.330850493,0.40291104098270153
314,Rivers,Tai,2014,1.0,,10.0,0.368086249,0.43361193010779053
315,Abia,Aba North,2015,1.0,,2.0,0.320310831,0.39422565496403844
316,Abia,Aba South,2015,1.0,,2.0,0.29570442399999997,0.3740246790853933
