,State,LGA,area_sq_km
684,Kaduna,Zango-Kataf,2639.729747
685,Ondo,Ose,1547.104663
686,Jigawa,Gwiwa,564.0464949
687,Anambra,Idemili North,87.85178765
688,Osun,Iwo,301.7723294
689,Anambra,Orumba North,365.5755073
690,Adamawa,Hong,2738.347073
691,Ekiti,Emure,287.9246247
692,Kogi,Omala,1757.785316
693,Cross River,Calabar South,182.6020232
694,Akwa,Nsit Atai,132.0281962
695,Benue,Gboko,1932.611006
696,Abia,Aba North,18.15647171
697,Oyo,Atigbo,2773.449047
698,Abia,Arochukwu,386.9911254
699,Katsina,Mashi,912.7204967
700,Akwa,Mkpat Enin,347.4711562
701,Adamawa,Guyuk,701.4035274
702,Niger,Chanchaga,73.91627355
703,Akwa,Etim Ekpo,193.9716571
704,Kaduna,Kaura,509.91682
705,Adamawa,Lamurde,1169.657124
706,Edo,Ikpoba-Okha,842.7260816
707,Yobe,Nguru,948.9819099
708,Lagos,Oshodi-Isolo,38.68204761
709,Delta,Isoko South,682.7094005
710,Zamfara,Gummi,3271.184378
711,Plateau,Kanke,1281.960219
712,Adamawa,Shelleng,1609.013586
713,Nasarawa,Kokona,1798.364332
714,Katsina,Daura,315.6349578
715,Nasarawa,Nasarawa2,5819.42646
716,Imo,Aboh-Mbaise,167.8006099
717,Gombe,Funakaye,1418.841079
718,Zamfara,Shinkafi,922.3563226
719,Plateau,Wase,6222.93353
720,Bauchi,Damban,990.5003412
721,Abia,Ohafia,569.6890997
722,Oyo,Ibadan North  ,17.76379982
723,Sokoto,Wamako,572.8865127
724,Niger,Rijau,3046.906307
725,Yobe,Karasuwa,1163.994074
726,Nasarawa,Nasarawa-Eggon,1189.120229
727,Ogun,Abeokuta South,70.24736694
728,Bayelsa,Southern Ijaw,2588.306924
