LGA,State,year,round,duration,coverage_high_access,coverage_low_access,max_age,month_new,simday,coverage_high_access_per,coverage_low_access_per
Bakura,Zamfara,2022,4,-1,1,0.268128162,5,10,1000,100,26.8
Bakura,Zamfara,2023,1,-1,1,0.854974705,5,7,1281,100,85.5
Bakura,Zamfara,2023,2,-1,1,0.927487352,5,8,1309,100,92.7
Bakura,Zamfara,2023,3,-1,1,0.937605396,5,9,1337,100,93.8
Bakura,Zamfara,2023,4,-1,1,0.268128162,5,10,1365,100,26.8
Bakura,Zamfara,2024,1,-1,1,0.854974705,5,7,1646,100,85.5
Bakura,Zamfara,2024,2,-1,1,0.927487352,5,8,1674,100,92.7
Bakura,Zamfara,2024,3,-1,1,0.937605396,5,9,1702,100,93.8
Bakura,Zamfara,2024,4,-1,1,0.268128162,5,10,1730,100,26.8
Bakura,Zamfara,2025,1,-1,1,0.854974705,5,7,2011,100,85.5
Bakura,Zamfara,2025,2,-1,1,0.927487352,5,8,2039,100,92.7
Bakura,Zamfara,2025,3,-1,1,0.937605396,5,9,2067,100,93.8
Bakura,Zamfara,2025,4,-1,1,0.268128162,5,10,2095,100,26.8
Bakura,Zamfara,2026,1,-1,1,0.854974705,5,7,2376,100,85.5
Bakura,Zamfara,2026,2,-1,1,0.927487352,5,8,2404,100,92.7
Bakura,Zamfara,2026,3,-1,1,0.937605396,5,9,2432,100,93.8
Bakura,Zamfara,2026,4,-1,1,0.268128162,5,10,2460,100,26.8
Bakura,Zamfara,2027,1,-1,1,0.854974705,5,7,2741,100,85.5
Bakura,Zamfara,2027,2,-1,1,0.927487352,5,8,2769,100,92.7
Bakura,Zamfara,2027,3,-1,1,0.937605396,5,9,2797,100,93.8
Bakura,Zamfara,2027,4,-1,1,0.268128162,5,10,2825,100,26.8
Bakura,Zamfara,2028,1,-1,1,0.854974705,5,7,3106,100,85.5
Bakura,Zamfara,2028,2,-1,1,0.927487352,5,8,3134,100,92.7
Bakura,Zamfara,2028,3,-1,1,0.937605396,5,9,3162,100,93.8
Bakura,Zamfara,2028,4,-1,1,0.268128162,5,10,3190,100,26.8
Bakura,Zamfara,2029,1,-1,1,0.854974705,5,7,3471,100,85.5
Bakura,Zamfara,2029,2,-1,1,0.927487352,5,8,3499,100,92.7
Bakura,Zamfara,2029,3,-1,1,0.937605396,5,9,3527,100,93.8
Bakura,Zamfara,2029,4,-1,1,0.268128162,5,10,3555,100,26.8
Bakura,Zamfara,2030,1,-1,1,0.854974705,5,7,3836,100,85.5
Bakura,Zamfara,2030,2,-1,1,0.927487352,5,8,3864,100,92.7
Bakura,Zamfara,2030,3,-1,1,0.937605396,5,9,3892,100,93.8
Bakura,Zamfara,2030,4,-1,1,0.268128162,5,10,3920,100,26.8
Bama,Borno,2020,2,-1,0.6,0.2,5,9,251,60,20.0
Bama,Borno,2020,3,-1,0.6,0.2,5,10,279,60,20.0
Bama,Borno,2020,4,-1,0.6,0.2,5,11,307,60,20.0
Bama,Borno,2020,1,-1,0.6,0.2,5,8,223,60,20.0
