,LGA,Rep_DS,State,simday,duration,year,U5_coverage_m,U5_coverage_l,U5_coverage,adult_coverage_m,adult_coverage_l,adult_coverage,severe_cases
189,Eleme,Ahoada West,Rivers,0,1095,2010,0.244230555,0.139011,0.38041,0.244230555,0.139011,0.38041,0.49
190,Emohua,Ahoada West,Rivers,0,1095,2010,0.244230555,0.139011,0.38041,0.244230555,0.139011,0.38041,0.49
191,Emure,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.008636,0.089926,0.033965668,0.008636,0.089926,0.49
192,Enugu East,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.065637,0.148298,0.101110595,0.065637,0.148298,0.49
193,Enugu North,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.065637,0.148298,0.101110595,0.065637,0.148298,0.49
194,Enugu South,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.065637,0.148298,0.101110595,0.065637,0.148298,0.49
195,Epe,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.065637,0.148298,0.101110595,0.065637,0.148298,0.49
196,Esan Central,Owan East,Edo,0,1095,2010,0.100639757,0.040692,0.20155,0.100639757,0.040692,0.20155,0.49
197,Esan North East,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.065637,0.148298,0.101110595,0.065637,0.148298,0.49
198,Esan South East,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.065637,0.148298,0.101110595,0.065637,0.148298,0.49
199,Esan West,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.065637,0.148298,0.101110595,0.065637,0.148298,0.49
200,Ese-Odo,Owan East,Edo,0,1095,2010,0.100639757,0.040692,0.20155,0.100639757,0.040692,0.20155,0.49
201,Esit Eket,Nsit Ubium,Akwa lbom,0,1095,2010,0.092807342,0.049395,0.157392,0.092807342,0.049395,0.157392,0.49
202,Essien Udim,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.014185,0.082396,0.038064811,0.014185,0.082396,0.49
203,Etche,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.014185,0.082396,0.038064811,0.014185,0.082396,0.49
