,LGA,Rep_DS,State,simday,duration,year,U5_coverage,adult_coverage
213,Ewekoro,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
214,Ezeagu,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
215,Ezinihitte,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
216,Ezza North,Owan East,Edo,0,1095,2010,0.20155,0.20155
217,Ezza South,Obubra,Cross River,0,1095,2010,0,0
218,Fagge,Alkaleri,Bauchi,0,1095,2010,0.297911,0.297911
219,Fakai,Birnin Kebbi,Kebbi,0,1095,2010,0.033146,0.033146
220,Faskari,Giwa,Kaduna,0,1095,2010,0.064588,0.064588
221,Fika,Darazo,Bauchi,0,1095,2010,0.122656,0.122656
222,Fufore,Alkaleri,Bauchi,0,1095,2010,0.297911,0.297911
223,Funakaye,Alkaleri,Bauchi,0,1095,2010,0.297911,0.297911
224,Fune,Darazo,Bauchi,0,1095,2010,0.122656,0.122656
225,Funtua,Gwarzo,Kano,0,1095,2010,0.044545,0.044545
226,Gabasawa,Taura,Jigawa,0,1095,2010,0.128142,0.128142
227,Gada,Gawabawa,Sokoto,0,1095,2010,0,0
228,Gagarawa,Taura,Jigawa,0,1095,2010,0.128142,0.128142
229,Gamawa,Gwarzo,Kano,0,1095,2010,0.044545,0.044545
230,Ganaye,Alkaleri,Bauchi,0,1095,2010,0.297911,0.297911
231,Ganjuwa,Darazo,Bauchi,0,1095,2010,0.122656,0.122656
232,Garki,Babura,Jigawa,0,1095,2010,0.102781,0.102781
233,Garko,Gwarzo,Kano,0,1095,2010,0.044545,0.044545
234,Garum Mallam,Gwarzo,Kano,0,1095,2010,0.044545,0.044545
235,Gashaka,Oru West,Imo,0,1095,2010,0.275321,0.275321
236,Gassol,Keana,Nasarawa,0,1095,2010,0.038083,0.038083
237,Gawabawa,Gawabawa,Sokoto,0,1095,2010,0,0
238,Gaya,Gwarzo,Kano,0,1095,2010,0.044545,0.044545
