LGA,repDS,comboACT,ci_l,ci_u,Number of Participants,comboACT_repDS,ci_l_repDS,ci_u_repDS,Num_repDS,simday,duration,year
Gboyin,Obubra,0.250019727,-0.064967364,0.565006818,2,0.050301814,-0.000413861,0.101017488,94,1095,730,2013
Idosi-Osi,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ijero,Oke-Ero,0.109211148,0,0,0,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ikere,Owan East,0.044332263,0,0,1,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ikole,Oke-Ero,0.109211148,0,0,1,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ilemeji,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Irepodun/Ifelodun,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ise/Orun,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Moba,Oke-Ero,0.109211148,0,0,0,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Oye,Oke-Ero,0.109211148,0,0,1,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ezeagu,Uzo-Uwani,0.072215691,0,0,5,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Igbo-Etiti,Uzo-Uwani,0.059780553,-0.019358994,0.138920099,11,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Igbo-Eze North,Uzo-Uwani,0.072215691,0,0,16,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Igbo-Eze South,Uzo-Uwani,0.072215691,0,0,2,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Isi-Uzo,Owan East,0.044332263,0,0,3,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Nkanu East,Owan East,0.044332263,0,0,1,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Nkanu West,Uzo-Uwani,0.25,0.25,0.25,6,0.072215691,0.02817451,0.116256872,214,1095,730,2013
