,LGA,repDS,State,year,comboACT,U5_coverage,adult_coverage,simday,duration,severe_cases
148,Nganzai,Gawabawa,Borno,2010,0.133238674,0.133238674,0.133238674,0,1095,0.49
149,Bekwara,Oke-Ero,Cross River,2010,0.131600298,0.131600298,0.131600298,0,1095,0.49
150,Calabar-Municipal,Nsit Ubium,Cross River,2010,0.295214637,0.295214637,0.295214637,0,1095,0.49
151,Ikom,Obubra,Cross River,2010,0.36274387,0.36274387,0.36274387,0,1095,0.49
152,Obubra,Obubra,Cross River,2010,0.193947767,0.193947767,0.193947767,0,1095,0.49
153,Enugu South,Uzo-Uwani,Enugu,2010,0.268282354,0.268282354,0.268282354,0,1095,0.49
154,Odukpani,Ngor-Okpala,Cross River,2010,0.211841821,0.211841821,0.211841821,0,1095,0.49
155,Ogoja,Obubra,Cross River,2010,0.185392353,0.185392353,0.185392353,0,1095,0.49
156,Yakurr,Obubra,Cross River,2010,0.183415895,0.183415895,0.183415895,0,1095,0.49
157,Ogbomosho North,Akinyele,Oyo,2010,0.151606854,0.151606854,0.151606854,0,1095,0.49
158,Yala,Oke-Ero,Cross River,2010,0.145242268,0.145242268,0.145242268,0,1095,0.49
159,Aniocha North,Uzo-Uwani,Delta,2010,0.17642943,0.17642943,0.17642943,0,1095,0.49
160,Aniocha South,Uzo-Uwani,Delta,2010,0.144580411,0.144580411,0.144580411,0,1095,0.49
161,Ibadan South West,Owan East,Oyo,2010,0.24292859,0.24292859,0.24292859,0,1095,0.49
162,Ethiope East,Isoko South,Delta,2010,0.124702784,0.124702784,0.124702784,0,1095,0.49
163,Ethiope West,Isoko South,Delta,2010,0.15350276,0.15350276,0.15350276,0,1095,0.49
164,Ika North East,Uzo-Uwani,Delta,2010,0.130153853,0.130153853,0.130153853,0,1095,0.49
165,Ika South,Uzo-Uwani,Delta,2010,0.099404573,0.099404573,0.099404573,0,1095,0.49
166,Isoko North,Isoko South,Delta,2010,0.138903097,0.138903097,0.138903097,0,1095,0.49
167,Ogbomosho South,Akinyele,Oyo,2010,0.151898415,0.151898415,0.151898415,0,1095,0.49
168,Isoko South,Isoko South,Delta,2010,0.154032429,0.154032429,0.154032429,0,1095,0.49
169,Ndokwa East,Ahoada West,Delta,2010,0.138264804,0.138264804,0.138264804,0,1095,0.49
170,Ndokwa West,Isoko South,Delta,2010,0.124854479,0.124854479,0.124854479,0,1095,0.49
171,Okpe,Isoko South,Delta,2010,0.142060797,0.142060797,0.142060797,0,1095,0.49
172,Oshimili North,Uzo-Uwani,Delta,2010,0.180109631,0.180109631,0.180109631,0,1095,0.49
173,Oshimili South,Uzo-Uwani,Delta,2010,0.181308995,0.181308995,0.181308995,0,1095,0.49
174,Patani,Isoko South,Delta,2010,0.160747615,0.160747615,0.160747615,0,1095,0.49
175,Sapele,Isoko South,Delta,2010,0.150007427,0.150007427,0.150007427,0,1095,0.49
176,Udu,Isoko South,Delta,2010,0.162898808,0.162898808,0.162898808,0,1095,0.49
177,Ughelli North,Isoko South,Delta,2010,0.139877351,0.139877351,0.139877351,0,1095,0.49
178,Ughelli South,Isoko South,Delta,2010,0.15865666,0.15865666,0.15865666,0,1095,0.49
179,Ukwuani,Uzo-Uwani,Delta,2010,0.12148876,0.12148876,0.12148876,0,1095,0.49
180,Uvwie,Isoko South,Delta,2010,0.191060051,0.191060051,0.191060051,0,1095,0.49
181,Warri South,Isoko South,Delta,2010,0.149725192,0.149725192,0.149725192,0,1095,0.49
182,Ohaozara,Obubra,Ebonyi,2010,0.457015129,0.457015129,0.457015129,0,1095,0.49
183,Abakaliki,Owan East,Ebonyi,2010,0.160716622,0.160716622,0.160716622,0,1095,0.49
184,Afikpo North,Oru West,Ebonyi,2010,0.298633989,0.298633989,0.298633989,0,1095,0.49
185,Afikpo South,Ngor-Okpala,Ebonyi,2010,0.27293576,0.27293576,0.27293576,0,1095,0.49
186,Ebonyi,Owan East,Ebonyi,2010,0.135882508,0.135882508,0.135882508,0,1095,0.49
187,Ezza North,Owan East,Ebonyi,2010,0.123245035,0.123245035,0.123245035,0,1095,0.49
188,Ezza South,Obubra,Ebonyi,2010,0.269558073,0.269558073,0.269558073,0,1095,0.49
189,Ikwo,Obubra,Ebonyi,2010,0.235580938,0.235580938,0.235580938,0,1095,0.49
190,Ishielu,Owan East,Ebonyi,2010,0.119621849,0.119621849,0.119621849,0,1095,0.49
191,Ivo,Ngor-Okpala,Ebonyi,2010,0.294112391,0.294112391,0.294112391,0,1095,0.49
192,Izzi,Owan East,Ebonyi,2010,0.216334207,0.216334207,0.216334207,0,1095,0.49
193,Ohaukwu,Owan East,Ebonyi,2010,0.115984351,0.115984351,0.115984351,0,1095,0.49
194,Onicha,Obubra,Ebonyi,2010,0.166220277,0.166220277,0.166220277,0,1095,0.49
195,Akoko-Edo,Owan East,Edo,2010,0.173954943,0.173954943,0.173954943,0,1095,0.49
196,Egor,Uzo-Uwani,Edo,2010,0.167867723,0.167867723,0.167867723,0,1095,0.49
197,Esan North East,Uzo-Uwani,Edo,2010,0.114687586,0.114687586,0.114687586,0,1095,0.49
198,Esan Central,Owan East,Edo,2010,0.110086446,0.110086446,0.110086446,0,1095,0.49
199,Esan South East,Uzo-Uwani,Edo,2010,0.145009111,0.145009111,0.145009111,0,1095,0.49
200,Esan West,Uzo-Uwani,Edo,2010,0.119956869,0.119956869,0.119956869,0,1095,0.49
201,Etsako Central,Owan East,Edo,2010,0.115915369,0.115915369,0.115915369,0,1095,0.49
202,Etsako East,Owan East,Edo,2010,0.097404903,0.097404903,0.097404903,0,1095,0.49
203,Etsako West,Owan East,Edo,2010,0.088090978,0.088090978,0.088090978,0,1095,0.49
204,Igueben,Uzo-Uwani,Edo,2010,0.120751772,0.120751772,0.120751772,0,1095,0.49
205,Ikpoba-Okha,Uzo-Uwani,Edo,2010,0.248556593,0.248556593,0.248556593,0,1095,0.49
206,Aninri,Oru West,Enugu,2010,0.316597225,0.316597225,0.316597225,0,1095,0.49
207,Oredo,Uzo-Uwani,Edo,2010,0.155187551,0.155187551,0.155187551,0,1095,0.49
208,Orhionmwon,Uzo-Uwani,Edo,2010,0.099847955,0.099847955,0.099847955,0,1095,0.49
209,Ovia North East,Owan East,Edo,2010,0.149640125,0.149640125,0.149640125,0,1095,0.49
210,Ovia South West,Akinyele,Edo,2010,0.118363983,0.118363983,0.118363983,0,1095,0.49
211,Owan East,Owan East,Edo,2010,0.130536463,0.130536463,0.130536463,0,1095,0.49
212,Owan West,Owan East,Edo,2010,0.137270434,0.137270434,0.137270434,0,1095,0.49
213,Uhunmwonde,Owan East,Edo,2010,0.140575764,0.140575764,0.140575764,0,1095,0.49
214,Ado Ekiti,Owan East,Ekiti,2010,0.160174228,0.160174228,0.160174228,0,1095,0.49
215,Efon-Alayee,Oke-Ero,Ekiti,2010,0.14072569,0.14072569,0.14072569,0,1095,0.49
216,Ekiti East,Oke-Ero,Ekiti,2010,0.132238941,0.132238941,0.132238941,0,1095,0.49
217,Ekiti South West,Oke-Ero,Ekiti,2010,0.19442486,0.19442486,0.19442486,0,1095,0.49
218,Awgu,Oru West,Enugu,2010,0.270763823,0.270763823,0.270763823,0,1095,0.49
219,Ekiti West,Oke-Ero,Ekiti,2010,0.111311145,0.111311145,0.111311145,0,1095,0.49
220,Emure,Oke-Ero,Ekiti,2010,0.154523009,0.154523009,0.154523009,0,1095,0.49
221,Gboyin,Obubra,Ekiti,2010,0.178768427,0.178768427,0.178768427,0,1095,0.49
222,Idosi-Osi,Oke-Ero,Ekiti,2010,0.081845782,0.081845782,0.081845782,0,1095,0.49
223,Ijero,Oke-Ero,Ekiti,2010,0.098710101,0.098710101,0.098710101,0,1095,0.49
224,Ikere,Owan East,Ekiti,2010,0.161379527,0.161379527,0.161379527,0,1095,0.49
225,Ikole,Oke-Ero,Ekiti,2010,0.099501734,0.099501734,0.099501734,0,1095,0.49
226,Ilemeji,Oke-Ero,Ekiti,2010,0.099417027,0.099417027,0.099417027,0,1095,0.49
227,Irepodun-Ifelodun,Oke-Ero,Ekiti,2010,0.124010504,0.124010504,0.124010504,0,1095,0.49
228,Ise-Orun,Oke-Ero,Ekiti,2010,0.150192407,0.150192407,0.150192407,0,1095,0.49
229,Moba,Oke-Ero,Ekiti,2010,0.082449604,0.082449604,0.082449604,0,1095,0.49
230,Oye,Oke-Ero,Ekiti,2010,0.106420461,0.106420461,0.106420461,0,1095,0.49
231,Ezeagu,Uzo-Uwani,Enugu,2010,0.247674914,0.247674914,0.247674914,0,1095,0.49
232,Igbo-Etiti,Uzo-Uwani,Enugu,2010,0.119759128,0.119759128,0.119759128,0,1095,0.49
233,Igbo-Eze North,Uzo-Uwani,Enugu,2010,0.074582536,0.074582536,0.074582536,0,1095,0.49
234,Igbo-Eze South,Uzo-Uwani,Enugu,2010,0.112778794,0.112778794,0.112778794,0,1095,0.49
235,Isi-Uzo,Owan East,Enugu,2010,0.179220061,0.179220061,0.179220061,0,1095,0.49
236,Nkanu East,Owan East,Enugu,2010,0.254083927,0.254083927,0.254083927,0,1095,0.49
237,Nkanu West,Uzo-Uwani,Enugu,2010,0.208990759,0.208990759,0.208990759,0,1095,0.49
238,Nsukka,Uzo-Uwani,Enugu,2010,0.150568199,0.150568199,0.150568199,0,1095,0.49
239,Oji-River,Oru West,Enugu,2010,0.279998005,0.279998005,0.279998005,0,1095,0.49
240,Udenu,Uzo-Uwani,Enugu,2010,0.386077031,0.386077031,0.386077031,0,1095,0.49
241,Udi,Uzo-Uwani,Enugu,2010,0.242460342,0.242460342,0.242460342,0,1095,0.49
242,Uzo-Uwani,Uzo-Uwani,Enugu,2010,0.180764266,0.180764266,0.180764266,0,1095,0.49
243,Ahiazu-Mbaise,Ngor-Okpala,Imo,2010,0.177701483,0.177701483,0.177701483,0,1095,0.49
244,Abaji,Keana,Federal Capital Territory,2010,0.20311969,0.20311969,0.20311969,0,1095,0.49
245,Bwari,Giwa,Federal Capital Territory,2010,0.082960064,0.082960064,0.082960064,0,1095,0.49
246,Gwagwalada,Keana,Federal Capital Territory,2010,0.06775671,0.06775671,0.06775671,0,1095,0.49
247,Kuje,Keana,Federal Capital Territory,2010,0.129957171,0.129957171,0.129957171,0,1095,0.49
248,Kwali,Keana,Federal Capital Territory,2010,0.123004954,0.123004954,0.123004954,0,1095,0.49
249,Bunkure,Gwarzo,Kano,2010,0.077601129,0.077601129,0.077601129,0,1095,0.49
250,Abuja Municipal,Keana,Federal Capital Territory,2010,0.148599875,0.148599875,0.148599875,0,1095,0.49
251,Akko,Alkaleri,Gombe,2010,0.073251866,0.073251866,0.073251866,0,1095,0.49
252,Balanga,Alkaleri,Gombe,2010,0.105962262,0.105962262,0.105962262,0,1095,0.49
253,Billiri,Alkaleri,Gombe,2010,0.093753996,0.093753996,0.093753996,0,1095,0.49
254,Dukku,Darazo,Gombe,2010,0.067511642,0.067511642,0.067511642,0,1095,0.49
255,Funakaye,Alkaleri,Gombe,2010,0.075261403,0.075261403,0.075261403,0,1095,0.49
256,Gombe,Alkaleri,Gombe,2010,0.0522176,0.0522176,0.0522176,0,1095,0.49
257,Kaltungo,Alkaleri,Gombe,2010,0.088580953,0.088580953,0.088580953,0,1095,0.49
258,Kwami,Alkaleri,Gombe,2010,0.033983446,0.033983446,0.033983446,0,1095,0.49
259,Dala,Alkaleri,Kano,2010,0.553080708,0.553080708,0.553080708,0,1095,0.49
260,Nafada,Alkaleri,Gombe,2010,0.094228873,0.094228873,0.094228873,0,1095,0.49
261,Shomgom,Alkaleri,Gombe,2010,0.085073942,0.085073942,0.085073942,0,1095,0.49
262,Yamaltu-Deba,Alkaleri,Gombe,2010,0.073658746,0.073658746,0.073658746,0,1095,0.49
263,Aboh-Mbaise,Ngor-Okpala,Imo,2010,0.141149559,0.141149559,0.141149559,0,1095,0.49
264,Fagge,Alkaleri,Kano,2010,0.332723211,0.332723211,0.332723211,0,1095,0.49
265,Ehime-Mbano,Ngor-Okpala,Imo,2010,0.248590584,0.248590584,0.248590584,0,1095,0.49
266,Ezinihitte,Ngor-Okpala,Imo,2010,0.207656056,0.207656056,0.207656056,0,1095,0.49
267,Ideato North,Oru West,Imo,2010,0.488388739,0.488388739,0.488388739,0,1095,0.49
268,Ideato South,Ngor-Okpala,Imo,2010,0.294029534,0.294029534,0.294029534,0,1095,0.49
269,Ihitte-Uboma,Ngor-Okpala,Imo,2010,0.200470965,0.200470965,0.200470965,0,1095,0.49
270,Ikeduru,Ngor-Okpala,Imo,2010,0.103068958,0.103068958,0.103068958,0,1095,0.49
