LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override,scenario
Ebonyi,Owan East,0.278942779,0.278942779,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Edati,Oke-Ero,0.246839589,0.246839589,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ede North,Akinyele,0.154926235,0.154926235,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ede South,Akinyele,0.154926235,0.154926235,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Edu,Oke-Ero,0.246839589,0.246839589,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Efon-Alayee,Oke-Ero,0.246839589,0.246839589,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Egbado North,Owan East,0.278942779,0.278942779,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Egbado South,Uzo-Uwani,0.420192485,0.420192485,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Egbeda,Akinyele,0.107316809,0.107316809,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Egbedore,Akinyele,0.54187193,0.54187193,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Egor,Uzo-Uwani,0.420192485,0.420192485,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ehime-Mbano,Ngor-Okpala,0.591374486,0.591374486,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ejigbo,Akinyele,0.215907256,0.215907256,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ekeremor,Ahoada West,0.205928424,0.205928424,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Eket,Nsit Ubium,0.297727761,0.297727761,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ekiti,Oke-Ero,0.744393955,0.744393955,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ekiti East,Oke-Ero,0.246839589,0.246839589,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ekiti South West,Oke-Ero,0.462500057,0.462500057,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ekiti West,Oke-Ero,0.162213602,0.162213602,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ekwusigo,Oru West,0.75,0.75,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Eleme,Ahoada West,0.151693513,0.151693513,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Emohua,Ahoada West,0.166666667,0.166666667,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Emure,Oke-Ero,0.246839589,0.246839589,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Enugu East,Uzo-Uwani,0.767123269,0.767123269,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Enugu North,Uzo-Uwani,0.420192485,0.420192485,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Enugu South,Uzo-Uwani,0.514893508,0.514893508,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Epe,Uzo-Uwani,0.420192485,0.420192485,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Esan Central,Owan East,0.278942779,0.278942779,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Esan North East,Uzo-Uwani,0.420192485,0.420192485,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Esan South East,Uzo-Uwani,0.420192485,0.420192485,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Esan West,Uzo-Uwani,0.420192485,0.420192485,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ese-Odo,Owan East,0.278942779,0.278942779,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Esit Eket,Nsit Ubium,0.071428571,0.071428571,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Essien Udim,Ngor-Okpala,0.219281699,0.219281699,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Etche,Ngor-Okpala,0.283373403,0.283373403,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ethiope East,Isoko South,0.12159624,0.12159624,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ethiope West,Isoko South,0.12159624,0.12159624,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Etim Ekpo,Isoko South,0.12159624,0.12159624,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Etinan,Ngor-Okpala,0.283373403,0.283373403,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Eti-Osa,Nsit Ubium,0.297727761,0.297727761,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Etsako Central,Owan East,0.278942779,0.278942779,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Etsako East,Owan East,0.077954241,0.077954241,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Etsako West,Owan East,0.080351586,0.080351586,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Etung,Obubra,0.2,0.2,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ewekoro,Uzo-Uwani,0.420192485,0.420192485,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ezeagu,Uzo-Uwani,0.434581511,0.434581511,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ezinihitte,Ngor-Okpala,0.388958352,0.388958352,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ezza North,Owan East,0.19047619,0.19047619,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ezza South,Obubra,0.478845956,0.478845956,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Fagge,Alkaleri,0.234127553,0.234127553,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
