,LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override,round,beta_model_params,scale_values,scenario 
109,Emohua,Ahoada West,0.337533964,0.337533964,0.660867297,3285,365,2029,-1,10,0.01708673,0.170867297,Scenario 3 (Budget-prioritized plan)
110,Emohua,Ahoada West,0.354620694,0.354620694,0.677954027,3650,-1,2030,-1,11,0.01708673,0.187954027,Scenario 3 (Budget-prioritized plan)
111,Kolokuma-Opokuma,Ahoada West,0.406135685,0.406135685,0.50708673,0,365,2020,-1,1,0.01708673,0.01708673,Scenario 3 (Budget-prioritized plan)
112,Kolokuma-Opokuma,Ahoada West,0.423222414,0.423222414,0.524173459,365,365,2021,-1,2,0.01708673,0.034173459,Scenario 3 (Budget-prioritized plan)
113,Kolokuma-Opokuma,Ahoada West,0.440309144,0.440309144,0.541260189,730,365,2022,-1,3,0.01708673,0.051260189,Scenario 3 (Budget-prioritized plan)
114,Kolokuma-Opokuma,Ahoada West,0.457395874,0.457395874,0.558346919,1095,365,2023,-1,4,0.01708673,0.068346919,Scenario 3 (Budget-prioritized plan)
115,Kolokuma-Opokuma,Ahoada West,0.474482603,0.474482603,0.575433648,1460,365,2024,-1,5,0.01708673,0.085433648,Scenario 3 (Budget-prioritized plan)
116,Kolokuma-Opokuma,Ahoada West,0.491569333,0.491569333,0.592520378,1825,365,2025,-1,6,0.01708673,0.102520378,Scenario 3 (Budget-prioritized plan)
117,Kolokuma-Opokuma,Ahoada West,0.508656063,0.508656063,0.609607108,2190,365,2026,-1,7,0.01708673,0.119607108,Scenario 3 (Budget-prioritized plan)
118,Kolokuma-Opokuma,Ahoada West,0.525742793,0.525742793,0.626693838,2555,365,2027,-1,8,0.01708673,0.136693838,Scenario 3 (Budget-prioritized plan)
119,Kolokuma-Opokuma,Ahoada West,0.542829522,0.542829522,0.643780567,2920,365,2028,-1,9,0.01708673,0.153780567,Scenario 3 (Budget-prioritized plan)
120,Kolokuma-Opokuma,Ahoada West,0.559916252,0.559916252,0.660867297,3285,365,2029,-1,10,0.01708673,0.170867297,Scenario 3 (Budget-prioritized plan)
121,Kolokuma-Opokuma,Ahoada West,0.577002982,0.577002982,0.677954027,3650,-1,2030,-1,11,0.01708673,0.187954027,Scenario 3 (Budget-prioritized plan)
122,Ndokwa East,Ahoada West,0.263548184,0.263548184,0.50708673,0,365,2020,-1,1,0.01708673,0.01708673,Scenario 3 (Budget-prioritized plan)
123,Ndokwa East,Ahoada West,0.280634913,0.280634913,0.524173459,365,365,2021,-1,2,0.01708673,0.034173459,Scenario 3 (Budget-prioritized plan)
124,Ndokwa East,Ahoada West,0.297721643,0.297721643,0.541260189,730,365,2022,-1,3,0.01708673,0.051260189,Scenario 3 (Budget-prioritized plan)
125,Ndokwa East,Ahoada West,0.314808373,0.314808373,0.558346919,1095,365,2023,-1,4,0.01708673,0.068346919,Scenario 3 (Budget-prioritized plan)
126,Ndokwa East,Ahoada West,0.331895102,0.331895102,0.575433648,1460,365,2024,-1,5,0.01708673,0.085433648,Scenario 3 (Budget-prioritized plan)
127,Ndokwa East,Ahoada West,0.348981832,0.348981832,0.592520378,1825,365,2025,-1,6,0.01708673,0.102520378,Scenario 3 (Budget-prioritized plan)
128,Ndokwa East,Ahoada West,0.366068562,0.366068562,0.609607108,2190,365,2026,-1,7,0.01708673,0.119607108,Scenario 3 (Budget-prioritized plan)
129,Ndokwa East,Ahoada West,0.383155292,0.383155292,0.626693838,2555,365,2027,-1,8,0.01708673,0.136693838,Scenario 3 (Budget-prioritized plan)
130,Ndokwa East,Ahoada West,0.400242021,0.400242021,0.643780567,2920,365,2028,-1,9,0.01708673,0.153780567,Scenario 3 (Budget-prioritized plan)
131,Ndokwa East,Ahoada West,0.417328751,0.417328751,0.660867297,3285,365,2029,-1,10,0.01708673,0.170867297,Scenario 3 (Budget-prioritized plan)
132,Ndokwa East,Ahoada West,0.434415481,0.434415481,0.677954027,3650,-1,2030,-1,11,0.01708673,0.187954027,Scenario 3 (Budget-prioritized plan)
133,Nembe,Ahoada West,0.26708673,0.26708673,0.50708673,0,365,2020,-1,1,0.01708673,0.01708673,Scenario 3 (Budget-prioritized plan)
134,Nembe,Ahoada West,0.284173459,0.284173459,0.524173459,365,365,2021,-1,2,0.01708673,0.034173459,Scenario 3 (Budget-prioritized plan)
135,Nembe,Ahoada West,0.301260189,0.301260189,0.541260189,730,365,2022,-1,3,0.01708673,0.051260189,Scenario 3 (Budget-prioritized plan)
136,Nembe,Ahoada West,0.318346919,0.318346919,0.558346919,1095,365,2023,-1,4,0.01708673,0.068346919,Scenario 3 (Budget-prioritized plan)
137,Nembe,Ahoada West,0.335433648,0.335433648,0.575433648,1460,365,2024,-1,5,0.01708673,0.085433648,Scenario 3 (Budget-prioritized plan)
138,Nembe,Ahoada West,0.352520378,0.352520378,0.592520378,1825,365,2025,-1,6,0.01708673,0.102520378,Scenario 3 (Budget-prioritized plan)
139,Nembe,Ahoada West,0.369607108,0.369607108,0.609607108,2190,365,2026,-1,7,0.01708673,0.119607108,Scenario 3 (Budget-prioritized plan)
140,Nembe,Ahoada West,0.386693838,0.386693838,0.626693838,2555,365,2027,-1,8,0.01708673,0.136693838,Scenario 3 (Budget-prioritized plan)
141,Nembe,Ahoada West,0.403780567,0.403780567,0.643780567,2920,365,2028,-1,9,0.01708673,0.153780567,Scenario 3 (Budget-prioritized plan)
142,Nembe,Ahoada West,0.420867297,0.420867297,0.660867297,3285,365,2029,-1,10,0.01708673,0.170867297,Scenario 3 (Budget-prioritized plan)
143,Nembe,Ahoada West,0.437954027,0.437954027,0.677954027,3650,-1,2030,-1,11,0.01708673,0.187954027,Scenario 3 (Budget-prioritized plan)
144,Obia-Akpor,Ahoada West,0.230570524,0.230570524,0.50708673,0,365,2020,-1,1,0.01708673,0.01708673,Scenario 3 (Budget-prioritized plan)
145,Obia-Akpor,Ahoada West,0.247657253,0.247657253,0.524173459,365,365,2021,-1,2,0.01708673,0.034173459,Scenario 3 (Budget-prioritized plan)
146,Obia-Akpor,Ahoada West,0.264743983,0.264743983,0.541260189,730,365,2022,-1,3,0.01708673,0.051260189,Scenario 3 (Budget-prioritized plan)
147,Obia-Akpor,Ahoada West,0.281830713,0.281830713,0.558346919,1095,365,2023,-1,4,0.01708673,0.068346919,Scenario 3 (Budget-prioritized plan)
148,Obia-Akpor,Ahoada West,0.298917442,0.298917442,0.575433648,1460,365,2024,-1,5,0.01708673,0.085433648,Scenario 3 (Budget-prioritized plan)
149,Obia-Akpor,Ahoada West,0.316004172,0.316004172,0.592520378,1825,365,2025,-1,6,0.01708673,0.102520378,Scenario 3 (Budget-prioritized plan)
150,Obia-Akpor,Ahoada West,0.333090902,0.333090902,0.609607108,2190,365,2026,-1,7,0.01708673,0.119607108,Scenario 3 (Budget-prioritized plan)
151,Obia-Akpor,Ahoada West,0.350177632,0.350177632,0.626693838,2555,365,2027,-1,8,0.01708673,0.136693838,Scenario 3 (Budget-prioritized plan)
152,Obia-Akpor,Ahoada West,0.367264361,0.367264361,0.643780567,2920,365,2028,-1,9,0.01708673,0.153780567,Scenario 3 (Budget-prioritized plan)
153,Obia-Akpor,Ahoada West,0.384351091,0.384351091,0.660867297,3285,365,2029,-1,10,0.01708673,0.170867297,Scenario 3 (Budget-prioritized plan)
154,Obia-Akpor,Ahoada West,0.401437821,0.401437821,0.677954027,3650,-1,2030,-1,11,0.01708673,0.187954027,Scenario 3 (Budget-prioritized plan)
155,Ogbadibo,Ahoada West,0.152765962,0.152765962,0.50708673,0,365,2020,-1,1,0.01708673,0.01708673,Scenario 3 (Budget-prioritized plan)
156,Ogbadibo,Ahoada West,0.169852691,0.169852691,0.524173459,365,365,2021,-1,2,0.01708673,0.034173459,Scenario 3 (Budget-prioritized plan)
157,Ogbadibo,Ahoada West,0.186939421,0.186939421,0.541260189,730,365,2022,-1,3,0.01708673,0.051260189,Scenario 3 (Budget-prioritized plan)
158,Ogbadibo,Ahoada West,0.204026151,0.204026151,0.558346919,1095,365,2023,-1,4,0.01708673,0.068346919,Scenario 3 (Budget-prioritized plan)
159,Ogbadibo,Ahoada West,0.22111288,0.22111288,0.575433648,1460,365,2024,-1,5,0.01708673,0.085433648,Scenario 3 (Budget-prioritized plan)
160,Ogbadibo,Ahoada West,0.23819961,0.23819961,0.592520378,1825,365,2025,-1,6,0.01708673,0.102520378,Scenario 3 (Budget-prioritized plan)
161,Ogbadibo,Ahoada West,0.25528634,0.25528634,0.609607108,2190,365,2026,-1,7,0.01708673,0.119607108,Scenario 3 (Budget-prioritized plan)
162,Ogbadibo,Ahoada West,0.27237307,0.27237307,0.626693838,2555,365,2027,-1,8,0.01708673,0.136693838,Scenario 3 (Budget-prioritized plan)
163,Ogbadibo,Ahoada West,0.289459799,0.289459799,0.643780567,2920,365,2028,-1,9,0.01708673,0.153780567,Scenario 3 (Budget-prioritized plan)
164,Ogbadibo,Ahoada West,0.306546529,0.306546529,0.660867297,3285,365,2029,-1,10,0.01708673,0.170867297,Scenario 3 (Budget-prioritized plan)
165,Ogbadibo,Ahoada West,0.323633259,0.323633259,0.677954027,3650,-1,2030,-1,11,0.01708673,0.187954027,Scenario 3 (Budget-prioritized plan)
166,Ogbaru,Ahoada West,0.683753397,0.683753397,0.50708673,0,365,2020,-1,1,0.01708673,0.01708673,Scenario 3 (Budget-prioritized plan)
