"","LGA","Rep_DS","State","U5_coverage","adult_coverage","simday","duration","year","round","severe_cases","scale_m","scale_values"
"135","Adavi","Owan East",NA,0.448632291578958,0.448632291578958,801,365,2022,3,0.659689512578958,4,0.169689512578958
"136","Adavi","Owan East",NA,0.491054669723698,0.491054669723698,1166,365,2023,4,0.702111890723698,5,0.212111890723698
"137","Adavi","Owan East",NA,0.533477047868438,0.533477047868438,1531,365,2024,5,0.744534268868438,6,0.254534268868438
"138","Adavi","Owan East",NA,0.575899426013177,0.575899426013177,1896,365,2025,6,0.786956647013177,7,0.296956647013177
"139","Adavi","Owan East",NA,0.618321804157917,0.618321804157917,2261,365,2026,7,0.8,8,0.339379025157917
"140","Adavi","Owan East",NA,0.660744182302657,0.660744182302657,2626,365,2027,8,0.8,9,0.381801403302657
"141","Adavi","Owan East",NA,0.703166560447396,0.703166560447396,2991,365,2028,9,0.8,10,0.424223781447396
"142","Adavi","Owan East",NA,0.745588938592136,0.745588938592136,3356,365,2029,10,0.8,11,0.466646159592136
"143","Adavi","Owan East",NA,0.788011316736875,0.788011316736875,3721,365,2030,11,0.8,12,0.509068537736875
"144","Ado","Akinyele",NA,0.227244186186304,0.227244186186304,71,365,2020,1,0.545947875186304,2,0.0559478751863036
"145","Ado","Akinyele",NA,0.255218123779455,0.255218123779455,436,365,2021,2,0.573921812779455,3,0.0839218127794555
"146","Ado","Akinyele",NA,0.283192061372607,0.283192061372607,801,365,2022,3,0.601895750372607,4,0.111895750372607
"147","Ado","Akinyele",NA,0.311165998965759,0.311165998965759,1166,365,2023,4,0.629869687965759,5,0.139869687965759
"148","Ado","Akinyele",NA,0.339139936558911,0.339139936558911,1531,365,2024,5,0.657843625558911,6,0.167843625558911
"149","Ado","Akinyele",NA,0.367113874152063,0.367113874152063,1896,365,2025,6,0.685817563152063,7,0.195817563152063
"150","Ado","Akinyele",NA,0.395087811745215,0.395087811745215,2261,365,2026,7,0.713791500745214,8,0.223791500745215
"151","Ado","Akinyele",NA,0.423061749338366,0.423061749338366,2626,365,2027,8,0.741765438338366,9,0.251765438338366
"152","Ado","Akinyele",NA,0.451035686931518,0.451035686931518,2991,365,2028,9,0.769739375931518,10,0.279739375931518
"153","Ado","Akinyele",NA,0.47900962452467,0.47900962452467,3356,365,2029,10,0.79771331352467,11,0.30771331352467
"154","Ado","Akinyele",NA,0.506983562117822,0.506983562117822,3721,365,2030,11,0.8,12,0.335687251117822
"155","Ado Ekiti","Owan East",NA,0.363787535289479,0.363787535289479,71,365,2020,1,0.574844756289479,2,0.0848447562894792
"156","Ado Ekiti","Owan East",NA,0.406209913434219,0.406209913434219,436,365,2021,2,0.617267134434219,3,0.127267134434219
"157","Ado Ekiti","Owan East",NA,0.448632291578958,0.448632291578958,801,365,2022,3,0.659689512578958,4,0.169689512578958
"158","Ado Ekiti","Owan East",NA,0.491054669723698,0.491054669723698,1166,365,2023,4,0.702111890723698,5,0.212111890723698
"159","Ado Ekiti","Owan East",NA,0.533477047868438,0.533477047868438,1531,365,2024,5,0.744534268868438,6,0.254534268868438
"160","Ado Ekiti","Owan East",NA,0.575899426013177,0.575899426013177,1896,365,2025,6,0.786956647013177,7,0.296956647013177
"161","Ado Ekiti","Owan East",NA,0.618321804157917,0.618321804157917,2261,365,2026,7,0.8,8,0.339379025157917
"162","Ado Ekiti","Owan East",NA,0.660744182302657,0.660744182302657,2626,365,2027,8,0.8,9,0.381801403302657
"163","Ado Ekiti","Owan East",NA,0.703166560447396,0.703166560447396,2991,365,2028,9,0.8,10,0.424223781447396
"164","Ado Ekiti","Owan East",NA,0.745588938592136,0.745588938592136,3356,365,2029,10,0.8,11,0.466646159592136
"165","Ado Ekiti","Owan East",NA,0.788011316736875,0.788011316736875,3721,365,2030,11,0.8,12,0.509068537736875
"166","Ado-Odo-Ota","Uzo-Uwani",NA,0.560626415710504,0.560626415710504,71,365,2020,1,0.630433930710504,2,0.140433930710504
"167","Ado-Odo-Ota","Uzo-Uwani",NA,0.630843381065757,0.630843381065757,436,365,2021,2,0.700650896065757,3,0.210650896065757
"168","Ado-Odo-Ota","Uzo-Uwani",NA,0.701060346421009,0.701060346421009,801,365,2022,3,0.770867861421009,4,0.280867861421009
