"","LGA","repDS","year","LGA_old","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","mortality_rate","kill_rate","block_initial","round","peak","simday"
"1335","Karin-Lamido","Alkaleri",2022,"Karin-Lamido",0.266633005,0.257988154,0.215827705,0.267323472,0.39417534,0.455003762,0.53,1,"july",916
"13351","Karin-Lamido","Alkaleri",2025,"Karin-Lamido",0.266633005,0.257988154,0.215827705,0.267323472,0.39417534,0.455003762,0.53,2,"july",2011
"13352","Karin-Lamido","Alkaleri",2028,"Karin-Lamido",0.266633005,0.257988154,0.215827705,0.267323472,0.39417534,0.455003762,0.53,3,"july",3106
"799","Karu","Oke-Ero",2021,"Karu",0.580360634,0.580141437,0.648174308,0.597831492,0.470750314,0.516071368,0.53,1,"july",551
"7991","Karu","Oke-Ero",2024,"Karu",0.580360634,0.580141437,0.648174308,0.597831492,0.470750314,0.516071368,0.53,2,"july",1646
"7992","Karu","Oke-Ero",2027,"Karu",0.580360634,0.580141437,0.648174308,0.597831492,0.470750314,0.516071368,0.53,3,"july",2741
"7993","Karu","Oke-Ero",2030,"Karu",0.580360634,0.580141437,0.648174308,0.597831492,0.470750314,0.516071368,0.53,4,"july",3836
"801","Katagum","Gwarzo",2021,"Katagum",0.715383228,0.591156259,0.632060917,0.8,0.74547039,0.687814164,0.53,1,"august",588
"8011","Katagum","Gwarzo",2024,"Katagum",0.715383228,0.591156259,0.632060917,0.8,0.74547039,0.687814164,0.53,2,"august",1683
"8012","Katagum","Gwarzo",2027,"Katagum",0.715383228,0.591156259,0.632060917,0.8,0.74547039,0.687814164,0.53,3,"august",2778
"8013","Katagum","Gwarzo",2030,"Katagum",0.715383228,0.591156259,0.632060917,0.8,0.74547039,0.687814164,0.53,4,"august",3873
"993","Katcha","Oke-Ero",2022,"Katcha",0.580502224,0.323584445,0.3324138,0.510474544,0.42622003,0.480954753,0.53,1,"july",916
"9931","Katcha","Oke-Ero",2025,"Katcha",0.580502224,0.323584445,0.3324138,0.510474544,0.42622003,0.480954753,0.53,2,"july",2011
"9932","Katcha","Oke-Ero",2028,"Katcha",0.580502224,0.323584445,0.3324138,0.510474544,0.42622003,0.480954753,0.53,3,"july",3106
"803","Katsina","Rimi",2021,"Katsina",0.767142174,0.756590769,0.671469757,0.697753543,0.71205914,0.671836104,0.53,1,"march",435
"8031","Katsina","Rimi",2024,"Katsina",0.767142174,0.756590769,0.671469757,0.697753543,0.71205914,0.671836104,0.53,2,"march",1530
