LGA,State,IPTyn,ipti_cov_mean,ipti_cov_cil,ipti_cov_ciu,IPTicov
Etim Ekpo,Akwa lbom,1,0.581030608,0.508061727,0.65399949,0.581030608
Etinan,Akwa lbom,1,0.277777778,0.277777778,0.277777778,0.277777778
Etsako Central,Edo,1,0.833333333,0.833333333,0.833333333,0.833333333
Etsako East,Edo,1,0.326147332,0.22596973,0.426324933,0.326147332
Etsako West,Edo,1,0.845267508,0.772459969,0.918075047,0.845267508
Etung,Cross River,1,0.777777778,0.777777778,0.777777778,0.777777778
Ewekoro,Ogun,1,0.232133207,0.078123526,0.386142888,0.232133207
Ezeagu,Enugu,1,0.692546414,0.516655123,0.868437706,0.692546414
Ezinihitte,Imo,1,0.726225565,0.636588419,0.815862712,0.726225565
Ezza North,Ebonyi,1,0.747126437,0.747126437,0.747126437,0.747126437
Ezza South,Ebonyi,1,0.649752047,0.58533343,0.714170665,0.649752047
Fagge,Kano,0,0.424460127,0.365981988,0.482938266,0.424460127
Fakai,Kebbi,0,0.177777778,0.177777778,0.177777778,0.177777778
Faskari,Katsina,0,0,0,0,0
Fika,Yobe,0,0.365079365,0.365079365,0.365079365,0.365079365
Fufore,Adamawa,0,0.1499079,-0.065874932,0.365690732,0.1499079
Funakaye,Gombe,0,0.304761905,0.304761905,0.304761905,0.304761905
Fune,Yobe,0,0.279463584,0.140421705,0.418505462,0.279463584
Funtua,Katsina,0,0.375246403,0.32675073,0.423742075,0.375246403
Gabasawa,Kano,0,0.333333333,0.333333333,0.333333333,0.333333333
Gada,Sokoto,0,0.165662669,0.047900588,0.283424751,0.165662669
Gagarawa,Jigawa,0,0.666666667,0.666666667,0.666666667,0.666666667
Gamawa,Bauchi,0,0,0,0,0
Ganaye,Adamawa,0,0.333333333,0.333333333,0.333333333,0.333333333
Ganjuwa,Bauchi,0,0.318104862,-0.072365751,0.708575474,0.318104862
Garki,Jigawa,0,0.533333333,0.533333333,0.533333333,0.533333333
Garko,Kano,0,0.866666667,0.866666667,0.866666667,0.866666667
Garum Mallam,Kano,0,0.412698413,0.412698413,0.412698413,0.412698413
Gashaka,Taraba,0,0.37254902,0.37254902,0.37254902,0.37254902
Gassol,Taraba,0,0.226768108,0.142747828,0.310788387,0.226768108
Gawabawa,Sokoto,0,0.090953893,0.015736427,0.166171359,0.090953893
Gaya,Kano,0,0.583333333,0.583333333,0.583333333,0.583333333
Gbako,Niger,0,0.666666667,0.666666667,0.666666667,0.666666667
Gboko,Benue,0,0.61287717,0.536877272,0.688877068,0.61287717
Gboyin,Ekiti,1,0.79479325,0.731012654,0.858573846,0.79479325
Geidam,Yobe,0,0.299900131,0.230926988,0.368873274,0.299900131
