"","X.1","X","LGA_old","repDS","year","LGA","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","round","peak","mortality","llins_plan","kill_rate","block_initial","simday"
"3711",371,371,"Ebonyi","Owan East",2023,"Ebonyi",0.8,0.8,0.8,0.8,2,"march",0.429410898,"Standard 2020",0.483512158,0.53,1165
"3712",371,371,"Ebonyi","Owan East",2026,"Ebonyi",0.8,0.8,0.8,0.8,3,"march",0.429410898,"Standard 2020",0.483512158,0.53,2260
"3713",371,371,"Ebonyi","Owan East",2029,"Ebonyi",0.8,0.8,0.8,0.8,4,"march",0.429410898,"Standard 2020",0.483512158,0.53,3355
"987",987,987,"Edati","Oke-Ero",2022,"Edati",0.8,0.8,0.8,0.8,1,"july",0.417118573,"PBO(2021)",0.741696977,0.65,916
"9871",987,987,"Edati","Oke-Ero",2025,"Edati",0.8,0.8,0.8,0.8,2,"july",0.417118573,"PBO(2021)",0.741696977,0.65,2011
"9872",987,987,"Edati","Oke-Ero",2028,"Edati",0.8,0.8,0.8,0.8,3,"july",0.417118573,"PBO(2021)",0.741696977,0.65,3106
"1113",1113,1113,"Ede North","Akinyele",2020,"Ede North",0.8,0.8,0.8,0.8,1,"may",0.389785625,"PBO(2021)",0.739177967,0.65,131
"11131",1113,1113,"Ede North","Akinyele",2023,"Ede North",0.8,0.8,0.8,0.8,2,"may",0.389785625,"PBO(2021)",0.739177967,0.65,1226
"11132",1113,1113,"Ede North","Akinyele",2026,"Ede North",0.8,0.8,0.8,0.8,3,"may",0.389785625,"PBO(2021)",0.739177967,0.65,2321
"11133",1113,1113,"Ede North","Akinyele",2029,"Ede North",0.8,0.8,0.8,0.8,4,"may",0.389785625,"PBO(2021)",0.739177967,0.65,3416
"1115",1115,1115,"Ede South","Akinyele",2020,"Ede South",0.8,0.8,0.8,0.8,1,"may",0.412666127,"PBO(2021)",0.741327563,0.65,131
"11151",1115,1115,"Ede South","Akinyele",2023,"Ede South",0.8,0.8,0.8,0.8,2,"may",0.412666127,"PBO(2021)",0.741327563,0.65,1226
"11152",1115,1115,"Ede South","Akinyele",2026,"Ede South",0.8,0.8,0.8,0.8,3,"may",0.412666127,"PBO(2021)",0.741327563,0.65,2321
