DS,arabiensis_scale_factor,gambiae_scale_factor,funestus_scale_factor,DS_Name
Awe,0.152462198,0.614093959,0.233443842,Awe
Doma,0.100726223,0.697547371,0.201726406,Doma
Karu,0.301492725,0.367403134,0.331104141,Karu
Keana,0.096720482,0.711145154,0.192134367,Keana
Keffi,0.230029826,0.479346581,0.29062359,Keffi
Lafia,0.193308086,0.439749126,0.366942787,Lafia
Nasarawa2,0.10858935,0.648915596,0.242495054,Nasarawa2
Nasarawa-Eggon,0.236410383,0.356448771,0.407140848,Nasarawa-Eggon
Chanchaga,0.13565939,0.467102679,0.397237939,Chanchaga
Toto,0.090865272,0.683916325,0.225218403,Toto
Wamba,0.211824641,0.356135444,0.432039916,Wamba
Agaie,0.093028488,0.671680128,0.235291386,Agaie
Agwara,0.174944796,0.390309024,0.43474618,Agwara
Bida,0.073307926,0.54619303,0.380499024,Bida
Bosso,0.154401847,0.567324547,0.278273609,Bosso
Edati,0.156688505,0.632122799,0.211188694,Edati
Gbako,0.174380809,0.557982569,0.267636624,Gbako
Gurara,0.227279058,0.41404592,0.358675025,Gurara
Katcha,0.129078693,0.617865085,0.253056223,Katcha
Kontagora,0.162266734,0.46796097,0.369772297,Kontagora
Lapai,0.088448154,0.668273453,0.243278395,Lapai
Lavun,0.115954134,0.626221456,0.25782441,Lavun
Magama,0.12380488,0.593958101,0.28223702,Magama
Mariga,0.260454457,0.305056208,0.434489335,Mariga
Mashegu,0.109062711,0.609244312,0.281692977,Mashegu
Pailoro,0.19356478,0.483563085,0.322872135,Pailoro
Lagelu,0.081877211,0.662283954,0.255838832,Lagelu
Mokwa,0.157999481,0.613422878,0.223602519,Mokwa
Muya,0.2830042,0.346348774,0.370647025,Muya
Abeokuta South,0.354507346,0.243080954,0.402411717,Abeokuta South
Ijebu North,0.148014496,0.648629369,0.203356141,Ijebu North
Rafi,0.216955504,0.428613926,0.35443057,Rafi
Rijau,0.155040417,0.410868949,0.434090636,Rijau
Ado-Odo-Ota,0.126082282,0.571279126,0.302638592,Ado-Odo-Ota
Ijebu North East,0.093981314,0.741842285,0.164176402,Ijebu North East
Shiroro,0.224568848,0.4324589,0.342972252,Shiroro
Suleja,0.335291937,0.317554223,0.347153851,Suleja
Tafa,0.33766848,0.322632579,0.339698941,Tafa
