,LGA,time2,month,year ,PfPr_RDT,ci_l,ci_u,Number of Kids,PfPr_microscopy,ci_l,ci_u,Number of Kids
237,Ezeagu,18-Oct,10,2018,0.294850316,0.237441451,0.35225918,8,0.16372276,-0.067189144,0.394634665,5
238,Ezinihitte,18-Nov,11,2018,0.259396091,0.244119318,0.274672864,17,0.119372652,-0.07326312,0.312008424,10
239,Ezza North,18-Sep,9,2018,0.631578947,0.631578947,0.631578947,14,0.533333333,0.533333333,0.533333333,11
240,Ezza South,18-Oct,10,2018,0.572048036,0.495006317,0.649089754,24,0.406125469,0.394361599,0.417889339,18
241,Ezza South,18-Aug,8,2018,1,1,1,1,0,0,0,1
242,Ezza South,18-Sep,9,2018,0.513588526,0.491278011,0.535899041,19,0.324002915,0.282566365,0.365439464,15
243,Fakai,18-Nov,11,2018,0.333333333,0.333333333,0.333333333,2,0,0,0,2
244,Faskari,18-Nov,11,2018,0.631578947,0.631578947,0.631578947,32,0.25,0.25,0.25,20
245,Fika,18-Nov,11,2018,0.4,0.4,0.4,18,0.166666667,0.166666667,0.166666667,14
246,Fufore,18-Nov,11,2018,0.467391181,0.030657703,0.904124658,8,0.333333333,0.333333333,0.333333333,6
247,Fufore,18-Dec,12,2018,0,0,0,11,0.109523791,0.037228008,0.181819574,9
248,Funakaye,18-Oct,10,2018,0.466666667,0.466666667,0.466666667,12,0.090909091,0.090909091,0.090909091,9
249,Fune,18-Nov,11,2018,0.35502123,0.302917684,0.407124775,16,0.312807824,0.104157559,0.521458089,9
250,Fune,18-Dec,12,2018,0.437040778,0.160752133,0.713329422,6,0.414639005,0.096697633,0.732580377,5
251,Funtua,18-Dec,12,2018,0.494765763,0.096351937,0.893179588,40,0.209155446,-0.128472544,0.546783435,26
252,Gabasawa,18-Aug,8,2018,0.111111111,0.111111111,0.111111111,11,0,0,0,2
253,Gada,18-Oct,10,2018,0.610146823,0.497351129,0.722942517,13,0.330661213,0.017886438,0.643435988,8
254,Gagarawa,18-Nov,11,2018,0.375,0.375,0.375,11,0.4,0.4,0.4,7
255,Gamawa,18-Dec,12,2018,0.25,0.25,0.25,10,0.142857143,0.142857143,0.142857143,9
256,Ganaye,18-Oct,10,2018,0,0,0,11,0,0,0,8
257,Ganjuwa,18-Oct,10,2018,0.692307692,0.692307692,0.692307692,11,0.5,0.5,0.5,7
258,Ganjuwa,18-Nov,11,2018,0.375,0.375,0.375,7,0.5,0.5,0.5,5
259,Garki,18-Nov,11,2018,0.5,0.5,0.5,7,0,0,0,3
260,Garko,18-Dec,12,2018,0.75,0.75,0.75,14,0.666666667,0.666666667,0.666666667,11
261,Garum Mallam,18-Sep,9,2018,0.25,0.25,0.25,18,0.2,0.2,0.2,15
262,Gashaka,18-Nov,11,2018,0.714285714,0.714285714,0.714285714,5,0.571428571,0.571428571,0.571428571,5
263,Gassol,18-Nov,11,2018,0.294986011,0.202579277,0.387392745,40,0.191730591,0.114382772,0.26907841,31
264,Gassol,18-Dec,12,2018,0.5,0.5,0.5,1,0.5,0.5,0.5,1
265,Gawabawa,18-Nov,11,2018,0.543648917,0.454348067,0.632949767,6,0,0,0,4
266,Gaya,18-Dec,12,2018,0.333333333,0.333333333,0.333333333,12,0.333333333,0.333333333,0.333333333,8
267,Gbako,18-Nov,11,2018,0.5,0.5,0.5,15,0.166666667,0.166666667,0.166666667,9
268,Gboko,18-Oct,10,2018,0.2,0.2,0.2,5,0.5,0.5,0.5,4
269,Gboko,18-Sep,9,2018,0.082246512,0.015718116,0.148774907,36,0.038400172,-0.019167195,0.095967539,29
