,LGA,time2,month,year ,PfPr_microscopy,ci_l,ci_u,Number of Kids,PfPr_RDT,ci_l,ci_u,Number of Kids
185,Ola-oluwa,10-Nov,11,2010,0.619047619,0.619047619,0.619047619,68,0.952380952,0.952380952,0.952380952,68
186,Ondo West,10-Oct,10,2010,0.578947368,0.578947368,0.578947368,18,0.789473684,0.789473684,0.789473684,18
187,Ondo West,10-Nov,11,2010,0.818181818,0.818181818,0.818181818,21,0.727272727,0.727272727,0.727272727,21
188,Onicha,10-Nov,11,2010,0.107142857,0.107142857,0.107142857,18,0.571428571,0.571428571,0.571428571,18
189,Onitsha South,10-Oct,10,2010,0,0,0,4,0,0,0,4
190,Orlu,10-Oct,10,2010,0.185185185,0.185185185,0.185185185,12,0.185185185,0.185185185,0.185185185,12
191,Oruk Anam,10-Nov,11,2010,0.392857143,0.392857143,0.392857143,28,0.607142857,0.607142857,0.607142857,28
192,Osisioma Ngwa,10-Nov,11,2010,0.533333333,0.533333333,0.533333333,10,0.6,0.6,0.6,10
193,Ovia North East,10-Oct,10,2010,0.826086957,0.826086957,0.826086957,19,0.869565217,0.869565217,0.869565217,19
194,Owerri West,10-Oct,10,2010,0.235294118,0.235294118,0.235294118,21,0.176470588,0.176470588,0.176470588,21
195,Oyi,10-Oct,10,2010,0,0,0,5,0.125,0.125,0.125,5
196,Pailoro,10-Nov,11,2010,0.375,0.375,0.375,23,0.53125,0.53125,0.53125,23
197,Pankshin,10-Oct,10,2010,0.105263158,0.105263158,0.105263158,2,1,1,1,2
198,Port-Harcourt,10-Nov,11,2010,0,0,0,19,0.7,0.7,0.7,19
199,Remo North,10-Oct,10,2010,0.25,0.25,0.25,9,0.25,0.25,0.25,9
200,Riyom,10-Oct,10,2010,0.066666667,0.066666667,0.066666667,27,0.166666667,0.166666667,0.166666667,27
201,Saki West,10-Oct,10,2010,0,0,0,1,0,0,0,1
202,Saki West,10-Nov,11,2010,0,0,0,3,0,0,0,3
203,Saki West,10-Dec,12,2010,0.59743976,0.268363179,0.926516342,81,0.732992922,0.287005603,1.178980241,83
204,Sapele,10-Oct,10,2010,0,0,0,0,0,0,0,0
205,Sapele,10-Nov,11,2010,0,0,0,7,0,0,0,7
206,Sardauna,10-Dec,12,2010,0,0,0,9,0.076923077,0.076923077,0.076923077,9
207,Shagari,10-Nov,11,2010,0.363636364,0.363636364,0.363636364,20,1,1,1,20
208,Shira,10-Oct,10,2010,0.730769231,0.730769231,0.730769231,19,0.923076923,0.923076923,0.923076923,19
209,Shiroro,10-Nov,11,2010,0.933333333,0.933333333,0.933333333,13,0.0625,0.0625,0.0625,14
210,Shomgom,10-Dec,12,2010,0.264705882,0.264705882,0.264705882,24,0.470588235,0.470588235,0.470588235,24
211,Shomolu,10-Nov,11,2010,0.071428571,0.071428571,0.071428571,8,0.071428571,0.071428571,0.071428571,8
212,Soba,10-Oct,10,2010,0,0,0,1,0,0,0,1
213,Soba,10-Nov,11,2010,0.166666667,0.166666667,0.166666667,26,0.1,0.1,0.1,26
214,Sokoto South,10-Oct,10,2010,0.333333333,0.333333333,0.333333333,19,0.805555556,0.805555556,0.805555556,19
215,Song,10-Dec,12,2010,0.133333333,0.133333333,0.133333333,11,0.066666667,0.066666667,0.066666667,11
216,Tofa,10-Nov,11,2010,0.434782609,0.434782609,0.434782609,28,0.347826087,0.347826087,0.347826087,28
217,Tsafe,10-Oct,10,2010,0.795918367,0.795918367,0.795918367,75,0.87755102,0.87755102,0.87755102,75
218,Udi,10-Nov,11,2010,0.352941176,0.352941176,0.352941176,14,0.294117647,0.294117647,0.294117647,14
219,Uhunmwonde,10-Oct,10,2010,0.8,0.8,0.8,15,0.76,0.76,0.76,15
220,Ukum,10-Oct,10,2010,0.5,0.5,0.5,79,0.363636364,0.363636364,0.363636364,79
221,Ukwa West,10-Nov,11,2010,0.153846154,0.153846154,0.153846154,6,0.25,0.25,0.25,5
222,Ukwuani,10-Nov,11,2010,0.571428571,0.571428571,0.571428571,21,0.689655172,0.689655172,0.689655172,21
223,Umuahia South,10-Nov,11,2010,0.076923077,0.076923077,0.076923077,9,0.384615385,0.384615385,0.384615385,9
224,Ungogo,10-Nov,11,2010,0,0,0,35,0,0,0,34
225,Uyo,10-Nov,11,2010,0,0,0,12,0.6875,0.6875,0.6875,12
226,Wamba,10-Nov,11,2010,0.24,0.24,0.24,12,0,0,0,12
227,Warawa,10-Nov,11,2010,0.6,0.6,0.6,49,0.542857143,0.542857143,0.542857143,49
228,Warri South,10-Nov,11,2010,0.038461538,0.038461538,0.038461538,10,0,0,0,10
229,Warri South West,10-Nov,11,2010,0.227272727,0.227272727,0.227272727,13,0.454545455,0.454545455,0.454545455,13
230,Wudil,10-Oct,10,2010,0.425531915,0.425531915,0.425531915,44,0.382978723,0.382978723,0.382978723,44
231,Wukari,10-Dec,12,2010,0.09346835,0.053996868,0.132939832,20,0.211115409,0.171643927,0.250586891,20
232,Yabo,10-Nov,11,2010,0.171428571,0.171428571,0.171428571,27,0.571428571,0.571428571,0.571428571,27
233,Yenegoa,10-Oct,10,2010,0.088777791,-0.021760177,0.199315758,80,0.125613457,-0.04816251,0.299389424,80
234,Yola South,10-Dec,12,2010,0.153846154,0.153846154,0.153846154,4,0.153846154,0.153846154,0.153846154,4
235,Yusufari,10-Oct,10,2010,0.103448276,0.103448276,0.103448276,39,0.344827586,0.344827586,0.344827586,39
236,Zango,10-Oct,10,2010,0.5,0.5,0.5,33,0.833333333,0.833333333,0.833333333,33
237,Zaria,10-Nov,11,2010,0.396226415,0.396226415,0.396226415,21,0.056603774,0.056603774,0.056603774,21
