"","LGA","pen1","ci_l","ci_u","Number of Participants"
"383","Kokona",0.6,0.6,0.6,19
"384","Kolokuma/Opokuma",0.676041058333249,0.561408311475949,0.790673805190548,15
"385","Konduga",0.55,0.55,0.55,40
"386","Konshisha",0.4375,0.4375,0.4375,16
"387","Kontagora",0.16571162111303,-0.0697579770060161,0.401181219232076,35
"388","Kosofe",0.93948126085449,0.845756873040441,1.03320564866854,71
"389","Kubau",0.653096090368579,0.353936860631854,0.952255320105303,64
"390","Kudan",0.471176155159464,0.317720019912742,0.624632290406186,61
"391","Kukawa",0.25,0.25,0.25,7
"392","Kunchi",0.218522985519332,0.0411184298681372,0.395927541170527,36
"393","Kura",0.529411764705882,0.529411764705882,0.529411764705882,16
"394","Kurmi",0.45,0.45,0.45,21
"395","Kusada",0.125,0.125,0.125,27
"396","Kwali",0.629392579997213,0.480198385554249,0.778586774440177,21
"397","Kwami",0.081589060937611,-0.0787543689262793,0.241932490801501,50
"398","Kwande",0.848324562795578,0.712789997994273,0.983859127596884,27
"399","Kware",0.238095238095238,0.238095238095238,0.238095238095238,16
"400","Lafia",0.634941803209981,0.532200777781527,0.737682828638435,113
"401","Lagos Island",1,1,1,26
"402","Lagos Mainland",1,1,1,17
"403","Lamurde",0.636363636363636,0.636363636363636,0.636363636363636,7
"404","Langtang North",0.642857142857143,0.642857142857143,0.642857142857143,10
"405","Lau",0.88,0.744598239997855,1.01540176000214,11
"406","Lavun",0.377225762652817,-0.0369666394329106,0.791418164738545,60
"407","Lere",0.335678390852972,0.312226153114441,0.359130628591504,60
"408","Lokoja",0.585445394596999,-0.0475739136698597,1.21846470286386,18
"409","Machina",0.425181373926325,0.299713010562135,0.550649737290515,269
"410","Magama",0.383210616760554,0.247513263204872,0.518907970316236,61
"411","Mai'Adua",0.636363636363636,0.636363636363636,0.636363636363636,21
"412","Maiduguri",0.556374597618634,0.423647852623166,0.689101342614101,129
"413","Maigatari",0.532211134576342,0.369986342084533,0.694435927068151,16
"414","Maiha",0.238095238095238,0.238095238095238,0.238095238095238,13
"415","Maiyama",0.315789473684211,0.31578947368421,0.315789473684211,22
"416","Makoda",0.518518518518519,0.518518518518518,0.518518518518519,11
"417","Makurdi",0.749852556577294,0.414167529890528,1.08553758326406,77
"418","Malam Madori",0.117647058823529,0.117647058823529,0.117647058823529,11
"419","Malumfashi",0.764705882352941,0.764705882352941,0.764705882352941,23
"420","Mangu",0.828112617934799,0.746806880948748,0.909418354920851,41
"421","Mani",0.373709180459202,0.279011944613716,0.468406416304688,107
"422","Maradun",0.0828750988010449,0.0768851503380351,0.0888650472640547,41
"423","Mariga",0,0,0,23
"424","Mashi",0.0588235294117647,0.0588235294117646,0.0588235294117647,17
"425","Matazuu",0.166666666666667,0.166666666666667,0.166666666666667,12
"426","Mayo-Belwa",0.7,0.7,0.7,11
"427","Mbaitoli",0.794252243658683,0.682932100586546,0.90557238673082,24
"428","Mbo",0.428571428571429,0.428571428571428,0.428571428571429,5
"429","Michika",1,1,1,9
"430","Miga",0.375,0.375,0.375,30
"431","Minjibir",0.451626298135845,0.205726262122822,0.697526334148867,67
"432","Misau",0.347885231226337,-0.0694940095201666,0.765264471972841,26
"433","Mkpat Enin",0.575727194276133,0.459027814864791,0.692426573687476,16
"434","Moba",0.936759648082849,0.84076636208135,1.03275293408435,9
"435","Mobbar",0.341392513788518,0.156723800590391,0.526061226986646,26
"436","Mokwa",0.408748521869619,0.165217526449632,0.652279517289606,64
