State,LGA,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Borno,Chibok,Darazo,july,216,2020,2,-1,1,0.6,5
Borno,Chibok,Darazo,july,246,2020,3,-1,1,0.6,5
Borno,Chibok,Darazo,july,276,2020,4,-1,1,0.6,5
Borno,Damboa,Darazo,july,186,2020,1,-1,1,0.6,5
Borno,Damboa,Darazo,july,216,2020,2,-1,1,0.6,5
Borno,Damboa,Darazo,july,246,2020,3,-1,1,0.6,5
Borno,Damboa,Darazo,july,276,2020,4,-1,1,0.6,5
Borno,Dikwa,Darazo,july,186,2020,1,-1,1,0.6,5
Borno,Dikwa,Darazo,july,216,2020,2,-1,1,0.6,5
Borno,Dikwa,Darazo,july,246,2020,3,-1,1,0.6,5
Borno,Dikwa,Darazo,july,276,2020,4,-1,1,0.6,5
Borno,Gubio,Gawabawa,august,223,2020,1,-1,1,0.6,5
Borno,Gubio,Gawabawa,august,253,2020,2,-1,1,0.6,5
Borno,Gubio,Gawabawa,august,283,2020,3,-1,1,0.6,5
Borno,Gubio,Gawabawa,august,313,2020,4,-1,1,0.6,5
Borno,Guzamala,Babura,may,131,2020,1,-1,1,0.6,5
Borno,Guzamala,Babura,may,161,2020,2,-1,1,0.6,5
Borno,Guzamala,Babura,may,191,2020,3,-1,1,0.6,5
Borno,Guzamala,Babura,may,221,2020,4,-1,1,0.6,5
Borno,Gwoza,Darazo,july,186,2020,1,-1,1,0.6,5
Borno,Gwoza,Darazo,july,216,2020,2,-1,1,0.6,5
Borno,Gwoza,Darazo,july,246,2020,3,-1,1,0.6,5
Borno,Gwoza,Darazo,july,276,2020,4,-1,1,0.6,5
Borno,Hawul,Darazo,july,186,2020,1,-1,1,0.6,5
Borno,Hawul,Darazo,july,216,2020,2,-1,1,0.6,5
Borno,Hawul,Darazo,july,246,2020,3,-1,1,0.6,5
Borno,Hawul,Darazo,july,276,2020,4,-1,1,0.6,5
Borno,Jere,Gawabawa,august,223,2020,1,-1,1,0.6,5
Borno,Jere,Gawabawa,august,253,2020,2,-1,1,0.6,5
Borno,Jere,Gawabawa,august,283,2020,3,-1,1,0.6,5
Borno,Jere,Gawabawa,august,313,2020,4,-1,1,0.6,5
Borno,Kaga,Darazo,july,186,2020,1,-1,1,0.6,5
Borno,Kaga,Darazo,july,216,2020,2,-1,1,0.6,5
Borno,Kaga,Darazo,july,246,2020,3,-1,1,0.6,5
Borno,Kaga,Darazo,july,276,2020,4,-1,1,0.6,5
Borno,Kala-Balge,Darazo,july,186,2020,1,-1,1,0.6,5
Borno,Kala-Balge,Darazo,july,216,2020,2,-1,1,0.6,5
Borno,Kala-Balge,Darazo,july,246,2020,3,-1,1,0.6,5
Borno,Kala-Balge,Darazo,july,276,2020,4,-1,1,0.6,5
Borno,Konduga,Darazo,july,186,2020,1,-1,1,0.6,5
Borno,Konduga,Darazo,july,216,2020,2,-1,1,0.6,5
Borno,Konduga,Darazo,july,246,2020,3,-1,1,0.6,5
Borno,Konduga,Darazo,july,276,2020,4,-1,1,0.6,5
Borno,Kukawa,Babura,may,131,2020,1,-1,1,0.6,5
Borno,Kukawa,Babura,may,161,2020,2,-1,1,0.6,5
Borno,Kukawa,Babura,may,191,2020,3,-1,1,0.6,5
Borno,Kukawa,Babura,may,221,2020,4,-1,1,0.6,5
Borno,Kwaya Kusar,Alkaleri,july,186,2020,1,-1,1,0.6,5
Borno,Kwaya Kusar,Alkaleri,july,216,2020,2,-1,1,0.6,5
Borno,Kwaya Kusar,Alkaleri,july,246,2020,3,-1,1,0.6,5
Borno,Kwaya Kusar,Alkaleri,july,276,2020,4,-1,1,0.6,5
Borno,Mafa,Darazo,july,186,2020,1,-1,1,0.6,5
Borno,Mafa,Darazo,july,216,2020,2,-1,1,0.6,5
Borno,Mafa,Darazo,july,246,2020,3,-1,1,0.6,5
Borno,Mafa,Darazo,july,276,2020,4,-1,1,0.6,5
Borno,Magumeri,Gawabawa,august,223,2020,1,-1,1,0.6,5
Borno,Magumeri,Gawabawa,august,253,2020,2,-1,1,0.6,5
Borno,Magumeri,Gawabawa,august,283,2020,3,-1,1,0.6,5
Borno,Magumeri,Gawabawa,august,313,2020,4,-1,1,0.6,5
Borno,Maiduguri,Darazo,july,186,2020,1,-1,1,0.6,5
Borno,Maiduguri,Darazo,july,216,2020,2,-1,1,0.6,5
Borno,Maiduguri,Darazo,july,246,2020,3,-1,1,0.6,5
Borno,Maiduguri,Darazo,july,276,2020,4,-1,1,0.6,5
Borno,Marte,Babura,may,131,2020,1,-1,1,0.6,5
Borno,Marte,Babura,may,161,2020,2,-1,1,0.6,5
Borno,Marte,Babura,may,191,2020,3,-1,1,0.6,5
Borno,Marte,Babura,may,221,2020,4,-1,1,0.6,5
Borno,Mobbar,Babura,may,131,2020,1,-1,1,0.6,5
Borno,Mobbar,Babura,may,161,2020,2,-1,1,0.6,5
Borno,Mobbar,Babura,may,191,2020,3,-1,1,0.6,5
Borno,Mobbar,Babura,may,221,2020,4,-1,1,0.6,5
Borno,Monguno,Babura,may,131,2020,1,-1,1,0.6,5
Borno,Monguno,Babura,may,161,2020,2,-1,1,0.6,5
Borno,Monguno,Babura,may,191,2020,3,-1,1,0.6,5
Borno,Monguno,Babura,may,221,2020,4,-1,1,0.6,5
Borno,Ngala,Taura,july,186,2020,1,-1,1,0.6,5
Borno,Ngala,Taura,july,216,2020,2,-1,1,0.6,5
Borno,Ngala,Taura,july,246,2020,3,-1,1,0.6,5
Borno,Ngala,Taura,july,276,2020,4,-1,1,0.6,5
Borno,Nganzai,Gawabawa,august,223,2020,1,-1,1,0.6,5
Borno,Nganzai,Gawabawa,august,253,2020,2,-1,1,0.6,5
Borno,Nganzai,Gawabawa,august,283,2020,3,-1,1,0.6,5
Borno,Nganzai,Gawabawa,august,313,2020,4,-1,1,0.6,5
Borno,Shani,Alkaleri,july,186,2020,1,-1,1,0.6,5
Borno,Shani,Alkaleri,july,216,2020,2,-1,1,0.6,5
Borno,Shani,Alkaleri,july,246,2020,3,-1,1,0.6,5
Borno,Shani,Alkaleri,july,276,2020,4,-1,1,0.6,5
Cross River,Bekwara,Oke-Ero,july,186,2020,1,-1,1,0.6,5
Cross River,Bekwara,Oke-Ero,july,216,2020,2,-1,1,0.6,5
Cross River,Bekwara,Oke-Ero,july,246,2020,3,-1,1,0.6,5
Cross River,Bekwara,Oke-Ero,july,276,2020,4,-1,1,0.6,5
Cross River,Obanliku,Obubra,june,162,2020,1,-1,1,0.6,5
Cross River,Obanliku,Obubra,june,192,2020,2,-1,1,0.6,5
Cross River,Obanliku,Obubra,june,222,2020,3,-1,1,0.6,5
Cross River,Obanliku,Obubra,june,252,2020,4,-1,1,0.6,5
Cross River,Obudu,Obubra,june,162,2020,1,-1,1,0.6,5
Cross River,Obudu,Obubra,june,192,2020,2,-1,1,0.6,5
Cross River,Obudu,Obubra,june,222,2020,3,-1,1,0.6,5
Cross River,Obudu,Obubra,june,252,2020,4,-1,1,0.6,5
Cross River,Ogoja,Obubra,june,162,2020,1,-1,1,0.6,5
Cross River,Ogoja,Obubra,june,192,2020,2,-1,1,0.6,5
Cross River,Ogoja,Obubra,june,222,2020,3,-1,1,0.6,5
Cross River,Ogoja,Obubra,june,252,2020,4,-1,1,0.6,5
Cross River,Yala,Oke-Ero,july,186,2020,1,-1,1,0.6,5
Cross River,Yala,Oke-Ero,july,216,2020,2,-1,1,0.6,5
Cross River,Yala,Oke-Ero,july,246,2020,3,-1,1,0.6,5
Cross River,Yala,Oke-Ero,july,276,2020,4,-1,1,0.6,5
Federal Capital Territory,Abaji,Keana,august,223,2020,1,-1,1,0.6,5
Federal Capital Territory,Abaji,Keana,august,253,2020,2,-1,1,0.6,5
