LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,simday,llins1,mortality,kill_rate,block_initial
Ganjuwa,Darazo,2024,Ganjuwa,0.69164087,0.29303371,0.369298463,0.74926179,2,july,1646,PBO,0.647484501,0.750289825,0.83424922
Giade,Darazo,2021,Giade,0.377142857,0.102857143,0.171428572,0.370588235,1,july,551,PBO,0.730326034,0.751259215,0.891103632
Giade,Darazo,2024,Giade,0.377142857,0.102857143,0.171428572,0.370588235,2,july,1646,PBO,0.730326034,0.751259215,0.891103632
Itas/Gadau,Taura,2021,Itas-Gadau,0.8,0.732229874,0.755793474,0.915155207,1,july,551,PBO,0.742973977,0.751370456,0.897801015
Itas/Gadau,Taura,2024,Itas-Gadau,0.8,0.732229874,0.755793474,0.915155207,2,july,1646,PBO,0.742973977,0.751370456,0.897801015
Katagum,Gwarzo,2021,Katagum,0.618459874,0.469387511,0.5184731,0.8,1,august,588,PBO,0.74547039,0.751391505,0.899071161
Katagum,Gwarzo,2024,Katagum,0.618459874,0.469387511,0.5184731,0.8,2,august,1683,PBO,0.74547039,0.751391505,0.899071161
Kirfi,Alkaleri,2021,Kirfi,0.733333333,0.189473684,0.232258064,0.580645162,1,july,551,PBO,0.704749265,0.751008493,0.876118516
Kirfi,Alkaleri,2024,Kirfi,0.733333333,0.189473684,0.232258064,0.580645162,2,july,1646,PBO,0.704749265,0.751008493,0.876118516
Misau,Darazo,2021,Misau,0.465796684,0.408780968,0.281369388,0.730969967,1,july,551,PBO,0.803277912,0.75180744,0.924290903
Misau,Darazo,2024,Misau,0.465796684,0.408780968,0.281369388,0.730969967,2,july,1646,PBO,0.803277912,0.75180744,0.924290903
Ningi,Takali,2021,Ningi,0.719496158,0.380623615,0.438294882,0.8,1,september,615,PBO,0.6738636,0.750651669,0.85511069
Ningi,Takali,2024,Ningi,0.719496158,0.380623615,0.438294882,0.8,2,september,1710,PBO,0.6738636,0.750651669,0.85511069
