LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override
Irewole,Akinyele,0.525000061,0.525000061,0.539,0,-1,2018,-1
Isa,Rimi,0.230995129,0.230995129,0.539,0,-1,2018,-1
Ise-Orun,Oke-Ero,0.55,0.55,0.539,0,-1,2018,-1
Iseyin,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Ishielu,Owan East,0.258209102,0.258209102,0.539,0,-1,2018,-1
Isiala Mbano,Owan East,0.306837057,0.306837057,0.539,0,-1,2018,-1
Isiala-Ngwa North,Ngor-Okpala,0.37340813,0.37340813,0.539,0,-1,2018,-1
Isiala-Ngwa South,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018,-1
Isin,Ngor-Okpala,0.586368322,0.586368322,0.539,0,-1,2018,-1
Isi-Uzo,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Isokan,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Isoko North,Isoko South,0.133755864,0.133755864,0.539,0,-1,2018,-1
Isoko South,Isoko South,0.133755864,0.133755864,0.539,0,-1,2018,-1
Isu,Ngor-Okpala,0.55,0.55,0.539,0,-1,2018,-1
Isuikwato,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018,-1
Itas-Gadau,Taura,0.191717479,0.191717479,0.539,0,-1,2018,-1
Itesiwaju,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Itu,Ngor-Okpala,0.733333334,0.733333334,0.539,0,-1,2018,-1
Ivo,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018,-1
Iwajowa,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Iwo,Akinyele,0.510434128,0.510434128,0.539,0,-1,2018,-1
Izzi,Owan East,0.535574305,0.535574305,0.539,0,-1,2018,-1
Jaba,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Jada,Alkaleri,0.105227252,0.105227252,0.539,0,-1,2018,-1
Jahun,Taura,0.243476761,0.243476761,0.539,0,-1,2018,-1
Jakusko,Taura,0.192420845,0.192420845,0.539,0,-1,2018,-1
Jalingo,Keana,0.376923014,0.376923014,0.539,0,-1,2018,-1
Jama'are,Taura,0.156156068,0.156156068,0.539,0,-1,2018,-1
Jega,Birnin Kebbi,0.62345013,0.62345013,0.539,0,-1,2018,-1
Jema'a,Soba,0.153092786,0.153092786,0.539,0,-1,2018,-1
Jere,Gawabawa,0.55,0.55,0.539,0,-1,2018,-1
Jibia,Rimi,0.366666666,0.366666666,0.539,0,-1,2018,-1
Jos East,Soba,0.55,0.55,0.539,0,-1,2018,-1
Jos North,Soba,0.115088842,0.115088842,0.539,0,-1,2018,-1
Jos South,Soba,0.022544159,0.022544159,0.539,0,-1,2018,-1
Kabba-Bunu,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Kabo,Gwarzo,0.361536654,0.361536654,0.539,0,-1,2018,-1
Kachia,Ngor-Okpala,0.02871863,0.02871863,0.539,0,-1,2018,-1
Kaduna North,Soba,0.072310763,0.072310763,0.539,0,-1,2018,-1
Kaduna South,Soba,0.022544159,0.022544159,0.539,0,-1,2018,-1
Kafin Hausa,Taura,0.460975493,0.460975493,0.539,0,-1,2018,-1
Kafur,Gwarzo,0.225146183,0.225146183,0.539,0,-1,2018,-1
Kaga,Darazo,0.125808184,0.125808184,0.539,0,-1,2018,-1
Kagarko,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Kaiama,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Kaita,Rimi,0.169230769,0.169230769,0.539,0,-1,2018,-1
Kajola,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Kajuru,Soba,0.022544159,0.022544159,0.539,0,-1,2018,-1
Kala-Balge,Darazo,0.125808184,0.125808184,0.539,0,-1,2018,-1
Kalgo,Birnin Kebbi,0.581014105,0.581014105,0.539,0,-1,2018,-1
Kaltungo,Alkaleri,0.257540308,0.257540308,0.539,0,-1,2018,-1
Kanam,Alkaleri,0.326886723,0.326886723,0.539,0,-1,2018,-1
Kankara,Rimi,0.230995129,0.230995129,0.539,0,-1,2018,-1
Kanke,Alkaleri,0.257540308,0.257540308,0.539,0,-1,2018,-1
Kankia,Rimi,0.314285715,0.314285715,0.539,0,-1,2018,-1
Kano Municipal,Alkaleri,0.257540308,0.257540308,0.539,0,-1,2018,-1
Karasuwa,Taura,0.063244033,0.063244033,0.539,0,-1,2018,-1
Karaye,Gwarzo,0.458333334,0.458333334,0.539,0,-1,2018,-1
Karin-Lamido,Alkaleri,0.172606376,0.172606376,0.539,0,-1,2018,-1
Karu,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Katagum,Gwarzo,0.128504716,0.128504716,0.539,0,-1,2018,-1
Katcha,Oke-Ero,0.337118469,0.337118469,0.539,0,-1,2018,-1
Katsina,Rimi,0.548844548,0.548844548,0.539,0,-1,2018,-1
Katsina-Ala,Keana,0.194905934,0.194905934,0.539,0,-1,2018,-1
Kaugama,Taura,0.122222222,0.122222222,0.539,0,-1,2018,-1
Kaura,Soba,0.022544159,0.022544159,0.539,0,-1,2018,-1
Kaura-Namoda,Rimi,0.230995129,0.230995129,0.539,0,-1,2018,-1
