,LGA,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
367,Ukum,Keana,september,310,2020,3,-1,1,0.6,15
368,Ukum,Keana,september,340,2020,4,-1,1,0.6,15
369,Shira,Takali,october,250,2020,1,-1,1,0.6,15
370,Shira,Takali,october,280,2020,2,-1,1,0.6,15
371,Shira,Takali,october,310,2020,3,-1,1,0.6,15
372,Shira,Takali,october,340,2020,4,-1,1,0.6,15
373,Tafawa-Balewa,Alkaleri,july,186,2020,1,-1,1,0.6,15
374,Tafawa-Balewa,Alkaleri,july,216,2020,2,-1,1,0.6,15
375,Tafawa-Balewa,Alkaleri,july,246,2020,3,-1,1,0.6,15
376,Tafawa-Balewa,Alkaleri,july,276,2020,4,-1,1,0.6,15
377,Toro,Giwa,august,223,2020,1,-1,1,0.6,15
378,Toro,Giwa,august,253,2020,2,-1,1,0.6,15
