adm1,LGA,year,llins_yn,llins_num,llin_month
Oyo,Ibadan North,2016,1,215557,11
Oyo,Ibadan North East,2016,1,264250,11
Oyo,Ibadan North West,2016,1,101362,11
Oyo,Ibadan South East,2016,1,183045,11
Oyo,Ibadan South West,2016,1,201073,11
Kogi,Ibaji,2017,1,81164,
Oyo,Ibarapa Central,2016,1,69143,11
Oyo,Ibarapa East,2016,1,88225,11
Oyo,Ibarapa North,2016,1,78122,11
Akwa Ibom,Ibeno,2014,1,,12
Akwa Ibom,Ibeno,2018,1,57550,
Akwa lbom,Ibesikpo Asutan,2010,,,
Akwa Ibom,Ibesikpo Asutan,2014,1,,12
Akwa Ibom,Ibesikpo Asutan,2018,1,106012,
Taraba,Ibi,2018,1,68333,
Taraba,Ibi,2019,1,68333,8
Akwa Ibom,Ibiono Ibom,2014,1,,12
Akwa Ibom,Ibiono Ibom,2018,1,155070,
Kogi,Idah,2017,1,47258,
Ondo,Idanre,2017,1,91075,11
Imo,Ideato North,2017,1,115686,11
Imo,Ideato South,2017,1,114313,11
Anambra,Idemili North,2014,1,,10
Anambra,Idemili South,2014,1,,10
Oyo,Ido,2016,1,64034,11
Ekiti,Idosi-Osi,2014,1,,12
Osun,Ife Central,2017,1,117445,9
Osun,Ife East,2017,1,141763,9
Osun,Ife North,2017,1,109204,9
Osun,Ife South,2017,1,104347,9
Osun,Ifedayo,2017,1,26497,9
Ondo,Ifedore,2017,1,97841,11
Kwara,Ifelodun1,2017,1,125447,10
Osun,Ifelodun2,2017,1,69168,9
Ogun,Ifo,2014,1,,3
Ogun,Ifo,2018,1,392467,5
Kaduna,Igabi,2015,1,,3
Kaduna,Igabi,2018,1,349769,
Kaduna,Igabi,2019,1,349769,8
Kogi,Igalamela-Odolu,2017,1,77112,
Edo ,Igueben,2017,1,28257,8
Anambra,Ihiala,2010,,,
Anambra,Ihiala,2014,1,,10
Imo,Ihitte/Uboma,2017,1,80551,11
Ogun,Ijebu East,2014,1,,3
Ogun,Ijebu East,2018,1,84970,5
Ogun,Ijebu North,2010,,,
Ogun,Ijebu North,2014,1,,3
Ogun,Ijebu North,2018,1,202568,5
Ogun,Ijebu North East,2014,1,,3
Ogun,Ijebu North East,2018,1,53131,5
Ogun,Ijebu ode,2014,1,,3
Ogun,Ijebu ode,2018,1,113645,5
Ekiti,Ijero,2014,1,,12
Kogi,Ijumu,2017,1,66798,
Akwa Ibom,Ika,2014,1,,12
Akwa Ibom,Ika,2018,1,56597,
Delta,Ika North East,2018,1,126989,
Delta,Ika North East,2019,1,126989,6
Delta,Ika South,2018,1,110958,
Delta,Ika South,2019,1,110958,6
Kaduna,Ikara,2015,1,,3
Kaduna,Ikara,2018,1,174674,
Kaduna,Ikara,2019,1,174674,8
Imo,Ikeduru,2017,1,102057,11
Ogun,Ikenne,2014,1,,3
Ogun,Ikenne,2018,1,86684,5
Ekiti,Ikere,2014,1,,12
Ekiti,Ikole,2014,1,,12
Cross River,Ikom,2015,1,,9
Cross River,Ikom,2018,1,134173,
Akwa Ibom,Ikono,2014,1,,12
Akwa Ibom,Ikono,2018,1,104229,
Akwa lbom,Ikot Abasi,2010,,,
Akwa Ibom,Ikot Abasi,2014,1,,12
Akwa Ibom,Ikot Abasi,2018,1,102336,
Akwa Ibom,Ikot Ekpene,2014,1,,12
Akwa Ibom,Ikot Ekpene,2018,1,103162,
Edo ,Ikpoba-Okha,2017,1,246043,8
Rivers,Ikwerre,2010,,,
Rivers,Ikwerre,2014,1,,10
Ebonyi,Ikwo,2015,1,,9
Abia,Ikwuano,2015,1,,2
Osun,Ila,2017,1,46867,9
Ondo,Ilaje,2017,1,210530,11
Ekiti,Ilemeji,2014,1,,12
Ondo,Ile-Oluji-Okeigbo,2017,1,113020,11
Osun,Ilesha East,2017,1,84877,9
Osun,Ilesha West,2017,1,79188,9
Sokoto,Illela,2010,,,
Sokoto,Illela,2013,1,,12
Sokoto,Illela,2017,1,114796,
