"","LGA","repDS","year_10","year_13","year_14","year_15","year_16","year_17","year_18","year_19"
"196","Egor","Uzo-Uwani",NA,NA,NA,NA,NA,1,NA,NA
"197","Esan North East","Uzo-Uwani",NA,NA,NA,NA,NA,1,NA,NA
"198","Esan Central","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"199","Esan South East","Uzo-Uwani",NA,NA,NA,NA,NA,1,NA,NA
"200","Esan West","Uzo-Uwani",NA,NA,NA,NA,NA,1,NA,NA
"201","Etsako Central","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"202","Etsako East","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"203","Etsako West","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"204","Igueben","Uzo-Uwani",NA,NA,NA,NA,NA,1,NA,NA
"205","Ikpoba-Okha","Uzo-Uwani",NA,NA,NA,NA,NA,1,NA,NA
"206","Aninri","Oru West",NA,NA,NA,NA,NA,NA,NA,NA
"207","Oredo","Uzo-Uwani",NA,NA,NA,NA,NA,1,NA,NA
"208","Orhionmwon","Uzo-Uwani",NA,NA,NA,NA,NA,1,NA,NA
"209","Ovia North East","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"210","Ovia South West","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"211","Owan East","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"212","Owan West","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"213","Uhunmwonde","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"214","Ado Ekiti","Owan East",1,NA,1,NA,NA,NA,NA,NA
"215","Efon-Alayee","Oke-Ero",NA,NA,1,NA,NA,NA,NA,NA
"216","Ekiti East","Oke-Ero",NA,NA,1,NA,NA,NA,NA,NA
"217","Ekiti South West","Oke-Ero",NA,NA,1,NA,NA,NA,NA,NA
"218","Awgu","Oru West",NA,NA,NA,NA,NA,NA,NA,NA
"219","Ekiti West","Oke-Ero",1,NA,1,NA,NA,NA,NA,NA
"220","Emure","Oke-Ero",NA,NA,1,NA,NA,NA,NA,NA
"221","Gboyin","Obubra",NA,NA,1,NA,NA,NA,NA,NA
"222","Idosi-Osi","Oke-Ero",NA,NA,1,NA,NA,NA,NA,NA
