LGA_nu,LGA,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate
Egbedore,Egbedore,Akinyele,0.45421774,0.376642327,0.266298347,0.425178617,0.43475278,0.487780896
Egor,Egor,Uzo-Uwani,0.199248098,0.166666667,0.21594687,0.156359395,0.42209808,0.477643111
Ehime-Mbano,Ehime-Mbano,Ngor-Okpala,0.1769013,0.190706742,0.191736714,0.128451426,0.459803075,0.507563152
Ejigbo,Ejigbo,Akinyele,0.470284781,0.224596666,0.278254826,0.432518962,0.431935286,0.48553143
Ekeremor,Ekeremor,Ahoada West,0.491716412,0.519645239,0.593970251,0.509221184,0.323932604,0.397208796
Eket,Eket,Nsit Ubium,0.363636364,0.333333333,0.35,0.318181818,0.238612216,0.328021397
Ekiti,Ekiti,Oke-Ero,0.358598375,0.075483829,0.228405589,0.226141753,0.316166435,0.390814415
Ekiti East,Ekiti East,Oke-Ero,0.25,0.299429972,0.125,0.188679245,0.342294717,0.412351259
Ekiti South West,Ekiti South West,Oke-Ero,0.27166064,0.266233759,0.271209078,0.255773664,0.434979733,0.487961894
Ekiti West,Ekiti West,Oke-Ero,0.184223534,0.213830864,0.207872038,0.250242197,0.332828195,0.404541983
Ekwusigo,Ekwusigo,Oru West,0.366666667,0.083333333,0.041666667,0.203389831,0.255572543,0.341515837
Eleme,Eleme,Ahoada West,0.334594703,0.254864533,0.171533773,0.268713938,0.25030862,0.337309328
Emohua,Emohua,Ahoada West,0.466666667,0.214285714,0.315789474,0.189655172,0.246521171,0.334292623
Emure,Emure,Oke-Ero,0.357142857,0.153846154,0.090909091,0.216666667,0.372039671,0.436863758
Enugu East,Enugu East,Uzo-Uwani,0.329093825,0.20369517,0.219981236,0.228052903,0.392074002,0.453287726
Enugu North,Enugu North,Uzo-Uwani,0.154716936,0.048309143,0.141453801,0.113708785,0.420714903,0.476529889
Enugu South,Enugu South,Uzo-Uwani,0.117565295,0.096628193,0.089494789,0.134867503,0.479661177,0.52292855
Epe,Epe,Uzo-Uwani,0.076923077,0.25,0.166666667,0.18,0.40174632,0.461173792
Esan Central,Esan Central,Owan East,0.555555556,0.625,0.235294118,0.280701754,0.34342137,0.413280793
Esan North East,Esan North East,Uzo-Uwani,0.266666667,0.3,0.230769231,0.227272727,0.339061878,0.409684078
Esan South East,Esan South East,Uzo-Uwani,0.419240922,0.298191902,0.318773719,0.413052039,0.404971726,0.463795838
Esan West,Esan West,Uzo-Uwani,0.333333333,0.4,0.6,0.243243243,0.366421113,0.432241487
Ese-Odo,Ese-Odo,Owan East,0.555555556,0.5,0.470588235,0.523809524,0.298999586,0.376721268
Esit Eket,Esit Eket,Nsit Ubium,0.642857143,0.4,0.162162162,0.490566038,0.262279676,0.346897657
Essien Udim,Essien Udim,Ngor-Okpala,0.40416306,0.41932543,0.101814961,0.248747098,0.369824263,0.435041855
Etche,Etche,Ngor-Okpala,0.189331333,0.265626203,0.271860382,0.26147852,0.253940946,0.340210321
Ethiope East,Ethiope East,Isoko South,0.071428571,0.156482654,0.052470085,0.07965734,0.209725367,0.305480359
Ethiope West,Ethiope West,Isoko South,0.2,0.255845189,0.111111111,0.255813953,0.342228555,0.412296673
Etim Ekpo,Etim Ekpo,Ngor-Okpala,0.304424538,0.266473717,0.219305704,0.266910909,0.326319464,0.399175674
Etinan,Etinan,Nsit Ubium,0.230769231,0.166666667,0.202569073,0.142857143,0.271254927,0.35413511
Eti-Osa,Eti-Osa,Isoko South,0.125,0.666666667,0.17817353,0.174180404,0.469914663,0.515425093
Etsako Central,Etsako Central,Owan East,0.25,0.133333333,0.391304348,0.160714286,0.300181787,0.377689484
Etsako East,Etsako East,Owan East,0.222853343,0.035081229,0.082263184,0.219326988,0.314825995,0.389711717
Etsako West,Etsako West,Owan East,0.156801223,0.047429771,0.039901288,0.091796309,0.290127246,0.36946828
Etung,Etung,Obubra,0.25,0.1,0.388888889,0.282051282,0.470104636,0.515572062
Ewekoro,Ewekoro,Uzo-Uwani,0.7798507,0.679724304,0.480287211,0.636818403,0.487001134,0.528528126
Ezeagu,Ezeagu,Uzo-Uwani,0.406541925,0.310152923,0.183547524,0.347315147,0.415961311,0.472696867
Ezinihitte,Ezinihitte,Ngor-Okpala,0.039516986,0.062695796,0.109386966,0.189200567,0.456817192,0.505227255
Ezza North,Ezza North,Owan East,0.68627451,0.6,0.529411765,0.5625,0.41226708,0.469710667
Ezza South,Ezza South,Obubra,0.735494891,0.665466448,0.65376283,0.622009871,0.389807073,0.451434864
Fagge,Fagge,Alkaleri,0.484534717,0.381738609,0.338571783,0.497522113,0.567041099,0.586251328
Fakai,Fakai,Birnin Kebbi,0.925,0.807692308,0.711538462,0.783783784,0.590008654,0.601533253
Faskari,Faskari,Giwa,0.508196721,0.62962963,0.689655172,0.594594595,0.713932669,0.672768838
Fika,Fika,Darazo,0.452267101,0.147058824,0.260204646,0.042857143,0.755004111,0.692121556
Fufore,Fufore,Alkaleri,0.372915678,0.40166749,0.396978755,0.381692756,0.635571581,0.629966874
Funakaye,Funakaye,Alkaleri,0.35483871,0.215686275,0.205882353,0.555555556,0.631961788,0.627807972
Fune,Fune,Darazo,0.130446723,0.153939112,0.095508126,0.208923888,0.756549801,0.692809524
Funtua,Funtua,Gwarzo,0.673321885,0.507343504,0.348372254,0.599895342,0.500280747,0.538540771
Gabasawa,Gabasawa,Taura,0.658536585,0.612903226,0.661016949,0.698924731,0.749885825,0.689822821
Gada,Gada,Gawabawa,0.454220264,0.16072196,0.267299852,0.564402412,0.721220117,0.676355095
Gagarawa,Gagarawa,Taura,0.923076923,0.972222222,0.871794872,0.942028986,0.716266925,0.673924789
Gamawa,Gamawa,Gwarzo,0.484848485,0.25,0.333333333,0.634920635,0.770682387,0.698966685
Ganaye,Ganaye,Alkaleri,0.434782609,0.19047619,0.333333333,0.416666667,0.427407559,0.481907173
Ganjuwa,Ganjuwa,Darazo,0.576367392,0.244194758,0.307748719,0.624384825,0.647484501,0.636975276
Garki,Garki,Babura,0.944444444,0.878787879,0.952380952,0.932432432,0.74078424,0.685656303
Garko,Garko,Gwarzo,0.658536585,0.407407407,0.408163265,0.6625,0.768838005,0.698176678
Garum Mallam,Garum Mallam,Gwarzo,0.818181818,0.75,0.608695652,0.783783784,0.862288859,0.733346686
Gashaka,Gashaka,Oru West,0.195652174,0.076923077,0.04,0.230769231,0.402171636,0.461519779
Gassol,Gassol,Keana,0.367913764,0.199445386,0.267754229,0.457482077,0.374978294,0.439278935
Gawabawa,Gawabawa,Gawabawa,0.447272942,0.190509869,0.235265365,0.522596299,0.808406515,0.714253917
Gaya,Gaya,Gwarzo,0.878787879,0.730769231,0.806451613,0.941176471,0.763092032,0.695689515
Gbako,Gbako,Oke-Ero,0.166666667,0.121212121,0.260379648,0.141025641,0.413494411,0.470703464
Gboko,Gboko,Keana,0.764633412,0.645455044,0.438547558,0.565466494,0.325574075,0.398561371
Gboyin,Gboyin,Obubra,0.31983529,0.131551915,0.188804999,0.238079038,0.286540024,0.36654315
Geidam,Geidam,Babura,0.717584416,0.651199027,0.639332017,0.715626442,0.758492868,0.693670268
Gezawa,Gezawa,Gwarzo,0.740740741,0.741935484,0.711538462,0.718309859,0.80805322,0.714118308
Giade,Giade,Darazo,0.314285714,0.085714286,0.142857143,0.308823529,0.730326034,0.680743195
Gireri,Gireri,Darazo,0.43370955,0.251051565,0.419360098,0.414123463,0.658506137,0.643299625
Giwa,Giwa,Giwa,0.737419113,0.583410843,0.416886871,0.720179025,0.58231661,0.596484125
Gokana,Gokana,Nsit Ubium,0.220027729,0.230710689,0.110953956,0.173612354,0.297628692,0.375599012
Gombe,Gombe,Alkaleri,0.359366859,0.280686294,0.281409971,0.460274947,0.497689178,0.536599101
Gombi,Gombi,Alkaleri,0.46428318,0.413940794,0.395597499,0.338836572,0.515567645,0.54986676
Goronyo,Goronyo,Gawabawa,0.588235294,0.153846154,0.368421053,0.613636364,0.728302887,0.67977715
Gubio,Gubio,Gawabawa,0.285714286,0.352734644,0.238095238,0.212765957,0.814426994,0.716543356
