LGA,pop,anc_total,preg_llin,coverage,kill_rate,block_initial,simday,duration,year
Gaya,296779.9,36196,5448,0.1806168,0.695689515,0.53,0,-1,2018
Gbako,190388.55,7901,3485,0.5292996,0.470703464,0.53,0,-1,2018
Gboko,511756.91,4590,930,0.2431368,0.398561371,0.53,0,-1,2018
Gboyin,125408.97,3674,616,0.201198,0.36654315,0.53,0,-1,2018
Geidam,237683.54,12626,1406,0.1336296,0.693670268,0.53,0,-1,2018
Gezawa,416446.5,41599,6391,0.1843608,0.714118308,0.53,0,-1,2018
Giade,234455.46,20857,2211,0.1272096,0.680743195,0.53,0,-1,2018
Gireri,183193.96,40790,6248,0.18381,0.643299625,0.53,0,-1,2018
Giwa,408376.41,84000,19230,0.2747148,0.596484125,0.53,0,-1,2018
Gokana,341787.07,5170,835,0.1938108,0.375599012,0.53,0,-1,2018
Gombe,391103.01,108131,5188,0.0575748,0.536599101,0.53,0,-1,2018
Gombi,206353.38,28793,1960,0.0816864,0.54986676,0.53,0,-1,2018
Goronyo,259910.51,21859,124,0.0068076,0.67977715,0.53,0,-1,2018
Gubio,228195.61,1780,166,0.1119096,0.716543356,0.53,0,-1,2018
Gudu,136222.9,11715,206,0.0211008,0.71791011,0.53,0,-1,2018
Gujba,196571.9,33976,7675,0.271074,0.657759675,0.53,0,-1,2018
Gulani,156410.72,23852,4181,0.2103468,0.642489607,0.53,0,-1,2018
Guma,273174.36,2298,550,0.2872068,0.431083741,0.53,0,-1,2018
Gumel,151015.41,28369,7744,0.3275688,0.696620535,0.53,0,-1,2018
Gummi,298491.86,20377,4490,0.2644152,0.682376452,0.53,0,-1,2018
Gurara,135882.57,16712,7509,0.5391816,0.560704096,0.53,0,-1,2018
Guri,162087.79,25195,5273,0.2511456,0.647852757,0.53,0,-1,2018
Gusau,559163.48,80026,13077,0.1960908,0.68794435,0.53,0,-1,2018
Guyuk,250541.47,23234,3506,0.18108,0.58959986,0.53,0,-1,2018
Guzamala,142863.85,341,172,0.6052788,0.701881155,0.53,0,-1,2018
Gwagwalada,283043.86,26237,151,0.006906,0.578622846,0.53,0,-1,2018
Gwale,534543.69,64122,10885,0.203706,0.608574402,0.53,0,-1,2018
Gwandu,278902.66,12113,2362,0.2339964,0.704443878,0.53,0,-1,2018
Gwaram,384133.05,54540,8933,0.1965456,0.699039331,0.53,0,-1,2018
Gwarzo,271638.3,59257,8363,0.1693572,0.719876187,0.53,0,-1,2018
Gwer East,233321.49,6557,1933,0.3537588,0.43463817,0.53,0,-1,2018
Gwer West,174149.56,7501,1832,0.2930808,0.478971197,0.53,0,-1,2018
Gwiwa,175474.15,30984,4803,0.186018,0.648829951,0.53,0,-1,2018
Gwoza,412711.16,1400,1346,1,0.655002722,0.53,0,-1,2018
Hadejia,148855.04,41558,4742,0.1369272,0.630488544,0.53,0,-1,2018
Hawul,179706.02,17095,4531,0.3180576,0.625521494,0.53,0,-1,2018
Hong,238338.87,31262,3858,0.1480908,0.629555395,0.53,0,-1,2018
Ibadan North,493497.76,46860,5041,0.1290912,0.385220242,0.53,0,-1,2018
Ibadan North East,458241.84,37451,2394,0.0767088,0.373170294,0.53,0,-1,2018
Ibadan North West,228279.25,24666,1869,0.0909264,0.390908593,0.53,0,-1,2018
Ibadan South East,397377.43,34074,2994,0.1054416,0.354331864,0.53,0,-1,2018
Ibadan South West,422080.77,38910,2023,0.0623904,0.390146775,0.53,0,-1,2018
Ibaji,182681.32,7317,925,0.1517016,0.406770517,0.53,0,-1,2018
Ibarapa Central,153813.74,11644,1913,0.1971492,0.444353906,0.53,0,-1,2018
Ibarapa East,176587.3,17743,1011,0.068376,0.413265999,0.53,0,-1,2018
Ibarapa North,150995.24,5710,1858,0.3904728,0.434775142,0.53,0,-1,2018
Ibeju-Lekki,171444.68,35295,2212,0.0752064,0.484293743,0.53,0,-1,2018
Ibeno,112590.72,5957,1260,0.2538192,0.353239894,0.53,0,-1,2018
Ibesikpo Asutan,204779.79,6105,2056,0.4041276,0.430871605,0.53,0,-1,2018
Ibi,118452.13,7296,551,0.0906252,0.477905881,0.53,0,-1,2018
Ibiono Ibom,283254.23,5078,1092,0.258054,0.446021174,0.53,0,-1,2018
Idah,113797.11,10291,1299,0.1514724,0.445061456,0.53,0,-1,2018
Idanre,183957.37,13344,3355,0.3017088,0.38691517,0.53,0,-1,2018
Ideato North,231168.15,2658,454,0.204966,0.499135162,0.53,0,-1,2018
Ideato South,233317.76,1737,678,0.4683936,0.490817759,0.53,0,-1,2018
Idemili North,600034.1,21458,2344,0.1310844,0.478205882,0.53,0,-1,2018
Idemili South,289279.94,10044,2607,0.3114696,0.441250403,0.53,0,-1,2018
Ido,154234.95,15060,2033,0.1619916,0.418466109,0.53,0,-1,2018
Idosi-Osi,229515.69,5756,770,0.1605276,0.379754213,0.53,0,-1,2018
Ifako-Ijaye,624419.31,82622,1525,0.0221496,0.45214207,0.53,0,-1,2018
Ife Central,244080.39,10135,2172,0.2571684,0.495002812,0.53,0,-1,2018
Ife East,274482.81,16264,2625,0.1936788,0.503641962,0.53,0,-1,2018
Ife North,224291.74,8530,1634,0.2298708,0.473764721,0.53,0,-1,2018
Ife South,197504.1,6327,1504,0.2852532,0.46466042,0.53,0,-1,2018
Ifedayo,54080.207,1791,523,0.3504192,0.354121438,0.53,0,-1,2018
Ifedore,251400.14,8555,2207,0.3095736,0.438179998,0.53,0,-1,2018
Ifelodun1,293766.62,4548,1391,0.3670188,0.425290104,0.53,0,-1,2018
Ifelodun2,141188.19,7374,1120,0.182262,0.4599798,0.53,0,-1,2018
Ifo,249290.04,45927,2211,0.0577704,0.484704494,0.53,0,-1,2018
Igabi,613403.68,74586,11816,0.1901052,0.561783675,0.53,0,-1,2018
Igalamela-Odolu,211041.13,8281,1999,0.2896752,0.414321376,0.53,0,-1,2018
Igbo-Etiti,298337.61,1556,196,0.1511568,0.44612671,0.53,0,-1,2018
Igbo-Eze North,369886.57,2190,144,0.0789036,0.404119407,0.53,0,-1,2018
Igbo-Eze South,210054.5,3213,153,0.0571428,0.428315236,0.53,0,-1,2018
Igueben,95873.338,3000,631,0.2523996,0.472108841,0.53,0,-1,2018
Ihiala,420873.39,7258,1603,0.265032,0.297729955,0.53,0,-1,2018
Ihitte-Uboma,176206.5,3897,709,0.218322,0.516367403,0.53,0,-1,2018
Ijebu East,81432.285,5558,1218,0.2629728,0.481021987,0.53,0,-1,2018
Ijebu North,162693.31,12363,910,0.0883284,0.384607157,0.53,0,-1,2018
Ijebu North East,774869.03,5408,678,0.150444,0.457008243,0.53,0,-1,2018
Ijebu ode,419793.5,27239,731,0.0322044,0.435840096,0.53,0,-1,2018
Ijero,319368.01,5749,771,0.160932,0.348459432,0.53,0,-1,2018
Ijumu,170990.08,6542,2011,0.3688776,0.387970309,0.53,0,-1,2018
Ika,108944.74,2017,1442,0.8579076,0.36230356,0.53,0,-1,2018
Ika North East,268017.93,20096,1497,0.0893904,0.450121249,0.53,0,-1,2018
Ika South,237279.86,4705,698,0.1780236,0.436316512,0.53,0,-1,2018
Ikara,276492.11,60641,11717,0.2318628,0.693400299,0.53,0,-1,2018
Ikeduru,217902.75,5725,695,0.1456764,0.461899584,0.53,0,-1,2018
