,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,kill_rate,block_initial,round,peak,simday,MapA_mix,llin_type
114,Ayamelum,Uzo-Uwani,2023,Ayamelum,0.271200001,0.108235295,0.067379682,0.178492462,0.489171465,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
115,Uyo,Nsit Ubium,2021,Uyo,0.227865551,0.092983637,0.130824641,0.147802518,0.459725229,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
116,Uyo,Nsit Ubium,2024,Uyo,0.227865551,0.092983637,0.130824641,0.147802518,0.459725229,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
117,Aguata,Oru West,2020,Aguata,0.307020565,0.464441369,0.287571353,0.285199427,0.503044714,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
118,Aguata,Oru West,2023,Aguata,0.307020565,0.464441369,0.287571353,0.285199427,0.503044714,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
119,Anambra East,Uzo-Uwani,2020,Anambra East,0.128571428,0.268927518,0.12,0.042105263,0.439848897,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
120,Anambra East,Uzo-Uwani,2023,Anambra East,0.128571428,0.268927518,0.12,0.042105263,0.439848897,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
121,Anambra West,Uzo-Uwani,2020,Anambra West,0.389576772,0.444225973,0.318720223,0.33407719,0.453035277,0.53,1,june,162,CM+IPTp+LLINs+SMC,itn
122,Anambra West,Uzo-Uwani,2023,Anambra West,0.389576772,0.444225973,0.318720223,0.33407719,0.453035277,0.53,2,june,1257,CM+IPTp+LLINs+SMC,itn
123,Anaocha,Oru West,2020,Anaocha,0.21732035,0.1486294,0.183318119,0.126019202,0.476153753,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
124,Anaocha,Oru West,2023,Anaocha,0.21732035,0.1486294,0.183318119,0.126019202,0.476153753,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
125,Dunukofia,Uzo-Uwani,2020,Dunukofia,0.331783877,0.268927518,0.192060578,0.226610623,0.477122595,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
126,Dunukofia,Uzo-Uwani,2023,Dunukofia,0.331783877,0.268927518,0.192060578,0.226610623,0.477122595,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
127,Ekwusigo,Oru West,2020,Ekwusigo,0.44,0.1,0.05,0.244067797,0.341515837,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
128,Ekwusigo,Oru West,2023,Ekwusigo,0.44,0.1,0.05,0.244067797,0.341515837,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
129,Idemili North,Uzo-Uwani,2020,Idemili North,0.351770567,0.26280508,0.1310178,0.233040127,0.478205882,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
130,Idemili North,Uzo-Uwani,2023,Idemili North,0.351770567,0.26280508,0.1310178,0.233040127,0.478205882,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
131,Idemili South,Oru West,2020,Idemili South,0.221205598,0.140623322,0.109807903,0.195956749,0.441250403,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
132,Idemili South,Oru West,2023,Idemili South,0.221205598,0.140623322,0.109807903,0.195956749,0.441250403,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
133,Ihiala,Oru West,2020,Ihiala,0.24112149,0.276675605,0.22524698,0.367873302,0.297729955,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
134,Ihiala,Oru West,2023,Ihiala,0.24112149,0.276675605,0.22524698,0.367873302,0.297729955,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
135,Njikoka,Uzo-Uwani,2020,Njikoka,0.342857143,0.20040582,0.234042512,0.180218965,0.489504274,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
