adm1,LGA,smc_map_B,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Benue,Gboko,SMC,Keana,august,253,2020,2,-1,0.96,0.24,5
Benue,Gboko,SMC,Keana,august,283,2020,3,-1,0.96,0.24,5
Benue,Gboko,SMC,Keana,august,313,2020,4,-1,0.96,0.24,5
Benue,Guma,SMC,Keana,august,223,2020,1,-1,0.96,0.24,5
Benue,Guma,SMC,Keana,august,253,2020,2,-1,0.96,0.24,5
Benue,Guma,SMC,Keana,august,283,2020,3,-1,0.96,0.24,5
Benue,Guma,SMC,Keana,august,313,2020,4,-1,0.96,0.24,5
Benue,Gwer East,SMC,Oke-Ero,july,186,2020,1,-1,0.96,0.24,5
Benue,Gwer East,SMC,Oke-Ero,july,216,2020,2,-1,0.96,0.24,5
Benue,Gwer East,SMC,Oke-Ero,july,246,2020,3,-1,0.96,0.24,5
Benue,Gwer East,SMC,Oke-Ero,july,276,2020,4,-1,0.96,0.24,5
Benue,Gwer West,SMC,Keana,august,223,2020,1,-1,0.96,0.24,5
Benue,Gwer West,SMC,Keana,august,253,2020,2,-1,0.96,0.24,5
Benue,Gwer West,SMC,Keana,august,283,2020,3,-1,0.96,0.24,5
Benue,Gwer West,SMC,Keana,august,313,2020,4,-1,0.96,0.24,5
Benue,Konshisha,SMC,Oke-Ero,july,186,2020,1,-1,0.96,0.24,5
Benue,Konshisha,SMC,Oke-Ero,july,216,2020,2,-1,0.96,0.24,5
Benue,Konshisha,SMC,Oke-Ero,july,246,2020,3,-1,0.96,0.24,5
Benue,Konshisha,SMC,Oke-Ero,july,276,2020,4,-1,0.96,0.24,5
Benue,Kwande,SMC,Oke-Ero,july,186,2020,1,-1,0.96,0.24,5
Benue,Kwande,SMC,Oke-Ero,july,216,2020,2,-1,0.96,0.24,5
Benue,Kwande,SMC,Oke-Ero,july,246,2020,3,-1,0.96,0.24,5
Benue,Kwande,SMC,Oke-Ero,july,276,2020,4,-1,0.96,0.24,5
Benue,Logo,SMC,Keana,august,223,2020,1,-1,0.96,0.24,5
Benue,Logo,SMC,Keana,august,253,2020,2,-1,0.96,0.24,5
Benue,Logo,SMC,Keana,august,283,2020,3,-1,0.96,0.24,5
Benue,Logo,SMC,Keana,august,313,2020,4,-1,0.96,0.24,5
Benue,Makurdi,SMC,Keana,august,223,2020,1,-1,0.96,0.24,5
Benue,Makurdi,SMC,Keana,august,253,2020,2,-1,0.96,0.24,5
Benue,Makurdi,SMC,Keana,august,283,2020,3,-1,0.96,0.24,5
Benue,Makurdi,SMC,Keana,august,313,2020,4,-1,0.96,0.24,5
Benue,Oturkpo,SMC,Owan East,march,70,2020,1,-1,0.96,0.24,5
Benue,Oturkpo,SMC,Owan East,march,100,2020,2,-1,0.96,0.24,5
Benue,Oturkpo,SMC,Owan East,march,130,2020,3,-1,0.96,0.24,5
Benue,Oturkpo,SMC,Owan East,march,160,2020,4,-1,0.96,0.24,5
Benue,Tarka,SMC,Keana,august,223,2020,1,-1,0.96,0.24,5
Benue,Tarka,SMC,Keana,august,253,2020,2,-1,0.96,0.24,5
Benue,Tarka,SMC,Keana,august,283,2020,3,-1,0.96,0.24,5
Benue,Tarka,SMC,Keana,august,313,2020,4,-1,0.96,0.24,5
Benue,Ukum,SMC,Keana,august,223,2020,1,-1,0.96,0.24,5
Benue,Ukum,SMC,Keana,august,253,2020,2,-1,0.96,0.24,5
Benue,Ukum,SMC,Keana,august,283,2020,3,-1,0.96,0.24,5
Benue,Ukum,SMC,Keana,august,313,2020,4,-1,0.96,0.24,5
Benue,Ushongo,SMC,Oke-Ero,july,186,2020,1,-1,0.96,0.24,5
Benue,Ushongo,SMC,Oke-Ero,july,216,2020,2,-1,0.96,0.24,5
Benue,Ushongo,SMC,Oke-Ero,july,246,2020,3,-1,0.96,0.24,5
Benue,Ushongo,SMC,Oke-Ero,july,276,2020,4,-1,0.96,0.24,5
Benue,Vandeikya,SMC,Oke-Ero,july,186,2020,1,-1,0.96,0.24,5
Benue,Vandeikya,SMC,Oke-Ero,july,216,2020,2,-1,0.96,0.24,5
Benue,Vandeikya,SMC,Oke-Ero,july,246,2020,3,-1,0.96,0.24,5
Benue,Vandeikya,SMC,Oke-Ero,july,276,2020,4,-1,0.96,0.24,5
Borno,Abadam,SMC,Babura,may,131,2020,1,-1,0.96,0.24,5
Borno,Abadam,SMC,Babura,may,161,2020,2,-1,0.96,0.24,5
Borno,Abadam,SMC,Babura,may,191,2020,3,-1,0.96,0.24,5
Borno,Abadam,SMC,Babura,may,221,2020,4,-1,0.96,0.24,5
Borno,Askira-Uba,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Borno,Askira-Uba,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Borno,Askira-Uba,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Borno,Askira-Uba,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Borno,Bama,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Borno,Bama,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Borno,Bama,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Borno,Bama,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Borno,Bayo,SMC,Alkaleri,july,186,2020,1,-1,0.96,0.24,5
Borno,Bayo,SMC,Alkaleri,july,216,2020,2,-1,0.96,0.24,5
Borno,Bayo,SMC,Alkaleri,july,246,2020,3,-1,0.96,0.24,5
Borno,Bayo,SMC,Alkaleri,july,276,2020,4,-1,0.96,0.24,5
Borno,Biu,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Borno,Biu,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Borno,Biu,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Borno,Biu,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Borno,Chibok,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Borno,Chibok,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Borno,Chibok,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Borno,Chibok,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Borno,Damboa,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Borno,Damboa,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Borno,Damboa,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Borno,Damboa,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Borno,Dikwa,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Borno,Dikwa,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Borno,Dikwa,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Borno,Dikwa,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Borno,Gubio,SMC,Gawabawa,august,223,2020,1,-1,0.96,0.24,5
Borno,Gubio,SMC,Gawabawa,august,253,2020,2,-1,0.96,0.24,5
Borno,Gubio,SMC,Gawabawa,august,283,2020,3,-1,0.96,0.24,5
Borno,Gubio,SMC,Gawabawa,august,313,2020,4,-1,0.96,0.24,5
Borno,Guzamala,SMC,Babura,may,131,2020,1,-1,0.96,0.24,5
Borno,Guzamala,SMC,Babura,may,161,2020,2,-1,0.96,0.24,5
Borno,Guzamala,SMC,Babura,may,191,2020,3,-1,0.96,0.24,5
Borno,Guzamala,SMC,Babura,may,221,2020,4,-1,0.96,0.24,5
Borno,Gwoza,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Borno,Gwoza,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Borno,Gwoza,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Borno,Gwoza,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Borno,Hawul,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Borno,Hawul,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Borno,Hawul,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Borno,Hawul,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Borno,Jere,SMC,Gawabawa,august,223,2020,1,-1,0.96,0.24,5
Borno,Jere,SMC,Gawabawa,august,253,2020,2,-1,0.96,0.24,5
Borno,Jere,SMC,Gawabawa,august,283,2020,3,-1,0.96,0.24,5
Borno,Jere,SMC,Gawabawa,august,313,2020,4,-1,0.96,0.24,5
Borno,Kaga,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Borno,Kaga,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Borno,Kaga,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Borno,Kaga,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Borno,Kala-Balge,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Borno,Kala-Balge,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Borno,Kala-Balge,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Borno,Kala-Balge,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Borno,Konduga,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Borno,Konduga,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Borno,Konduga,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Borno,Konduga,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Borno,Kukawa,SMC,Babura,may,131,2020,1,-1,0.96,0.24,5
Borno,Kukawa,SMC,Babura,may,161,2020,2,-1,0.96,0.24,5
Borno,Kukawa,SMC,Babura,may,191,2020,3,-1,0.96,0.24,5
Borno,Kukawa,SMC,Babura,may,221,2020,4,-1,0.96,0.24,5
Borno,Kwaya Kusar,SMC,Alkaleri,july,186,2020,1,-1,0.96,0.24,5
Borno,Kwaya Kusar,SMC,Alkaleri,july,216,2020,2,-1,0.96,0.24,5
Borno,Kwaya Kusar,SMC,Alkaleri,july,246,2020,3,-1,0.96,0.24,5
Borno,Kwaya Kusar,SMC,Alkaleri,july,276,2020,4,-1,0.96,0.24,5
Borno,Mafa,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Borno,Mafa,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Borno,Mafa,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Borno,Mafa,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Borno,Magumeri,SMC,Gawabawa,august,223,2020,1,-1,0.96,0.24,5
Borno,Magumeri,SMC,Gawabawa,august,253,2020,2,-1,0.96,0.24,5
Borno,Magumeri,SMC,Gawabawa,august,283,2020,3,-1,0.96,0.24,5
Borno,Magumeri,SMC,Gawabawa,august,313,2020,4,-1,0.96,0.24,5
Borno,Maiduguri,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Borno,Maiduguri,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Borno,Maiduguri,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Borno,Maiduguri,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Borno,Marte,SMC,Babura,may,131,2020,1,-1,0.96,0.24,5
Borno,Marte,SMC,Babura,may,161,2020,2,-1,0.96,0.24,5
Borno,Marte,SMC,Babura,may,191,2020,3,-1,0.96,0.24,5
Borno,Marte,SMC,Babura,may,221,2020,4,-1,0.96,0.24,5
Borno,Mobbar,SMC,Babura,may,131,2020,1,-1,0.96,0.24,5
Borno,Mobbar,SMC,Babura,may,161,2020,2,-1,0.96,0.24,5
Borno,Mobbar,SMC,Babura,may,191,2020,3,-1,0.96,0.24,5
Borno,Mobbar,SMC,Babura,may,221,2020,4,-1,0.96,0.24,5
Borno,Monguno,SMC,Babura,may,131,2020,1,-1,0.96,0.24,5
Borno,Monguno,SMC,Babura,may,161,2020,2,-1,0.96,0.24,5
Borno,Monguno,SMC,Babura,may,191,2020,3,-1,0.96,0.24,5
Borno,Monguno,SMC,Babura,may,221,2020,4,-1,0.96,0.24,5
Borno,Ngala,SMC,Taura,july,186,2020,1,-1,0.96,0.24,5
Borno,Ngala,SMC,Taura,july,216,2020,2,-1,0.96,0.24,5
Borno,Ngala,SMC,Taura,july,246,2020,3,-1,0.96,0.24,5
