,adm1,LGA,MapB_mix,llin,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,round,peak,simday
109,Akwa Ibom,Obot Akara,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2021,Obot Akara,0.352941176,0.444444444,0.230769231,0.298245614,0.376065149,0.440171735,1,june,527
110,Akwa Ibom,Obot Akara,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2024,Obot Akara,0.352941176,0.444444444,0.230769231,0.298245614,0.376065149,0.440171735,2,june,1622
111,Akwa Ibom,Okobo,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Okobo,0.3,0.222222222,0.454545455,0.290909091,0.269257198,0.352520839,1,june,527
112,Akwa Ibom,Okobo,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Okobo,0.3,0.222222222,0.454545455,0.290909091,0.269257198,0.352520839,2,june,1622
113,Akwa Ibom,Onna,CM+IPTp+IRS+IPTi,itn_pbo,Nsit Ubium,2021,Onna,0.415362737,0.411823643,0.219786096,0.410602704,0.191877243,0.291878138,1,june,527
114,Akwa Ibom,Onna,CM+IPTp+IRS+IPTi,itn_pbo,Nsit Ubium,2024,Onna,0.415362737,0.411823643,0.219786096,0.410602704,0.191877243,0.291878138,2,june,1622
115,Akwa Ibom,Oron,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Oron,0.066666667,0.294193051,0.2,0.25,0.308094501,0.384179387,1,june,527
116,Akwa Ibom,Oron,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Oron,0.066666667,0.294193051,0.2,0.25,0.308094501,0.384179387,2,june,1622
117,Akwa Ibom,Oruk Anam,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Oruk Anam,0.345323717,0.431578963,0.239130379,0.284408547,0.312496984,0.387796568,1,june,527
118,Akwa Ibom,Oruk Anam,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Oruk Anam,0.345323717,0.431578963,0.239130379,0.284408547,0.312496984,0.387796568,2,june,1622
119,Akwa Ibom,Udung Uko,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Udung Uko,0.33446468,0.294193051,0.202569073,0.227821791,0.232099503,0.322887578,1,june,527
