LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year
Ijebu ode,Owan East,,0.8,0.8,0,-1,2018
Ijero,Oke-Ero,,0.8,0.8,0,-1,2018
Ijumu,Oke-Ero,,0.8,0.8,0,-1,2018
Ika,Ngor-Okpala,,0.8,0.8,0,-1,2018
Ika North East,Uzo-Uwani,,0.8,0.8,0,-1,2018
Ika South,Uzo-Uwani,,0.8,0.8,0,-1,2018
Ikara,Soba,,0.8,0.8,0,-1,2018
Ikeduru,Ngor-Okpala,,0.8,0.8,0,-1,2018
Ikeja,Uzo-Uwani,,0.8,0.8,0,-1,2018
Ikenne,Owan East,,0.8,0.8,0,-1,2018
Ikere,Owan East,,0.8,0.8,0,-1,2018
Ikole,Oke-Ero,,0.8,0.8,0,-1,2018
Ikom,Obubra,,0.8,0.8,0,-1,2018
Ikono,Ngor-Okpala,,0.8,0.8,0,-1,2018
Ikorodu,Uzo-Uwani,,0.8,0.8,0,-1,2018
Ikot Abasi,Nsit Ubium,,0.8,0.8,0,-1,2018
Ikot Ekpene,Ngor-Okpala,,0.8,0.8,0,-1,2018
Ikpoba-Okha,Uzo-Uwani,,0.8,0.8,0,-1,2018
Ikwerre,Oru West,,0.8,0.8,0,-1,2018
Ikwo,Obubra,,0.8,0.8,0,-1,2018
Ikwuano,Ngor-Okpala,,0.8,0.8,0,-1,2018
Ila,Oke-Ero,,0.8,0.8,0,-1,2018
Ilaje,Owan East,,0.8,0.8,0,-1,2018
Ilemeji,Akinyele,,0.8,0.8,0,-1,2018
Ile-Oluji-Okeigbo,Oke-Ero,,0.8,0.8,0,-1,2018
Ilesha East,Owan East,,0.8,0.8,0,-1,2018
Ilesha West,Akinyele,,0.8,0.8,0,-1,2018
Illela,Gawabawa,,0.8,0.8,0,-1,2018
Ilorin East,Oke-Ero,,0.8,0.8,0,-1,2018
Ilorin South,Oke-Ero,,0.8,0.8,0,-1,2018
Ilorin West,Owan East,,0.8,0.8,0,-1,2018
Imeko-Afon,Oke-Ero,,0.8,0.8,0,-1,2018
Ingawa,Rimi,,0.8,0.8,0,-1,2018
Ini,Ngor-Okpala,,0.8,0.8,0,-1,2018
Ipokia,Uzo-Uwani,,0.8,0.8,0,-1,2018
Irele,Akinyele,,0.8,0.8,0,-1,2018
Irepo,Oke-Ero,,0.8,0.8,0,-1,2018
Irepodun1,Oke-Ero,,0.8,0.8,0,-1,2018
Irepodun2,Owan East,,0.8,0.8,0,-1,2018
Irepodun-Ifelodun,Akinyele,,0.8,0.8,0,-1,2018
Irewole,Akinyele,,0.8,0.8,0,-1,2018
Isa,Rimi,,0.8,0.8,0,-1,2018
Ise-Orun,Oke-Ero,,0.8,0.8,0,-1,2018
Iseyin,Akinyele,,0.8,0.8,0,-1,2018
Ishielu,Owan East,,0.8,0.8,0,-1,2018
Isiala Mbano,Owan East,,0.8,0.8,0,-1,2018
Isiala-Ngwa North,Ngor-Okpala,,0.8,0.8,0,-1,2018
Isiala-Ngwa South,Ngor-Okpala,,0.8,0.8,0,-1,2018
