LGA,mapB_mix,repDS,peak,simday,year,coverage,initial_killing,box_duration,decay_time_constant
Malam Madori,CM+IPTp+IRS+SMC,Taura,july,915,2022,0.6,0.7,180,90
Malumfashi,CM+IPTp+IRS+SMC,Gwarzo,august,950,2022,0.6,0.7,180,90
Mangu,CM+IPTp+IRS+SMC,Darazo,july,915,2022,0.6,0.7,180,90
Mani,CM+IPTp+IRS+SMC,Rimi,march,796,2022,0.6,0.7,180,90
Maradun,CM+IPTp+IRS+SMC,Darazo,july,915,2022,0.6,0.7,180,90
Mariga,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
Markafi,CM+IPTp+IRS+SMC,Gwarzo,august,950,2022,0.6,0.7,180,90
Maru,CM+IPTp+IRS+SMC,Giwa,august,950,2022,0.6,0.7,180,90
Mashegu,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
Mashi,CM+IPTp+IRS+SMC,Rimi,march,796,2022,0.6,0.7,180,90
Matazuu,CM+IPTp+IRS+SMC,Rimi,march,796,2022,0.6,0.7,180,90
Mayo-Belwa,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Miga,CM+IPTp+IRS+SMC,Taura,july,915,2022,0.6,0.7,180,90
Minjibir,CM+IPTp+IRS+SMC,Taura,july,915,2022,0.6,0.7,180,90
Misau,CM+IPTp+IRS+SMC,Darazo,july,915,2022,0.6,0.7,180,90
Mkpat Enin,CM+IPTp+IRS+IPTi,Nsit Ubium,june,887,2022,0.6,0.7,180,90
Mokwa,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
Mopa-Muro,CM+IPTp+IRS+IPTi,Oke-Ero,july,915,2022,0.6,0.7,180,90
Moro,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
Mubi South,CM+IPTp+IRS+SMC,Darazo,july,915,2022,0.6,0.7,180,90
Musawa,CM+IPTp+IRS+SMC,Gwarzo,august,950,2022,0.6,0.7,180,90
Muya,CM+IPTp+IRS+SMC,Giwa,august,950,2022,0.6,0.7,180,90
Nangere,CM+IPTp+IRS+SMC,Darazo,july,915,2022,0.6,0.7,180,90
Nasarawa2,CM+IPTp+IRS+SMC,Keana,august,950,2022,0.6,0.7,180,90
Nasarawa-Eggon,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Ndokwa West,CM+IPTp+IRS+IPTi,Isoko South,june,887,2022,0.6,0.7,180,90
Ngaski,CM+IPTp+IRS+SMC,Owan East,march,796,2022,0.6,0.7,180,90
Ningi,CM+IPTp+IRS+SMC,Takali,september,978,2022,0.6,0.7,180,90
Nnewi North,CM+IPTp+IRS+IPTi,Oru West,june,887,2022,0.6,0.7,180,90
Numan,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Obanliku,CM+IPTp+IRS+SMC,Obubra,june,887,2022,0.6,0.7,180,90
Obi1,CM+IPTp+IRS+IPTi,Keana,august,950,2022,0.6,0.7,180,90
Obi2,CM+IPTp+IRS+SMC,Keana,august,950,2022,0.6,0.7,180,90
Obokun,CM+IPTp+IRS+IPTi,Akinyele,may,852,2022,0.6,0.7,180,90
Obubra,CM+IPTp+IRS+IPTi,Obubra,june,887,2022,0.6,0.7,180,90
Obudu,CM+IPTp+IRS+SMC,Obubra,june,887,2022,0.6,0.7,180,90
Odeda,CM+IPTp+IRS+IPTi,Oke-Ero,july,915,2022,0.6,0.7,180,90
Odo-Otin,CM+IPTp+IRS+IPTi,Oke-Ero,july,915,2022,0.6,0.7,180,90
Offa,CM+IPTp+IRS+IPTi,Akinyele,may,852,2022,0.6,0.7,180,90
Ogbomosho North,CM+IPTp+IRS+IPTi,Akinyele,may,852,2022,0.6,0.7,180,90
Ogbomosho South,CM+IPTp+IRS+IPTi,Akinyele,may,852,2022,0.6,0.7,180,90
Ogo Oluwa,CM+IPTp+IRS+IPTi,Oke-Ero,july,915,2022,0.6,0.7,180,90
Ohaozara,CM+IPTp+IRS+IPTi,Obubra,june,887,2022,0.6,0.7,180,90
Ohaukwu,CM+IPTp+IRS+IPTi,Owan East,march,796,2022,0.6,0.7,180,90
Ohimini,CM+IPTp+IRS+IPTi,Akinyele,may,852,2022,0.6,0.7,180,90
Oke-Ero,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
Ola-oluwa,CM+IPTp+IRS+IPTi,Akinyele,may,852,2022,0.6,0.7,180,90
Oluyole,CM+IPTp+IRS+IPTi,Oke-Ero,july,915,2022,0.6,0.7,180,90
Ona-Ara,CM+IPTp+IRS+IPTi,Akinyele,may,852,2022,0.6,0.7,180,90
Onicha,CM+IPTp+IRS+IPTi,Obubra,june,887,2022,0.6,0.7,180,90
Onna,CM+IPTp+IRS+IPTi,Nsit Ubium,june,887,2022,0.6,0.7,180,90
Oriade,CM+IPTp+IRS+IPTi,Oke-Ero,july,915,2022,0.6,0.7,180,90
Osogbo,CM+IPTp+IRS+IPTi,Owan East,march,796,2022,0.6,0.7,180,90
Owo,CM+IPTp+IRS+IPTi,Owan East,march,796,2022,0.6,0.7,180,90
Oyun,CM+IPTp+IRS+IPTi,Oke-Ero,july,915,2022,0.6,0.7,180,90
Pailoro,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
Patani,CM+IPTp+IRS+IPTi,Isoko South,june,887,2022,0.6,0.7,180,90
Pategi,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
Potiskum,CM+IPTp+IRS+SMC,Darazo,july,915,2022,0.6,0.7,180,90
Qua'an Pan,CM+IPTp+IRS+SMC,Keana,august,950,2022,0.6,0.7,180,90
Rafi,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
Rano,CM+IPTp+IRS+SMC,Gwarzo,august,950,2022,0.6,0.7,180,90
Rijau,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Rimi,CM+IPTp+IRS+SMC,Rimi,march,796,2022,0.6,0.7,180,90
Rimin Gado,CM+IPTp+IRS+SMC,Gwarzo,august,950,2022,0.6,0.7,180,90
Ringim,CM+IPTp+IRS+SMC,Taura,july,915,2022,0.6,0.7,180,90
Riyom,CM+IPTp+IRS+SMC,Soba,july,915,2022,0.6,0.7,180,90
Roni,CM+IPTp+IRS+SMC,Babura,may,852,2022,0.6,0.7,180,90
Sabon-Gari,CM+IPTp+IRS+SMC,Soba,july,915,2022,0.6,0.7,180,90
Sabuwa,CM+IPTp+IRS+SMC,Giwa,august,950,2022,0.6,0.7,180,90
Safana,CM+IPTp+IRS+SMC,Babura,may,852,2022,0.6,0.7,180,90
Sakaba,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Sandamu,CM+IPTp+IRS+SMC,Rimi,march,796,2022,0.6,0.7,180,90
Sanga,CM+IPTp+IRS+SMC,Soba,july,915,2022,0.6,0.7,180,90
Shagamu,CM+IPTp+IRS+IPTi,Uzo-Uwani,june,887,2022,0.6,0.7,180,90
Shanga,CM+IPTp+IRS+SMC,Birnin Kebbi,august,950,2022,0.6,0.7,180,90
Shanono,CM+IPTp+IRS+SMC,Gwarzo,august,950,2022,0.6,0.7,180,90
Shelleng,CM+IPTp+IRS+SMC,Darazo,july,915,2022,0.6,0.7,180,90
Shinkafi,CM+IPTp+IRS+SMC,Rimi,march,796,2022,0.6,0.7,180,90
Shira,CM+IPTp+IRS+SMC,Takali,september,978,2022,0.6,0.7,180,90
Shiroro,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
Shomgom,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Silame,CM+IPTp+IRS+SMC,Gawabawa,august,950,2022,0.6,0.7,180,90
Soba,CM+IPTp+IRS+SMC,Soba,july,915,2022,0.6,0.7,180,90
Song,CM+IPTp+IRS+SMC,Darazo,july,915,2022,0.6,0.7,180,90
Suleja,CM+IPTp+IRS+SMC,Giwa,august,950,2022,0.6,0.7,180,90
Sule-Tankarkar,CM+IPTp+IRS+SMC,Babura,may,852,2022,0.6,0.7,180,90
Sumaila,CM+IPTp+IRS+SMC,Takali,september,978,2022,0.6,0.7,180,90
Tafa,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
Tafawa-Balewa,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Takali,CM+IPTp+IRS+SMC,Takali,september,978,2022,0.6,0.7,180,90
Takum,CM+IPTp+IRS+IPTi,Keana,august,950,2022,0.6,0.7,180,90
Talata Mafara,CM+IPTp+IRS+SMC,Darazo,july,915,2022,0.6,0.7,180,90
Tangaza,CM+IPTp+IRS+SMC,Gawabawa,august,950,2022,0.6,0.7,180,90
Tarauni,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Tarmua,CM+IPTp+IRS+SMC,Rimi,march,796,2022,0.6,0.7,180,90
Taura,CM+IPTp+IRS+SMC,Taura,july,915,2022,0.6,0.7,180,90
Tofa,CM+IPTp+IRS+SMC,Taura,july,915,2022,0.6,0.7,180,90
Toro,CM+IPTp+IRS+SMC,Giwa,august,950,2022,0.6,0.7,180,90
Toto,CM+IPTp+IRS+SMC,Keana,august,950,2022,0.6,0.7,180,90
Toungo,CM+IPTp+IRS+SMC,Keana,august,950,2022,0.6,0.7,180,90
Tsafe,CM+IPTp+IRS+SMC,Takali,september,978,2022,0.6,0.7,180,90
Tsanyawa,CM+IPTp+IRS+SMC,Gwarzo,august,950,2022,0.6,0.7,180,90
Tudun Wada,CM+IPTp+IRS+SMC,Gwarzo,august,950,2022,0.6,0.7,180,90
Tureta,CM+IPTp+IRS+SMC,Birnin Kebbi,august,950,2022,0.6,0.7,180,90
Ughelli South,CM+IPTp+IRS+IPTi,Isoko South,june,887,2022,0.6,0.7,180,90
Ukanafun,CM+IPTp+IRS+IPTi,Nsit Ubium,june,887,2022,0.6,0.7,180,90
Ungogo,CM+IPTp+IRS+SMC,Taura,july,915,2022,0.6,0.7,180,90
Wamba,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Warji,CM+IPTp+IRS+SMC,Takali,september,978,2022,0.6,0.7,180,90
Wasagu-Danko,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
