LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial,round,peak,simday
Onitsha North,Uzo-Uwani,2023,Onitsha North,0.036363636,0.268927518,0.192060578,0.035820895,0.382531956,0.445478249,0.53,2,june,1257
Onitsha South,Uzo-Uwani,2020,Onitsha South,0.331783877,0.268927518,0.057142858,0.018181818,0.368656397,0.434081069,0.53,1,june,162
Onitsha South,Uzo-Uwani,2023,Onitsha South,0.331783877,0.268927518,0.057142858,0.018181818,0.368656397,0.434081069,0.53,2,june,1257
Orumba North,Oru West,2020,Orumba North,0.305007427,0.191341638,0.12251681,0.132782981,0.403508225,0.462606614,0.53,1,june,162
Orumba North,Oru West,2023,Orumba North,0.305007427,0.191341638,0.12251681,0.132782981,0.403508225,0.462606614,0.53,2,june,1257
Orumba South,Oru West,2020,Orumba South,0.303469146,0.271135903,0.183318119,0.261179873,0.438379079,0.490669288,0.53,1,june,162
Orumba South,Oru West,2023,Orumba South,0.303469146,0.271135903,0.183318119,0.261179873,0.438379079,0.490669288,0.53,2,june,1257
Oyi,Uzo-Uwani,2020,Oyi,0.271716888,0.072180446,0.040604227,0.121633098,0.387377598,0.449447388,0.53,1,june,162
Oyi,Uzo-Uwani,2023,Oyi,0.271716888,0.072180446,0.040604227,0.121633098,0.387377598,0.449447388,0.53,2,june,1257
Alkaleri,Alkaleri,2021,Alkaleri,0.546465557,0.477507098,0.367950025,0.548931983,0.570092852,0.588317246,0.53,1,july,551
Alkaleri,Alkaleri,2024,Alkaleri,0.546465557,0.477507098,0.367950025,0.548931983,0.570092852,0.588317246,0.53,2,july,1646
Bauchi,Alkaleri,2021,Bauchi,0.539948435,0.305423227,0.330257372,0.495557944,0.627087591,0.624866967,0.53,1,july,551
Bauchi,Alkaleri,2024,Bauchi,0.539948435,0.305423227,0.330257372,0.495557944,0.627087591,0.624866967,0.53,2,july,1646
Bogoro,Alkaleri,2021,Bogoro,0.58144166,0.458086331,0.40628614,0.597026536,0.578959907,0.594258836,0.53,1,july,551
Bogoro,Alkaleri,2024,Bogoro,0.58144166,0.458086331,0.40628614,0.597026536,0.578959907,0.594258836,0.53,2,july,1646
