LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year
Guyuk,Alkaleri,,0.480706358,0.480706358,0,-1,2018
Guzamala,Babura,,0.349277359,0.349277359,0,-1,2018
Gwagwalada,Keana,,0.067621303,0.067621303,0,-1,2018
Gwale,Alkaleri,,0.45946767,0.45946767,0,-1,2018
Gwandu,Birnin Kebbi,,0.529411765,0.529411765,0,-1,2018
Gwaram,Takali,,0.223498732,0.223498732,0,-1,2018
Gwarzo,Gwarzo,,0.4,0.4,0,-1,2018
Gwer East,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Gwer West,Keana,,0.333333333,0.333333333,0,-1,2018
Gwiwa,Babura,,0.333333333,0.333333333,0,-1,2018
Gwoza,Darazo,,0.114371076,0.114371076,0,-1,2018
Hadejia,Taura,,0.174928041,0.174928041,0,-1,2018
Hawul,Darazo,,0.221538462,0.221538462,0,-1,2018
Hong,Darazo,,0.114371076,0.114371076,0,-1,2018
Ibadan North,Owan East,,0.249042174,0.249042174,0,-1,2018
Ibadan North East,Owan East,,0.278942779,0.278942779,0,-1,2018
Ibadan North West,Owan East,,0.117739486,0.117739486,0,-1,2018
Ibadan South East,Akinyele,,0.154926235,0.154926235,0,-1,2018
Ibadan South West,Owan East,,0.278942779,0.278942779,0,-1,2018
Ibaji,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
Ibarapa Central,Akinyele,,0.154926235,0.154926235,0,-1,2018
Ibarapa East,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Ibarapa North,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Ibeju-Lekki,Uzo-Uwani,,0.5,0.5,0,-1,2018
Ibeno,Nsit Ubium,,0.297727761,0.297727761,0,-1,2018
Ibesikpo Asutan,Nsit Ubium,,0.234042549,0.234042549,0,-1,2018
Ibi,Keana,,0.177187213,0.177187213,0,-1,2018
Ibiono Ibom,Ngor-Okpala,,0.142335763,0.142335763,0,-1,2018
Idah,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
Idanre,Akinyele,,0.154926235,0.154926235,0,-1,2018
Ideato North,Oru West,,0.761610688,0.761610688,0,-1,2018
Ideato South,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
