,DS,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
156,Yakurr,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
157,Ogbomosho North,0.539502401,0.539502401,0.539502401,0.539502401,0.539502401,0.539502401,0.539502401,0.539502401,0.539502401,0.539502401,0.539502401
158,Yala,0.912000001,0.912000001,0.912000001,0.912000001,0.912000001,0.912000001,0.912000001,0.912000001,0.912000001,0.912000001,0.912000001
159,Aniocha North,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
160,Aniocha South,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
161,Ibadan South West,0.668489994,0.668489994,0.668489994,0.668489994,0.668489994,0.668489994,0.668489994,0.668489994,0.668489994,0.668489994,0.668489994
162,Ethiope East,0.580326207,0.580326207,0.580326207,0.580326207,0.580326207,0.580326207,0.580326207,0.580326207,0.580326207,0.580326207,0.580326207
163,Ethiope West,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
164,Ika North East,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
165,Ika South,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
166,Isoko North,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
167,Ogbomosho South,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
168,Isoko South,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
169,Ndokwa East,0.533333333,0.533333333,0.533333333,0.533333333,0.533333333,0.533333333,0.533333333,0.533333333,0.533333333,0.533333333,0.533333333
170,Ndokwa West,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778
171,Okpe,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
172,Oshimili North,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
173,Oshimili South,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
174,Patani,0.324471418,0.324471418,0.324471418,0.324471418,0.324471418,0.324471418,0.324471418,0.324471418,0.324471418,0.324471418,0.324471418
175,Sapele,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
176,Udu,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
177,Ughelli North,0.659937208,0.659937208,0.659937208,0.659937208,0.659937208,0.659937208,0.659937208,0.659937208,0.659937208,0.659937208,0.659937208
178,Ughelli South,0.646779199,0.646779199,0.646779199,0.646779199,0.646779199,0.646779199,0.646779199,0.646779199,0.646779199,0.646779199,0.646779199
179,Ukwuani,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
180,Uvwie,0.958114476,0.958114476,0.958114476,0.958114476,0.958114476,0.958114476,0.958114476,0.958114476,0.958114476,0.958114476,0.958114476
181,Warri South,0.838001717,0.838001717,0.838001717,0.838001717,0.838001717,0.838001717,0.838001717,0.838001717,0.838001717,0.838001717,0.838001717
182,Ohaozara,0.750526319,0.750526319,0.750526319,0.750526319,0.750526319,0.750526319,0.750526319,0.750526319,0.750526319,0.750526319,0.750526319
183,Abakaliki,0.43740651,0.43740651,0.43740651,0.43740651,0.43740651,0.43740651,0.43740651,0.43740651,0.43740651,0.43740651,0.43740651
184,Afikpo North,0.864471186,0.864471186,0.864471186,0.864471186,0.864471186,0.864471186,0.864471186,0.864471186,0.864471186,0.864471186,0.864471186
