DS,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Ezza North,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ezza South,0.682438797,0.727560824,0.77268285,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ikwo,0.71250138,0.757623406,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ishielu,0.491103554,0.53622558,0.581347607,0.626469633,0.671591659,0.716713685,0.761835711,0.8,0.8,0.8,0.8
Ivo,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Izzi,0.540493512,0.540493512,0.540493512,0.540493512,0.540493512,0.540493512,0.540493512,0.540493512,0.540493512,0.540493512,0.540493512
Ohaukwu,0.529411765,0.574533791,0.619655817,0.664777843,0.709899869,0.755021895,0.8,0.8,0.8,0.8,0.8
Onicha,0.591643812,0.636765838,0.681887864,0.72700989,0.772131916,0.8,0.8,0.8,0.8,0.8,0.8
Akoko-Edo,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Egor,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Esan North East,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Esan Central,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Esan South East,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Esan West,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Etsako Central,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Etsako East,0.696839555,0.741961581,0.787083607,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
