State,LGA,repDS,peak,year,round,duration,coverage_high_access,coverage_low_access,max_age,simday,scenario
Katsina,Kafur,Gwarzo,august,2027,1,-1,1,0.6,5,2778,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2027,2,-1,1,0.6,5,2808,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2027,3,-1,1,0.6,5,2838,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2027,4,-1,1,0.6,5,2868,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2028,1,-1,1,0.6,5,3143,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2028,2,-1,1,0.6,5,3173,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2028,3,-1,1,0.6,5,3203,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2028,4,-1,1,0.6,5,3233,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2029,1,-1,1,0.6,5,3508,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2029,2,-1,1,0.6,5,3538,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2029,3,-1,1,0.6,5,3568,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2029,4,-1,1,0.6,5,3598,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2030,1,-1,1,0.6,5,3873,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2030,2,-1,1,0.6,5,3903,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2030,3,-1,1,0.6,5,3933,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2030,4,-1,1,0.6,5,3963,scenario 2 - 5
Borno,Kaga,Darazo,july,2020,2,-1,1,0.6,5,216,scenario 2 - 5
Borno,Kaga,Darazo,july,2020,3,-1,1,0.6,5,246,scenario 2 - 5
Borno,Kaga,Darazo,july,2020,4,-1,1,0.6,5,276,scenario 2 - 5
Borno,Kaga,Darazo,july,2020,1,-1,1,0.6,5,186,scenario 2 - 5
Borno,Kaga,Darazo,july,2021,2,-1,1,0.6,5,581,scenario 2 - 5
Borno,Kaga,Darazo,july,2021,3,-1,1,0.6,5,611,scenario 2 - 5
Borno,Kaga,Darazo,july,2021,4,-1,1,0.6,5,641,scenario 2 - 5
Borno,Kaga,Darazo,july,2021,1,-1,1,0.6,5,551,scenario 2 - 5
Borno,Kaga,Darazo,july,2022,2,-1,1,0.6,5,946,scenario 2 - 5
Borno,Kaga,Darazo,july,2022,3,-1,1,0.6,5,976,scenario 2 - 5
Borno,Kaga,Darazo,july,2022,4,-1,1,0.6,5,1006,scenario 2 - 5
Borno,Kaga,Darazo,july,2022,1,-1,1,0.6,5,916,scenario 2 - 5
Borno,Kaga,Darazo,july,2023,2,-1,1,0.6,5,1311,scenario 2 - 5
Borno,Kaga,Darazo,july,2023,3,-1,1,0.6,5,1341,scenario 2 - 5
Borno,Kaga,Darazo,july,2023,4,-1,1,0.6,5,1371,scenario 2 - 5
