"","seasonality","month","cases","sum_est","sum_l_ci","sum_u_ci","X","repDS_pop","incidence","incidence_low","incidence_high","population"
"190","Oru West",10,1024.8,1024.8,612,1691.73002196514,16,4983848,25.62,15.3,42.2932505491286,1000
"191","Oru West",11,1199.2,1199.2,647.8,2256.62874588945,16,4983848,29.98,16.195,56.4157186472361,1000
"192","Oru West",12,904.6,904.6,402.6068600804,2585.69269103918,16,4983848,22.615,10.06517150201,64.6423172759794,1000
"193","Owan East",1,4617.8,4617.8,3188.43231554287,7152.19265499279,17,11914361,115.445,79.7108078885717,178.80481637482,1000
"194","Owan East",2,5017.6,5017.6,3222.86707694756,7950.51046042007,17,11914361,125.44,80.571676923689,198.762761510502,1000
"195","Owan East",3,5381.4,5381.4,3530.092328669,8381.79010270281,17,11914361,134.535,88.252308216725,209.54475256757,1000
"196","Owan East",4,6367.4,6367.4,4125,9847.37442508477,17,11914361,159.185,103.125,246.184360627119,1000
"197","Owan East",5,5209,5209,3473.4,8203.76465307723,17,11914361,130.225,86.835,205.094116326931,1000
"198","Owan East",6,6650.2,6650.2,4364.2005944884,10387.440198411,17,11914361,166.255,109.10501486221,259.686004960276,1000
"199","Owan East",7,5556.6,5556.6,3722.97325115523,8482.27494766194,17,11914361,138.915,93.0743312788808,212.056873691549,1000
"200","Owan East",8,6458.6,6458.6,4281.86826324531,10132.1576773046,17,11914361,161.465,107.046706581133,253.303941932616,1000
"201","Owan East",9,5758.6,5758.6,3878.56758174365,8784.40233351327,17,11914361,143.965,96.9641895435912,219.610058337832,1000
"202","Owan East",10,6269.6,6269.6,4171.39316734249,9466.75924006607,17,11914361,156.74,104.284829183562,236.668981001652,1000
"203","Owan East",11,6235.8,6235.8,4203.26745842666,9539.54129361311,17,11914361,155.895,105.081686460666,238.488532340328,1000
"204","Owan East",12,4654.8,4654.8,2967.8409936658,7438.06511709051,17,11914361,116.37,74.1960248416449,185.951627927263,1000
"205","Rimi",1,2566.6,2566.6,1821.27587658003,3658.04652988949,18,4269460,64.165,45.5318969145007,91.4511632472372,1000
"206","Rimi",2,2668,2668,1917.01291296766,3935.50237412319,18,4269460,66.7,47.9253228241914,98.3875593530798,1000
"207","Rimi",3,2890,2890,1997.18975388851,4502.59036784888,18,4269460,72.25,49.9297438472128,112.564759196222,1000
